Dragonbone Weapon Parts
Custom
HailActor "Pudge the Brave" 6
-1874.910767 -390.739136 -1768.781372
-1864.924438 -390.665039 -1766.725342
-1855.253052 -390.322327 -1764.009155
-1845.400024 -389.796234 -1761.150024
-1837.254639 -389.000977 -1754.989380
-1833.043823 -387.385773 -1745.791382
-1829.257324 -385.432953 -1736.578979
-1829.608276 -383.371582 -1726.423950
-1833.139038 -382.312317 -1716.801514
-1836.222046 -378.624359 -1707.952026
-1839.481201 -376.369110 -1698.596680
-1842.752930 -375.423523 -1689.084473
-1841.029175 -374.695190 -1678.711304
-1836.641968 -374.714600 -1669.260132
-1832.005615 -374.959961 -1660.356201
-1826.741699 -374.650757 -1651.674194
-1820.828369 -374.476501 -1643.395142
-1814.789307 -373.596375 -1635.206665
-1808.669312 -372.861450 -1627.030762
-1801.829590 -372.615845 -1619.359985
-1791.892456 -371.922180 -1618.065186
Custom
PathKill 45 35 35 1 1 1 "a dragonbone larva" "dragonbone larva chitin (6/6)" 1
-1782.800781 -370.806610 -1621.868164
-1773.175293 -370.716522 -1618.073608
-1763.824097 -370.774994 -1614.387573
-1754.570313 -370.934845 -1610.501465
-1745.521240 -370.869171 -1605.689819
-1736.650635 -370.189667 -1600.405762
-1728.283813 -369.346222 -1594.751953
-1720.221558 -367.993042 -1588.279175
-1712.163940 -366.868469 -1582.240967
-1702.253418 -366.322388 -1580.532227
-1692.171387 -365.904022 -1578.776367
-1681.758789 -366.169250 -1580.067017
-1672.981445 -366.466125 -1585.298462
-1664.443359 -368.146088 -1590.387573
-1655.491455 -368.672272 -1595.763794
-1646.982178 -369.585083 -1600.984253
-1638.435547 -370.280853 -1606.143433
-1630.740356 -370.733826 -1612.682129
-1624.909424 -370.844788 -1621.229736
-1618.967407 -370.657623 -1629.770020
-1614.551392 -370.092926 -1638.751953
-1611.956787 -369.300049 -1648.607056
-1609.606201 -368.166992 -1658.565552
-1609.615723 -367.490814 -1668.922485
-1611.427856 -367.734558 -1679.031494
-1611.635986 -368.934235 -1689.131714
-1608.199097 -370.147369 -1698.769775
-1601.644775 -371.142365 -1706.296387
-1592.345825 -371.376556 -1711.656860
-1583.227905 -371.479462 -1715.877319
-1573.416748 -371.373230 -1718.843140
-1563.178833 -371.124176 -1720.237549
-1553.394653 -370.488770 -1717.322754
-1545.611938 -369.598907 -1710.795776
-1540.843262 -368.537903 -1702.034790
-1538.271362 -367.440002 -1692.122192
-1537.621460 -366.330353 -1681.854248
-1537.108154 -365.473053 -1671.520264
-1536.605591 -365.583344 -1661.396118
-1536.001099 -366.086823 -1651.086304
-1535.366699 -366.640472 -1640.932129
-1534.812988 -367.296234 -1630.658081
-1534.258301 -367.538208 -1620.364502
-1533.433716 -367.755646 -1610.071533
-1532.368408 -367.737030 -1599.068604
-1529.933105 -368.041016 -1590.206909
-1782.401978 -370.802887 -1621.710938
-1782.401978 -370.802887 -1621.710938
-1772.405396 -370.478729 -1619.953857
-1762.352539 -370.814148 -1618.421997
-1752.304199 -371.016602 -1616.828613
-1742.196045 -371.005524 -1614.933960
-1733.387207 -370.635681 -1609.718262
-1725.919189 -369.895874 -1602.651489
-1718.966797 -368.740021 -1594.794922
-1712.712402 -367.509125 -1586.769897
-1706.599243 -366.161041 -1578.926147
-1700.698975 -365.007111 -1570.780884
-1694.768799 -364.703918 -1562.302246
-1689.103149 -364.898407 -1553.968262
-1683.686523 -365.765289 -1545.265381
-1674.837646 -366.829132 -1540.574463
-1664.674072 -367.888367 -1539.176514
-1664.237549 -367.935181 -1539.125366
-1646.446411 -368.845306 -1548.153931
-1656.230835 -368.330933 -1545.272705
-1636.573120 -369.354370 -1549.717163
-1628.509644 -369.584381 -1548.076904
-1618.174927 -369.361572 -1539.602661
Custom
PathItem 40 35 1 0 0 0 "a dragonbone stone" "I gathered enough dragonbone stones and dragonbone larva chitin" 1 "cursecleaner claw"
-1609.695313 -368.775146 -1537.282593
-1597.507080 -367.535706 -1530.910767
-1582.207520 -366.753143 -1522.976196
-1579.003662 -366.745819 -1521.765869
-1580.074829 -366.621307 -1519.260742
-1571.721924 -366.869202 -1513.324341
-1562.306152 -367.344055 -1509.323975
-1552.163574 -368.110962 -1507.736938
-1542.250122 -368.996552 -1506.352661
-1532.042480 -370.029358 -1505.324219
-1521.912476 -370.945465 -1504.460327
-1511.622925 -371.740845 -1504.157471
-1501.534790 -371.944397 -1506.203247
-1491.861328 -372.023376 -1509.988647
-1483.283447 -372.023376 -1515.813965
-1475.280029 -372.023376 -1521.834106
-1466.830444 -372.023376 -1527.668823
-1456.603027 -372.023376 -1526.921997
-1449.224243 -372.023376 -1520.163208
-1441.843140 -371.772980 -1513.417847
