Mysterious Mark
Custom
ClickActor "speared remains"
99.757668 -37.208923 -190.547867
Custom
ExamineItem "a Mysterious Symbol"
99.757668 -37.208923 -190.547867
89.829567 -36.457443 -191.552643
79.758560 -35.141979 -190.677261
71.694374 -34.969799 -184.730606
71.231316 -34.084492 -174.655594
68.930489 -32.601112 -164.904190
70.293800 -31.558537 -155.011826
71.663345 -32.333923 -144.904892
75.055443 -32.200546 -135.368774
80.091675 -32.315292 -126.635254
88.495392 -32.551216 -120.959869
89.521904 -32.641556 -110.787605
82.840149 -32.893337 -103.046234
75.666389 -32.356720 -95.704453
71.344948 -32.501926 -86.451324
70.754829 -31.337748 -76.527946
70.674942 -26.955927 -67.303436
70.654762 -23.579023 -57.877735
70.599632 -23.166023 -47.879036
70.543724 -23.113838 -37.737099
70.489792 -20.586765 -27.953279
70.615753 -16.911758 -18.614944
70.544510 -14.610021 -8.858102
66.945999 -13.544954 0.534220
59.884659 -14.250126 7.616120
50.638615 -12.676043 11.521497
41.020012 -9.753544 11.850856
31.254047 -6.896489 11.783776
21.011827 -6.307992 11.059723
11.227145 -4.236053 8.580099
2.514415 -2.075065 3.555842
-6.146627 -0.820124 -1.621637
-16.266052 0.025564 -2.693747
-24.964584 -0.081971 2.302120
-30.692394 -0.068806 10.699423
Custom
ZoneDoor exit_to_innothule_upper
-33.693886 -0.032691 17.155254
721.550537 147.565048 -907.746277
720.799744 147.276794 -897.579956
722.768066 147.284027 -887.322205
725.516846 146.925583 -877.347351
728.676819 147.126785 -867.679565
732.400818 146.867249 -858.385315
735.980713 147.076065 -848.931519
739.695251 146.673813 -839.212585
743.178528 146.444839 -829.508667
744.005432 146.243912 -819.159973
745.322449 145.313965 -809.248779
747.418457 150.989288 -801.004028
750.084778 153.739441 -791.585205
752.912537 151.122971 -782.273926
757.655640 147.251694 -774.312134
763.772278 144.826065 -766.363770
768.717529 146.564011 -757.690125
768.647278 151.462616 -748.621826
767.917542 154.649353 -738.800659
768.912415 156.660706 -729.018188
771.949646 158.118057 -719.525024
776.390259 159.386658 -710.259277
781.751282 160.391220 -701.476868
786.965515 161.368378 -692.941101
792.792908 162.155869 -684.449158
798.863464 162.797440 -676.427246
804.869202 162.930267 -668.217712
808.701660 163.110092 -658.534058
809.142456 163.128616 -648.424194
808.442017 163.321442 -637.909851
807.709534 163.100998 -627.589294
807.063049 162.755127 -617.492859
804.992310 162.279099 -607.505493
802.362549 161.550476 -597.658752
799.256836 161.003448 -587.830811
796.569031 160.301163 -577.918762
793.428406 159.595612 -568.185913
789.958496 158.070984 -558.825317
786.441956 156.499466 -549.338867
782.932190 154.675842 -539.870361
779.462097 152.833954 -530.509399
776.414063 150.763977 -520.795776
775.528687 148.688065 -510.825470
775.916687 146.143524 -500.830658
775.908203 143.185516 -491.223816
772.629639 141.001907 -481.801086
765.217529 139.736572 -474.664673
755.068115 139.715790 -473.059906
745.093811 137.964935 -472.645630
734.981018 136.470169 -472.348358
724.677002 135.867767 -472.045471
714.925964 132.837509 -471.819305
706.645996 127.161407 -471.682770
696.377258 126.896996 -471.516357
686.298279 126.243027 -470.854706
676.642029 123.748436 -470.122650
668.687378 117.333351 -469.987427
659.339294 113.438148 -469.719696
649.125732 111.514389 -469.156006
639.367126 109.641670 -467.971832
629.630188 106.804153 -466.622589
619.805603 104.553360 -465.209900
609.947632 101.834702 -463.239380
601.075439 98.706306 -459.485931
595.977478 95.109520 -451.614471
593.733704 91.555740 -442.168396
592.880371 88.133942 -432.464661
594.630981 84.915390 -423.097321
596.666443 81.682503 -413.598969
598.425476 78.342545 -404.199646
600.052246 74.665390 -394.777008
601.340576 70.904030 -385.263062
602.603271 66.784576 -375.880768
603.845459 62.730888 -366.650024
605.097778 58.505627 -357.343506
606.360474 54.361984 -347.961151
607.625488 50.298820 -338.559937
608.865112 46.291809 -329.309692
610.115479 44.110165 -318.788788
610.651917 43.157703 -308.514069
611.245483 36.710232 -300.772125
611.931824 34.832958 -290.793610
612.546692 34.723740 -280.791077
613.289490 33.354630 -270.528900
613.647583 27.119574 -262.561768
613.992676 21.895828 -253.618042
613.399780 20.303831 -243.575775
610.903564 18.435690 -233.621811
607.347656 16.364229 -224.459991
602.760254 16.163897 -215.247650
597.286743 15.939734 -206.650787
575.117126 48.696720 -175.632980
551.611816 78.318115 -142.749420
531.538147 113.789261 -113.504745
511.488098 149.218872 -84.294502
492.005188 164.003448 -40.425541
495.152405 199.573227 -5.373520
518.019775 236.730682 19.566641
549.573914 259.121246 51.394417
582.761658 280.673920 82.445786
617.337402 297.452240 114.946701
649.740479 321.697174 144.536285
683.709778 342.222412 175.034729
718.552856 359.700043 206.926468
756.306519 359.698822 240.165375
794.465271 359.698822 272.483459
832.714966 359.698822 304.878510
870.995056 359.698822 337.299377
876.536804 374.609833 384.855408
858.686829 390.771667 429.032318
854.024536 390.771667 478.839935
892.369019 390.610626 511.395508
942.377014 394.672180 509.222351
987.596863 413.532257 498.567322
1035.503906 428.087891 502.626770
1063.874390 455.000732 534.220154
1097.846436 457.741211 570.889954
1136.426025 478.863922 595.327026
1180.701294 493.901489 613.939514
1226.842041 497.695953 633.260315
1273.130737 497.695953 652.643005
1319.493164 497.695953 672.056519
1365.891357 497.695953 691.485718
1412.015259 497.695953 710.799255
1458.341309 497.695953 730.197388
1504.668213 497.695953 749.595154
