Show Not Tell
Custom
HailActorGetQuest -Actor "Himaduri"
-109.521149 574.433167 -710.638672
-119.805855 574.433167 -702.114136
-127.764008 574.664063 -695.518066
-135.626785 575.494934 -689.001343
-143.401443 575.288635 -682.557861
-151.161377 575.288635 -676.126465
-158.985153 575.288635 -669.441772
-166.849640 575.288635 -662.926758
-175.419006 575.288635 -657.172974
-184.234711 575.288635 -652.057922
-193.522018 575.288635 -647.725525
Custom
FlyUp 5
-197.678711 575.401428 -645.048279
-236.365921 579.900635 -614.266663
-276.243500 579.900635 -582.537231
-315.996582 579.900635 -550.906616
-350.134674 559.154663 -521.491882
-382.086609 534.067749 -490.794037
-413.978027 509.197815 -460.248444
-445.207916 484.309601 -428.660767
-474.946808 459.689423 -395.400970
-504.558075 435.175262 -362.283875
-534.126343 410.699249 -329.218658
-563.637817 386.271423 -296.218292
-593.160828 361.833801 -263.204956
-622.765015 337.329010 -230.100723
-652.380859 312.814941 -196.983490
-682.066284 288.243225 -163.788437
-711.751770 263.671448 -130.593399
-741.622742 238.945724 -97.190735
-771.923645 227.818665 -63.305996
-802.407043 212.043198 -29.217178
-831.964783 187.576523 3.835460
-861.905518 162.792969 37.316166
-888.945740 136.131378 71.164421
-911.334778 106.582687 103.988701
-909.555786 82.924995 147.471649
-900.226990 60.860302 190.727692
-888.557983 62.388966 236.675018
-885.307129 48.941547 285.048401
-885.744446 36.263660 333.789398
Custom
FlyDown
-890.580994 32.536316 342.735443
-895.232727 18.285393 350.585358
Custom
PathKill 103 35 35 1 1 1 "seabound cnidcara" "seabound cnidcara eyes (8/8)" 1 "manafin salamander" "salamander toxin sac (8/8)" 1
-898.654846 15.198689 356.355316
-903.517517 11.670979 364.690735
-907.324951 9.648588 373.878021
-910.324646 8.769966 383.549103
-913.084045 7.887614 393.277252
-914.387085 7.959329 403.266479
-914.714294 8.023790 413.389282
-916.132629 8.031474 423.492981
-918.982056 8.047197 433.156250
-922.598083 8.066023 442.650238
-926.377930 8.049672 452.144775
-930.484802 8.066992 461.401611
-935.516296 8.063596 470.274078
-941.553406 8.055745 478.515686
-951.198425 8.073513 481.364075
-955.285522 8.053964 472.126770
-958.679199 8.067894 462.632141
-962.039124 8.067458 453.158295
-968.986511 8.056138 445.903748
-979.084290 8.073572 445.192749
-989.146484 8.056200 445.609344
-998.789368 8.063131 448.367126
-1008.151184 8.073039 452.313507
-1017.470703 8.053700 456.242065
-1026.691040 8.069933 460.129028
-1036.009644 8.063717 464.057617
-1045.341553 8.056903 467.792572
-1054.974854 8.073950 471.171967
-1065.110474 8.054972 470.336914
-1070.626709 8.065663 461.708344
-1072.668701 8.070292 451.816711
-1071.467529 8.054129 441.698761
-1066.309937 8.072175 432.839478
-1060.548462 8.058769 424.398468
-1058.437866 8.060962 414.533783
-1064.247192 8.073950 406.253693
-1070.294800 8.054087 398.110931
-1075.946899 8.068534 389.705658
-1081.582520 8.066189 381.288910
-1087.137939 8.055586 372.893372
-1092.673706 8.073241 364.466827
-1098.201294 8.057062 356.053070
-1103.606689 8.062448 347.444183
-1104.902588 8.073468 337.523956
-1104.239258 8.053821 327.435516
-1096.640015 8.193852 320.781738
-1086.487427 8.178330 320.114227
-1076.260498 8.119907 319.692413
-1066.034302 8.110666 319.234009
-1055.823853 8.073493 318.776306
-1045.598999 8.076539 318.293243
-1035.600342 8.074919 315.971313
-1027.696533 8.057611 309.456238
-1021.096985 8.074088 301.765350
-1021.178589 8.058971 291.646606
-1023.471741 8.061682 281.725708
-1026.949219 8.074047 272.182251
-1031.209717 8.054157 262.980194
-1035.958618 8.068901 253.948761
-1040.962646 8.065707 245.142044
-1045.988037 8.055972 236.312057
-1051.567505 8.073579 227.753448
-1058.321411 8.056202 220.227005
-1065.083496 8.063160 212.768982
-1071.882813 8.073006 205.282593
-1078.789795 8.053735 197.979706
-1085.691650 8.069815 190.693222
-1092.624878 8.063951 183.373413
-1099.463257 8.056762 175.931534
-1098.793701 8.074124 165.838959
-1095.326538 8.054794 156.210251
-1087.555786 8.066120 149.398407
-1077.819214 8.069476 146.210052
-1067.772583 8.054411 144.506790
-1057.862061 8.072228 142.826523
-1047.875000 8.059061 142.258621
-1037.901978 8.060278 144.162582
-1028.319092 8.073901 147.342056
-1018.488159 8.054025 150.603439
-1008.902283 8.068136 153.826035
-1000.030396 8.066747 158.710083
-992.803162 8.055459 165.801971
-986.989563 8.073130 173.957062
-982.772888 8.056977 183.210495
-979.005066 8.062024 192.529541
-975.934509 8.073483 202.193054
-973.127930 8.053855 211.797424
-970.299805 8.069030 221.475235
-967.475403 8.065550 231.106308
-962.833191 8.055892 240.069534
-956.334961 8.073469 247.833298
-948.177246 8.056085 253.967422
-939.644592 8.063171 259.342072
-930.013672 8.072523 262.998810
-927.166626 8.053927 272.799713
-928.622192 8.071642 282.822571
-931.259888 8.059916 292.661407
-933.511780 8.059578 302.603638
-934.642273 8.074119 312.606934
-934.828918 8.054279 322.674316
-933.612427 8.067148 332.776672
-929.759827 8.068339 342.214966
-923.653198 8.055017 350.438324
-915.832458 8.072909 356.790649
-898.668335 15.193209 356.359253
-898.668335 15.193209 356.359253
-898.081360 51.413849 361.031097
-903.290161 51.413849 311.225372
-908.497986 51.413849 261.431458
-913.708557 51.413849 211.618301
-919.645020 65.706573 164.035583
-933.126831 67.786537 115.776031
-949.158752 66.807495 81.381943
Custom
PathKill 56 50 5 1 1 1 "alux" "bags Himaduri needs for her spell" 1
-947.742554 46.594063 61.420841
-948.033875 47.084038 52.913559
-953.570374 44.288109 3.294991
-953.527710 71.551018 2.965657
-952.753601 83.838104 -45.893162
-972.843628 78.341850 -91.536736
-969.084961 80.125534 -83.376137
-944.893250 82.307350 -39.336285
-911.054626 83.676468 -73.798653
-865.461548 91.053543 -93.458199
-866.936890 92.912682 -120.884575
-866.303650 95.897583 -171.177475
-869.821533 82.935555 -219.447556
-894.952393 86.993118 -262.560913
-927.490417 88.693405 -300.646149
-948.808655 90.671799 -345.910156
-930.593201 90.076134 -361.485443
-914.057800 90.586647 -344.883087
-890.029480 127.162506 -325.515747
-843.641541 141.214493 -320.067627
-866.179443 139.812576 -364.716797
-852.758545 139.128326 -386.410187
-863.540161 157.330627 -417.297028
-882.051270 157.331848 -463.965607
-899.481323 158.457443 -510.922516
-916.841858 139.245743 -553.815063
-916.200684 85.196495 -554.948425
-917.072754 150.833244 -557.347595
-923.519531 149.928757 -582.131897
-890.436279 148.937592 -605.892395
-849.989380 152.513977 -635.086670
-832.178467 151.761826 -660.338501
-831.214111 151.780319 -723.330383
-805.476196 147.045044 -762.772461
-780.837402 147.010742 -777.097412
-805.476196 147.045044 -762.772461
-830.004272 151.769028 -713.726990
-830.409485 151.606766 -652.417603
-794.899902 151.609390 -623.895752
-787.529175 156.724411 -634.609741
-738.187805 163.048538 -627.241455
-726.848450 164.620178 -626.273071
-713.105835 166.328865 -620.578308
-665.453552 123.574478 -606.619324
-625.836548 95.235466 -595.125183
-614.099182 126.882095 -579.856812
-582.495544 137.851654 -573.142151
-587.047485 140.899734 -574.815186
-562.296692 136.704254 -581.634766
-526.702576 139.618103 -607.257141
-479.198212 136.254883 -623.259460
-449.008606 142.215256 -662.913818
-435.389404 156.379868 -709.101196
-426.092621 110.316216 -758.274170
-416.470978 112.839256 -753.192627
-372.947968 106.501472 -729.159485
-355.979462 60.277615 -719.435425
-947.846069 50.918400 62.779015
-947.846069 50.918400 62.779015
-936.473450 97.898956 49.944210
-910.823303 131.304184 22.658648
-888.131531 168.812683 -1.480452
-865.584900 206.180618 -26.018368
-836.626831 230.410675 -59.363060
-806.340637 250.801636 -94.283867
-776.295044 271.032837 -128.930008
-746.309143 291.224335 -163.507614
-716.239807 311.472137 -198.181458
-686.242065 331.671875 -232.772842
-656.255859 351.863373 -267.350159
-626.222351 372.087280 -301.981842
-596.164612 392.326691 -336.641052
-566.107300 412.566193 -371.300293
-535.977966 432.853851 -406.041870
-505.884338 453.117554 -440.742157
-475.766235 473.397125 -475.470093
-441.337799 494.312134 -505.337738
-399.685791 512.971191 -525.782593
-358.113739 532.767944 -546.911987
-316.998260 552.347107 -567.809021
-275.703064 572.011719 -588.797302
-234.336975 591.093384 -610.105286
-196.125412 586.641663 -642.248230
-165.455032 581.618591 -681.635132
Custom
FlyDown
-125.778221 576.822510 -705.075317
Custom
HailActor "Himaduri" 6
-114.358040 574.433167 -711.720886
-106.201508 575.521729 -676.574768
-90.883064 575.401428 -650.041077
Custom
FlyUp 5
-85.880478 575.540100 -642.764099
-57.825012 582.805481 -601.953003
-29.361906 582.805481 -560.549072
-0.752420 582.805481 -518.932007
27.857067 582.805481 -477.314484
56.466599 582.805481 -435.696899
85.076096 582.805481 -394.079163
113.685593 582.805481 -352.461639
142.283813 582.805481 -310.860413
169.421875 575.426086 -269.506134
193.583893 556.756409 -229.570145
217.960358 538.671692 -189.629593
242.288544 520.623535 -149.768173
266.800018 502.438568 -109.606125
291.340088 484.231964 -69.396606
315.870575 466.032471 -29.202982
340.420227 447.818634 11.022224
364.960419 429.611969 51.231636
389.490845 411.412476 91.425301
413.934113 393.277313 131.476578
438.531738 375.027405 171.781067
463.081360 356.813629 212.006409
487.611725 338.614197 252.200104
512.026184 320.500580 292.203400
543.954773 296.812042 344.517303
568.263977 278.776764 384.345947
592.659607 260.677795 424.317383
617.007141 242.614685 464.209595
641.334778 224.566055 504.070282
666.380127 205.438858 543.042419
691.261353 185.385468 581.891418
716.053833 165.403275 620.602356
740.856140 145.413177 659.328735
765.737427 125.359642 698.177429
790.520264 105.385162 736.872925
815.361938 85.363152 775.660461
840.998169 67.596321 814.886475
869.522827 52.776882 853.425964
900.583801 38.399910 890.065491
Custom
FlyDown
917.808289 29.280210 910.941406
Custom
ClickActor "Charm of Greater Acquiesce" 1
918.790710 18.944181 912.164673
911.357056 67.901161 903.695190
889.446167 103.752403 876.266968
860.721802 121.497040 839.281372
830.796692 134.432205 800.735596
800.978455 147.321640 762.326477
771.163818 160.211060 723.918518
741.408081 173.075012 685.586487
711.605225 185.959335 647.193665
681.955505 198.777420 608.998413
652.140869 211.666809 570.590576
622.502930 224.479813 532.410400
592.735413 237.348755 494.062836
563.097473 250.161743 455.881348
533.435974 262.984924 417.669647
503.619995 275.874481 379.260559
473.812408 288.758911 340.866638
443.993011 301.648438 302.457489
414.256042 314.502258 264.154694
384.483765 327.371368 225.806961
354.699738 340.245575 187.444260
324.835205 353.155609 148.975067
294.900421 366.096222 110.414719
264.965637 379.036865 71.854210
235.030289 391.977509 33.293701
205.082962 404.923218 -5.281967
175.159103 417.858765 -43.827297
145.223465 430.799408 -82.387802
115.287926 443.740051 -120.948311
85.364334 456.675598 -159.493408
55.546768 469.565216 -197.901749
30.667040 484.350983 -238.831528
8.215928 500.333374 -280.551117
-14.743978 516.946289 -321.918640
