Reaching Fraka
Custom
HailActor Harla 6
-116.762733 47.142159 765.084290
-116.762733 97.437454 765.084290
-87.339821 112.924957 727.591858
-56.781223 112.924957 687.796082
-31.564699 106.903076 644.953369
-13.076307 99.022758 598.734192
5.306835 91.231430 552.743958
23.669350 83.448837 506.805115
42.086861 75.643097 460.728790
60.497463 67.840332 414.669922
78.839455 60.066532 368.782928
97.202156 52.283878 322.844391
115.557884 44.504154 276.922913
133.927307 36.718594 230.966843
152.262329 28.947596 185.096710
170.686630 21.138716 139.003052
189.062805 13.350245 93.029839
207.401199 7.159673 46.664822
226.223663 4.756656 0.338211
243.941620 3.899682 -46.722057
261.132202 3.857313 -93.682869
278.392761 3.849352 -140.835327
295.634003 3.841400 -187.935013
312.199310 3.835651 -235.202972
326.867096 3.835651 -283.009857
341.589844 3.835651 -330.995758
353.903809 31.174181 -371.131317
364.271881 66.547195 -404.949646
373.707642 104.823715 -436.054657
383.738220 142.861740 -467.410126
396.085144 179.388336 -499.584412
414.811951 192.229034 -544.511963
Custom
FlyDown
427.178589 191.849609 -576.168701
431.366730 183.074890 -579.212097
439.540405 184.370361 -585.295166
447.549744 186.186371 -591.309021
455.754364 186.462708 -597.378784
463.933685 186.219421 -603.403442
470.579010 186.219421 -608.451111
466.036346 186.219421 -617.511230
462.256897 186.234070 -626.894348
458.456238 186.234070 -636.366272
454.647369 186.234070 -645.682068
450.726898 185.954407 -655.019714
455.530823 185.954407 -663.820007
458.101837 185.954407 -667.365906
453.655304 185.982849 -676.406799
449.496979 185.982697 -685.973572
445.503723 186.436462 -695.331482
438.319977 185.934738 -702.342346
428.229828 187.378540 -701.939880
418.260132 188.056061 -701.416565
408.039490 188.303864 -700.828857
405.843750 188.386856 -710.837585
404.864410 188.525360 -720.903564
405.367157 188.702652 -731.046753
406.003632 188.830170 -741.185608
406.782745 187.557922 -751.313660
408.225006 186.062378 -761.254883
410.796112 184.744141 -771.192871
413.624268 183.833511 -780.835144
416.418671 183.651749 -790.535706
417.457489 183.440369 -800.813354
414.327698 183.360138 -810.615601
409.827820 183.317596 -819.564758
405.500824 183.300903 -829.206299
Custom
HailActor Fraka 2
403.898773 183.291214 -834.585938
Wait
50
402.480011 183.300003 -828.340027
Custom
HailActor Fraka 9
402.480011 183.300003 -828.340027
407.608948 183.317307 -819.621033
412.706024 183.340027 -810.665649
417.533508 183.421387 -801.907410
420.660980 183.512390 -792.027527
418.351563 183.753494 -782.145325
414.069122 184.399445 -772.691772
409.842682 185.630386 -763.575256
405.692444 187.162552 -754.324402
403.837799 188.714859 -744.429810
403.591095 188.789810 -734.328613
404.419220 188.549103 -724.061584
405.261566 188.429504 -713.827209
407.249176 188.316437 -703.801697
414.811188 188.285492 -696.954712
424.356079 187.684113 -700.025513
432.347565 186.835861 -706.157227
441.502899 185.847305 -701.683289
447.182098 186.216858 -693.425964
450.447449 185.982849 -683.856506
454.174164 185.982742 -674.543640
458.030121 185.954407 -665.094971
455.376801 185.954407 -655.451050
453.189667 186.462463 -648.035950
457.496063 186.234070 -638.989990
461.451141 186.234070 -629.629272
465.347015 186.219421 -620.298523
467.099274 186.219421 -610.267944
461.559296 186.219421 -601.700684
453.639313 186.212830 -595.467224
445.123230 185.851837 -589.182617
436.923004 183.343491 -583.027588
428.893188 183.074890 -576.960449
424.411194 205.917358 -542.453247
424.411194 256.271149 -542.453247
424.411194 306.333466 -542.453247
424.411194 356.657593 -542.453247
470.191284 362.451385 -562.305054
516.086914 362.451385 -582.206665
562.641724 360.604919 -600.544128
611.946716 352.110199 -600.455017
661.058777 342.416748 -603.539795
Custom
FlyDown
688.885742 329.618103 -603.779419
Custom
PathKill 80 35 7 1 1 1 "an aerakyn" "I've obtained the aerakyn amulets for Fraka Dar" 1
688.869873 315.754395 -603.772949
692.399170 316.909607 -613.385071
695.202698 317.003540 -623.547485
697.843689 316.626404 -633.487244
700.481995 315.941833 -643.444031
702.947632 314.918549 -653.574463
705.231506 313.691895 -663.586121
707.426208 312.504639 -673.440491
708.065063 312.071594 -683.505676
698.784119 312.291718 -687.730896
688.568665 313.127563 -686.688293
678.361877 314.160614 -686.868774
668.389038 315.080780 -689.744080
659.823547 315.811768 -695.122192
652.226685 316.512939 -701.929504
645.127930 317.736603 -709.432373
638.321594 319.084106 -717.037537
631.389160 320.290985 -724.783386
624.698486 321.264343 -732.259277
617.839539 322.122559 -739.922974
611.127686 322.126129 -747.422302
604.363403 321.562164 -754.980469
597.640991 320.672119 -762.491577
590.937561 319.730682 -769.892151
583.135254 319.407379 -776.769165
574.588745 319.730469 -782.082703
565.031189 320.878204 -785.172119
555.280640 322.465546 -786.726318
545.416504 323.961090 -787.416565
535.641785 324.751251 -789.434143
525.871521 325.228577 -791.811157
516.107117 325.486938 -794.658997
507.189362 325.725189 -799.820007
499.756134 325.248535 -806.835266
492.407898 324.708313 -813.872681
484.797943 324.287872 -821.160461
477.540710 323.547180 -828.110718
470.237732 322.317200 -834.966553
462.767883 321.160889 -841.874695
455.263397 320.474335 -848.815002
447.909302 319.410339 -855.616211
440.684204 318.437683 -862.685913
433.875183 318.218048 -870.011047
427.169983 317.966583 -877.600464
420.599792 317.135895 -885.099060
413.630188 316.120911 -892.592102
406.159698 314.908142 -899.256958
397.561646 313.005981 -904.574463
387.427338 311.703979 -905.412598
377.326691 311.207489 -904.695557
367.399109 311.133514 -902.717407
362.447540 312.554291 -894.060120
361.334900 314.613373 -884.041748
360.362457 315.957062 -873.871826
360.381134 317.146149 -863.796082
360.435425 318.053864 -853.215515
357.462616 318.327057 -843.492188
348.736359 317.656952 -838.503845
339.901031 317.062836 -833.691223
330.730865 316.653931 -828.696289
321.735626 316.282776 -824.134827
312.055939 315.882874 -820.675903
302.001068 315.416565 -821.214111
292.398132 315.239532 -824.732300
284.390442 315.228088 -830.722168
276.954468 315.200012 -837.666748
269.632629 315.235413 -844.571533
262.423248 315.294556 -851.758301
266.868958 315.478394 -861.051758
258.155212 315.388855 -866.380981
248.431458 315.133209 -869.335632
240.474976 314.773041 -875.496582
231.085098 313.939056 -878.866516
221.966736 312.902466 -873.910828
216.675201 312.717896 -865.388672
209.257324 311.998749 -858.718079
199.996765 311.166412 -854.469299
191.104263 310.379669 -849.660828
181.085175 308.896881 -848.014832
171.260590 307.242279 -846.562744
163.849228 306.151337 -839.899536
689.048950 315.475281 -597.046936
689.048950 365.974579 -597.046936
656.411072 404.187164 -594.368896
606.104736 404.187164 -590.241516
555.873230 404.187164 -586.120117
505.810272 404.187164 -582.012390
456.611786 396.690521 -575.267456
425.674469 360.910583 -558.531372
406.615997 316.348145 -545.158142
396.621033 267.269348 -546.913818
395.407257 218.463882 -559.043152
Custom
FlyDown
427.637207 188.606628 -577.075256
434.639404 183.074890 -581.649292
442.830048 185.223923 -587.064148
450.642944 186.210342 -593.374451
458.620117 186.219421 -599.610229
466.660919 186.219421 -605.662964
468.175018 186.219421 -615.646973
463.456024 186.234070 -624.487488
