Ore of Yore
Custom
QuestStarter -231.879105 214.444885 -190.378937 25 "Butcherblock Mountains" "Butcherblock Mountains" 41
0 0 0
740.495300 24.002501 524.312927
701.813538 54.707443 516.128967
662.593994 57.066208 484.792755
631.181824 83.444908 456.053894
604.969727 118.972900 432.072296
578.767700 154.485962 408.100586
552.523743 190.055008 384.091125
526.424683 225.427292 360.214722
490.726807 238.412582 327.556396
453.597137 238.412567 293.588196
416.720154 239.958435 259.850830
379.707916 239.958435 225.989655
342.666351 239.958405 192.101578
305.610107 239.958405 158.200104
268.612427 239.958405 124.352089
228.977020 239.958405 93.235191
188.439758 239.958405 63.617584
148.014954 239.958405 34.082062
106.492355 239.958405 5.604247
63.424435 239.958405 -20.503635
20.645588 239.958405 -46.436378
-22.116287 239.958405 -72.358749
-65.982552 239.958405 -96.847733
-110.904526 239.958405 -118.996170
-156.078033 238.796371 -140.943726
-201.070999 226.218842 -158.894836
Custom
FlyDown
-223.675079 215.128250 -169.297974
-225.144882 213.079376 -179.080353
Custom
Door
-225.726151 214.250244 -182.143204
Wait
10
-225.726151 214.250244 -182.143204
-225.867279 214.444885 -185.230118
Custom
HailActor Ironstein 2
-231.879105 214.444885 -190.378937
Custom
HailActor IronStein 4 1 FALSE
-231.879105 214.444885 -190.378937
Custom
Door
-225.640366 214.431213 -183.702347
Wait
10
-225.640366 214.431213 -183.702347
-225.652222 214.428177 -182.799850
-225.661224 214.225998 -182.113525
-225.694244 213.231445 -179.596649
-208.092117 251.999496 -158.840637
-158.674881 248.076553 -151.346069
-128.505569 236.163422 -189.783661
-108.096230 235.997040 -235.473373
-114.849983 235.997040 -285.075470
-126.160576 235.997040 -333.886597
-137.323608 224.461075 -381.559448
-148.225662 207.811462 -427.694214
-159.101288 190.854813 -473.717346
-169.652802 168.628830 -543.319763
Custom
FlyDown
-169.652802 168.628830 -543.319763
-169.468231 165.002502 -552.709595
-169.522476 165.002502 -562.897400
ClickActor
"To Kaladim"
-169.580536 165.002518 -568.119934
Custom
WaitForZoning
-169.580536 165.002518 -568.119934
4.180204 -0.096310 46.003399
4.288352 -0.096310 35.805111
4.373975 -0.096310 25.692703
4.378449 -0.096310 15.437431
4.351370 -1.008323 5.262593
4.324425 -2.465869 -4.862864
4.297058 -2.237383 -15.146954
4.270196 -1.366291 -25.239985
3.880014 -0.441250 -35.291454
3.683966 -0.097790 -45.350174
3.094091 3.490447 -54.958179
2.291824 7.533015 -64.340927
2.221419 11.153751 -73.901009
0.890380 14.399244 -83.401108
-0.141689 19.666161 -91.901054
-1.335471 22.931898 -101.485672
-3.938057 26.357601 -110.645905
-7.370453 26.565992 -120.155029
-10.389883 26.565992 -129.786957
-7.499219 26.565992 -139.579788
-6.725527 26.565992 -149.552414
-9.615908 26.565992 -159.134476
-12.896844 26.565992 -168.778244
-17.711723 26.565992 -177.686737
-22.439837 26.565992 -186.531830
-24.799885 26.565992 -196.402969
-23.365543 26.565992 -206.681213
-21.738234 26.565992 -216.561768
-20.068993 26.565992 -226.696899
-18.441679 26.565992 -236.577469
-9.857762 26.565834 -242.196243
-3.797207 26.355955 -246.991104
-1.671005 26.565992 -257.029510
1.629258 26.565992 -266.585907
7.142870 26.355955 -275.097198
12.620609 26.397512 -283.553070
14.382770 26.395535 -286.273224
14.519020 26.584215 -296.414368
14.608089 26.655973 -306.510590
14.698986 26.655973 -316.813812
13.817335 26.918531 -326.795288
13.907528 27.627989 -337.018158
13.997293 28.446928 -347.192657
14.086344 28.446928 -357.286530
14.176107 28.446928 -367.460999
14.198655 27.831450 -377.618958
13.622042 28.066694 -387.873932
12.977396 28.082624 -398.254730
12.344744 28.082624 -408.442291
12.210772 28.641844 -418.513641
12.389772 28.641844 -425.687164
22.486290 28.641844 -427.101685
24.299423 28.641844 -427.355713
