Constructing Cardin Wardens
Custom
HailActor "Galen Cadabrak" 7
-458.860413 15.168661 80.975533
-455.461456 15.263689 71.447754
-452.840698 14.956895 61.793797
-450.633026 13.582887 51.883247
-454.834137 13.478916 42.635872
-461.940155 11.549662 35.760090
-470.101166 9.943210 29.804039
-478.548187 9.523911 24.409264
-487.128693 10.539371 18.916716
-495.064789 10.201008 12.749291
-502.088318 7.998596 5.798688
-509.138184 4.944124 -1.202902
-519.144409 2.148222 -0.769448
-528.464172 0.241824 3.485395
-537.745544 -1.738571 8.104777
Custom
PathKillClick 46 35 10 1 0 0 "a churning obol" "Arcane Geode (4/4)" 1 "an arcane geode"
-567.477966 -5.151608 14.889936
-569.831177 -3.713057 24.564293
-572.645203 -2.488601 34.328377
-576.269104 -1.260935 43.893902
-581.486633 -0.090794 52.899399
-587.745728 0.819142 61.021824
-595.047729 0.418062 68.095383
-602.552551 -0.086728 74.984337
-610.325684 -0.902123 81.228477
-618.891174 -1.427186 87.196320
-627.802246 -1.795464 91.829979
-636.957336 -0.863543 96.663193
-647.392334 -0.226107 96.934937
-657.460938 0.238316 96.813057
-667.426819 -0.566569 95.282837
-677.292358 -1.516725 91.832275
-686.561340 -2.841322 87.256424
-694.448059 -4.552980 80.836067
-701.917358 -5.322881 73.623985
-708.440918 -6.096476 65.854462
-714.469666 -6.626992 57.767395
-720.448730 -5.948964 49.731613
-726.572083 -4.895301 41.501953
-732.578552 -3.941957 33.429432
-738.425964 -3.223658 25.264635
-743.874817 -2.603353 16.644680
-746.250854 -2.752108 6.506141
-743.093445 -3.444692 -3.286527
-737.046753 -4.033001 -11.767345
-731.788330 -4.544569 -20.533257
-721.511414 -4.102775 -23.576065
-711.620178 -3.654579 -25.296188
-701.484741 -3.540394 -28.390451
-691.941284 -3.637878 -33.228554
-683.314758 -4.313253 -38.477818
-674.503723 -5.083605 -43.839081
-665.374878 -5.715901 -48.509068
-655.902466 -6.800139 -51.542088
-646.083496 -7.883823 -53.463230
-638.829773 -8.747031 -46.324375
-632.061279 -10.560310 -39.015388
