Thugs on a Plain
Custom
HailActor "General Furtog Ogrebane" 6
-456.172485 9.427691 12.674073
-464.959381 9.015685 18.673939
-473.641083 9.670440 24.414482
-483.648010 9.389603 25.839884
-492.748840 10.137759 21.533060
-499.149323 9.820286 13.325329
-504.525543 7.420125 4.691320
-512.788330 4.395349 -0.210719
-521.663696 0.470049 -3.045695
-530.471985 -1.401129 -8.646672
-535.178467 -4.620042 -16.896269
-538.969910 -8.337555 -25.763741
-544.827820 -10.898708 -33.598186
-549.103210 -13.401327 -43.017658
-552.462524 -14.978109 -52.709599
-555.746094 -15.729176 -62.182632
-559.048584 -16.496965 -71.710114
-562.053162 -15.702208 -81.411209
-561.528809 -14.736859 -91.603668
-558.691589 -12.294549 -101.084923
-552.735291 -11.337213 -109.342628
-545.863892 -12.827212 -116.634422
-538.143188 -14.716129 -123.601959
-529.158875 -14.248262 -128.503036
-519.909912 -11.480167 -132.122757
Custom
PathKill 27 35 35 1 1 1 "a Wayward" "or marauders (10/10)" 1
-515.478394 -10.747119 -133.786499
-505.571411 -11.607967 -135.709488
-495.792328 -12.876462 -137.815857
-485.899902 -12.918627 -139.921555
-475.887726 -13.468294 -141.442123
-466.171417 -16.036997 -142.854401
-455.947144 -17.822273 -144.340530
-445.776001 -17.175863 -145.818939
-435.934296 -16.516428 -148.011261
-427.962341 -15.119116 -154.166580
-420.383087 -13.601605 -160.971313
-412.689362 -13.294143 -167.532974
-405.242523 -11.908681 -174.333023
-402.997833 -9.279890 -183.961899
-404.307007 -9.668819 -194.045670
-406.598785 -10.408856 -203.955551
-404.864044 -9.022880 -213.838074
-402.964844 -6.332195 -223.362228
-407.954559 -5.893344 -232.624664
-411.605103 -7.571486 -242.156143
-420.136505 -8.511215 -247.731964
-428.884552 -8.918967 -252.702637
-433.794647 -7.695495 -261.606476
-429.317780 -6.836555 -270.555603
-419.492004 -7.627509 -272.901062
-409.687866 -6.330365 -269.929962
-401.383148 -7.557539 -263.816528
-391.475861 -8.171593 -261.741058
-515.343872 -10.754036 -133.738358
-515.343872 -10.754036 -133.738358
Custom
PathHarvest 27 35 1 1 1 1 "a captured Cardinian" "I rescued the Cardin Ward townsfolk" 1
-515.478394 -10.747119 -133.786499
-505.571411 -11.607967 -135.709488
-495.792328 -12.876462 -137.815857
-485.899902 -12.918627 -139.921555
-475.887726 -13.468294 -141.442123
-466.171417 -16.036997 -142.854401
-455.947144 -17.822273 -144.340530
-445.776001 -17.175863 -145.818939
-435.934296 -16.516428 -148.011261
-427.962341 -15.119116 -154.166580
-420.383087 -13.601605 -160.971313
-412.689362 -13.294143 -167.532974
-405.242523 -11.908681 -174.333023
-402.997833 -9.279890 -183.961899
-404.307007 -9.668819 -194.045670
-406.598785 -10.408856 -203.955551
-404.864044 -9.022880 -213.838074
-402.964844 -6.332195 -223.362228
-407.954559 -5.893344 -232.624664
-411.605103 -7.571486 -242.156143
-420.136505 -8.511215 -247.731964
-428.884552 -8.918967 -252.702637
-433.794647 -7.695495 -261.606476
-429.317780 -6.836555 -270.555603
-419.492004 -7.627509 -272.901062
-409.687866 -6.330365 -269.929962
-401.383148 -7.557539 -263.816528
-391.475861 -8.171593 -261.741058
-515.343872 -10.754036 -133.738358
-515.343872 -10.754036 -133.738358
-523.826904 -12.886083 -129.269516
-532.818542 -14.767373 -124.228287
-541.720520 -13.663146 -119.237366
-549.826416 -11.958488 -113.532104
-557.036743 -11.574635 -106.465599
-561.266602 -13.481115 -97.263023
-561.537842 -15.419023 -87.180405
-559.682495 -16.422775 -77.213844
-555.876465 -16.127600 -67.386841
-551.541809 -15.407971 -58.047848
-547.726929 -14.146694 -48.816322
-543.959473 -12.095884 -39.389256
-540.292175 -9.704105 -30.212912
-536.765198 -6.428378 -21.387573
-533.018372 -2.696582 -12.480899
-525.706116 -0.827078 -5.453794
-517.394348 2.963940 -0.962519
-508.976837 6.253713 3.371779
-500.393280 8.681840 8.626577
-491.985840 10.477283 15.055817
-483.875671 10.320134 20.942427
-473.680359 9.708985 22.931761
-464.765503 8.981943 18.022278
Custom
HailActor "General Furtog Ogrebane" 2
-458.058899 9.480048 15.452902
