A Message with Spirit
Custom
HailActor Keyta 7
1375.550659 49.888680 2196.462891
1364.552734 49.888683 2189.427246
1355.203613 46.387405 2186.437744
1345.613892 46.057957 2183.261230
1344.877686 96.358475 2183.017334
1344.877686 146.668564 2183.017334
1331.478394 146.668564 2231.406494
1317.995850 146.668564 2280.095215
1304.576050 146.668564 2328.558350
1291.166626 146.668564 2376.983887
1277.772583 146.668564 2425.353027
1264.347046 146.668564 2473.834961
1250.947388 146.668564 2522.222900
1237.548096 146.668564 2570.610840
1224.132935 146.668564 2619.054443
1210.707153 146.668564 2667.534668
1197.338745 146.668564 2715.810303
1183.902954 146.668564 2764.331055
1170.498413 146.668564 2812.737793
1157.104248 146.668564 2861.106934
1143.684082 146.668564 2909.570068
1130.269409 146.668564 2958.014404
1116.880005 146.668564 3006.364746
1103.465210 146.668564 3054.809326
1090.107544 146.668564 3103.046387
1076.739014 146.668564 3151.321045
1063.292480 146.668564 3199.875488
1055.753296 140.648773 3249.389648
1050.288818 133.535736 3298.994385
1049.737793 120.313393 3347.687500
1055.343384 100.548645 3393.695068
1067.742432 78.100739 3436.701660
1071.576904 51.909439 3479.254395
Custom
FlyDown
1095.345703 26.992716 3510.365967
Custom
PathHail 252 25 1 0 0 "a wandering kerran spirit" "AT-You have found the spirit of a fallen kerran scout wandering the Petrified Badlands and listened to its message." 5 1
1072.334351 21.730181 3492.767578
1092.052979 18.531376 3489.193604
1111.378418 14.382558 3493.541504
1128.661133 7.688835 3501.131836
1145.627075 0.209810 3508.809570
1161.016724 -4.621736 3521.128174
1174.480225 -9.074506 3535.689453
1187.886475 -14.719660 3549.850586
1201.401611 -18.940134 3563.992432
1214.470825 -22.190393 3579.162354
1226.742310 -27.677113 3594.206787
1237.637573 -31.165888 3610.736084
1247.846558 -31.562160 3628.027832
1258.576172 -30.386812 3644.916016
1275.749390 -30.960445 3655.648926
1295.738525 -31.766552 3658.672607
1310.138916 -30.797861 3672.675049
1323.953857 -29.628687 3687.127197
1339.268799 -28.832928 3700.182129
1358.048828 -28.948269 3707.724609
1378.203247 -29.949369 3708.270020
1398.074097 -31.540884 3705.549072
1417.029907 -35.237175 3698.964355
1436.588745 -38.989132 3695.038574
1456.566772 -41.368629 3694.746582
1475.060547 -40.050709 3702.790527
1493.218994 -38.937996 3711.811279
1512.509888 -39.126793 3717.675781
1532.126587 -39.605808 3722.802734
1551.563477 -39.779305 3727.574707
1571.531616 -39.197617 3730.268555
1590.729614 -39.635624 3724.628662
1610.852783 -39.044312 3723.442383
1630.849121 -39.183784 3720.300049
1650.416138 -39.760448 3715.761230
1666.015747 -41.161285 3703.322998
1678.030029 -44.406059 3687.504883
1694.019897 -47.655258 3675.633301
1712.180908 -45.572891 3683.864258
1728.450317 -42.197807 3695.370117
1744.724976 -38.675137 3706.591797
1758.193359 -36.759758 3721.344482
1778.204224 -36.587776 3722.225586
1797.662598 -36.350189 3727.048096
1816.294678 -33.756363 3734.542969
1833.726318 -34.649467 3744.409912
1844.698364 -34.762226 3761.215820
1843.414551 -34.500725 3763.285889
1829.429565 -32.709679 3777.630859
1810.401001 -31.746006 3784.605713
1790.304688 -31.598694 3784.643311
1771.625854 -30.286522 3791.803955
1757.801392 -29.373741 3795.804688
1748.696411 -30.324656 3784.037598
1746.101196 -33.110157 3764.293945
1733.277100 -34.356346 3748.992676
1713.341675 -34.364101 3745.404053
1694.932617 -35.167789 3737.307129
1677.258423 -36.594193 3727.226807
1663.557129 -39.613438 3712.907227
1644.022949 -39.481323 3717.783936
1629.046143 -37.302567 3731.144043
1615.322021 -34.816444 3745.774170
1620.508911 -31.307001 3764.810791
1626.081665 -27.418108 3783.879883
1631.159912 -23.169262 3802.762451
1636.600952 -18.691652 3821.489990
1642.182861 -14.681186 3840.400146
1638.587036 -12.132000 3859.924316
1623.992554 -10.949426 3873.514160
1609.681519 -12.799136 3859.511719
1609.690308 -15.928928 3839.525879
1606.270630 -20.221767 3820.275391
1590.153442 -22.492069 3808.511230
1570.204224 -22.367357 3804.600342
1552.252563 -24.026114 3795.900879
1534.296875 -25.782452 3786.696777
1517.818359 -28.114994 3775.281250
1501.065308 -29.523035 3764.202393
1485.850098 -24.132555 3776.180664
1479.022583 -16.573370 3793.516357
1485.611938 -11.048638 3811.627197
1495.987915 -6.000170 3828.006592
1496.857300 -1.799620 3847.758057
1494.857178 2.605119 3867.320557
1486.997803 4.595057 3885.744629
1473.172852 4.581896 3900.205322
1466.970093 2.247987 3919.384277
1480.260254 -0.197495 3934.640137
1495.108276 -2.005969 3947.948975
1495.918945 -3.145938 3968.216553
1493.842651 -5.025157 3988.073975
1492.354736 -6.662220 4008.128662
1492.637817 -8.250587 4028.189209
1496.904541 -8.813834 4047.956543
1507.901733 -8.461353 4065.057373
1520.547607 -7.909815 4080.925537
1540.670410 -7.810130 4082.599121
1558.387451 -7.759385 4073.302002
1570.607788 -7.851599 4057.089844
1590.653442 -7.649740 4056.466553
1610.966064 -8.129816 4058.450928
1630.849121 -9.210063 4061.626465
1649.439209 -10.019882 4069.335449
1668.238403 -10.367872 4076.618896
1686.958862 -11.094008 4083.652344
1705.430176 -9.779925 4091.399170
1723.787598 -9.100311 4099.601563
1740.820557 -9.280947 4110.256836
1754.820190 -9.443362 4124.702637
1737.465332 -8.209913 4134.715332
1717.799683 -4.319724 4131.386719
1699.402832 0.892678 4124.485352
1680.443604 4.419868 4119.075195
1660.398926 5.794254 4118.831055
1640.855835 4.185326 4114.258301
1627.316528 3.619471 4099.250000
1622.076050 2.662443 4079.693115
1602.856567 4.929094 4074.589844
1584.399536 6.227700 4083.146729
1580.824097 6.429663 4103.018555
1584.538452 6.718853 4122.735352
1602.394775 7.979735 4132.269043
1617.574219 7.663583 4145.514160
1626.791626 7.406110 4163.271484
1641.295776 -3.056264 4210.701660
1644.618408 -4.945761 4227.248047
1644.353638 -4.965933 4227.202637
1624.628174 -5.251053 4223.041992
1612.027222 -5.351161 4214.824707
1599.237671 -4.744266 4230.469727
1590.451904 -4.457959 4248.576660
1594.889526 -4.130689 4268.402832
1598.112305 -4.063556 4288.291016
1601.289307 -4.202044 4308.166992
1609.580933 -3.497865 4326.417480
1622.892822 -2.550360 4341.537109
1638.083008 -3.754021 4354.772949
1645.798584 -4.838817 4373.376465
1641.420532 -1.910751 4392.725098
1633.475830 1.967860 4410.703613
1617.930664 5.985337 4422.979004
1601.106201 8.528397 4434.002441
1595.478638 9.946672 4440.841309
1594.183838 7.063315 4421.058594
1596.043457 2.552583 4401.495605
1597.932983 -0.859570 4381.620117
1599.299316 -3.425679 4361.710449
1597.664185 -5.289612 4341.229492
1587.870361 -4.684399 4323.689941
1569.737183 -5.593505 4332.477539
1551.848877 -7.127417 4341.791504
1531.719238 -8.071876 4343.831055
1515.579102 -9.951212 4355.812988
1504.598511 -12.980547 4372.578125
1491.002197 -13.577366 4387.312988
1471.153931 -15.733226 4389.672852
1465.436035 -15.931345 4370.401367
1473.690430 -15.803102 4351.885254
1482.219482 -16.870747 4333.638672
1491.641846 -12.818160 4316.086426
1497.296753 -11.947293 4296.376465
1495.196533 -8.858080 4276.508789
1479.323364 -7.970043 4264.326660
1464.087769 -5.961707 4250.937500
1447.441162 -0.595715 4240.951660
1427.857666 3.266833 4238.154785
1408.142944 1.695606 4234.200195
1401.470215 -3.887645 4216.038086
1389.215820 -9.810094 4201.342773
1382.248047 -12.036253 4182.453125
1362.486938 -8.104786 4182.152832
1343.382080 -4.736108 4187.085449
1323.547119 -3.445345 4189.962402
1303.830688 -3.552191 4185.521973
1287.117920 -6.779481 4174.671875
1271.401611 -3.820228 4162.446777
1252.625610 1.355670 4157.093262
1232.862305 4.745443 4157.820801
1213.134155 7.566321 4154.459473
1194.801880 11.085413 4162.128418
1179.210083 15.196358 4150.115234
1194.263306 11.907978 4137.266602
1212.884644 7.889994 4130.271973
1231.576782 4.511130 4123.864258
1250.527954 4.063510 4117.332031
1268.303833 1.655220 4108.107422
1286.595703 -0.700774 4099.811035
1305.642700 -3.054064 4093.358398
1324.533813 -5.302349 4086.463135
1340.839111 -7.257998 4074.719238
1357.542358 -7.644629 4063.169189
1369.723389 -6.253952 4046.955322
1364.568848 -3.272689 4027.586670
1366.412720 1.034900 4008.102783
1376.017456 4.787881 3990.628418
1394.340088 4.938889 3982.042480
1414.263550 3.814998 3979.083984
1430.654785 0.817516 3990.369385
1441.702881 0.990862 3973.617188
1449.755371 0.978137 3955.244629
1462.650269 0.755759 3939.474854
1457.212646 2.968872 3920.150391
1451.697876 5.600234 3900.856689
1431.921021 6.199674 3904.872803
1412.043335 6.893322 3907.309814
1394.990845 7.424109 3896.703857
1391.476807 5.997623 3876.783936
1387.815552 4.105323 3856.906494
1372.632080 3.489652 3843.303223
1357.691040 2.484010 3829.355469
1351.546143 -0.043125 3810.395020
1361.151855 -3.279764 3793.145752
1377.142578 -6.650373 3781.043213
1395.084961 -10.612386 3772.941650
1414.169556 -15.655291 3769.216797
1433.558350 -20.487118 3768.108887
1451.929565 -24.604704 3761.261719
1448.531494 -29.183098 3741.905518
1430.597046 -29.158432 3733.025635
1410.415405 -26.778822 3731.283447
1390.359619 -25.966753 3729.542236
1369.992676 -25.357992 3727.197021
1356.712036 -22.549192 3742.162842
1351.588623 -18.953426 3761.332031
1341.878784 -16.613485 3771.074463
1322.218262 -16.362545 3766.888184
1302.306885 -16.033798 3769.528320
1283.043701 -15.810501 3775.142090
1265.021118 -15.829299 3784.203857
1245.889038 -17.769325 3790.432617
1226.172729 -19.705233 3794.877686
1208.704590 -20.231354 3785.142578
1198.743042 -19.586514 3767.632324
1189.628052 -17.415277 3749.481689
1179.834473 -14.585318 3732.229736
1169.026855 -11.485800 3715.679688
1158.135864 -8.359192 3699.005615
1145.911621 -4.197664 3683.409912
1133.407471 0.790680 3668.255127
1126.634155 3.689473 3649.369141
1118.314453 8.300017 3631.459229
1107.586670 12.945601 3614.815430
1093.171631 18.960560 3602.168213
1081.012207 24.676680 3586.967773
1066.970947 30.620550 3573.845947
1051.063110 35.958374 3562.050537
1035.676880 40.541298 3549.432129
1029.762573 41.791874 3540.481689
1034.126709 38.740776 3520.974609
1049.528564 30.915159 3510.175293
1065.348877 23.945770 3499.912598
1080.818726 20.750702 3492.860840
1080.818726 70.764648 3492.860840
1090.742310 80.573151 3444.352295
1100.862915 80.573151 3394.888672
1110.956177 80.573151 3345.559082
1121.038452 80.397560 3296.281494
1135.207397 68.026596 3249.522217
1150.708862 71.424194 3202.001709
1164.529785 94.533142 3159.636963
1179.997437 100.985321 3112.213867
1195.598267 100.984398 3064.379395
1211.168823 100.983467 3016.637939
1226.722290 100.982544 2968.950928
1242.287231 100.981949 2921.229248
1257.852539 100.981346 2873.507568
1273.412476 100.980560 2825.803711
1289.038574 100.979805 2777.895508
1304.597534 100.979202 2730.192383
1320.162598 100.978600 2682.470947
1335.758423 100.977669 2634.655762
1351.275391 100.976662 2587.080322
1366.888794 100.975647 2539.208496
1382.460449 100.974686 2491.467041
1396.928955 100.644821 2443.597900
1400.079956 105.297401 2393.895020
1402.631836 129.257523 2349.885742
1405.520264 126.754318 2300.029541
1395.004395 126.748573 2253.422852
1369.479126 126.702713 2216.103516
Custom
FlyDown
1354.499390 126.727802 2196.171631
1356.005249 46.381653 2186.007080
1364.209351 49.887932 2189.725830
Custom
HailActor Keyta 5
1375.911743 49.888680 2195.981689
Custom
HailActor Keyta 5
1375.911743 49.888680 2195.981689
