Vyemm's Vengeance
Custom
HailActor Harla 5
-119.693382 46.722439 767.311157
-119.693382 96.756790 767.311157
-119.693382 147.081879 767.311157
-119.693382 197.425659 767.311157
-119.693382 247.507034 767.311157
-100.510109 255.719543 721.728821
-81.098442 255.719543 675.603088
-63.318985 276.561493 633.355591
-49.567081 312.013885 600.678772
-31.571398 331.238312 557.917664
-12.123305 331.238312 511.705566
7.317509 331.238312 465.511047
26.758314 331.238312 419.316467
46.213680 331.238312 373.087189
65.639938 331.238312 326.927002
85.080902 331.238312 280.732086
104.514503 331.238312 234.554611
124.137138 331.238312 187.927994
143.577896 331.238312 141.733414
163.062332 331.238312 95.435112
182.481293 331.238312 49.292305
201.951233 331.238312 3.028564
221.399261 331.238312 -43.183338
240.854584 331.238312 -89.412537
260.273621 331.238312 -135.555328
279.750916 331.238312 -181.836243
299.155609 331.238312 -227.944321
318.676636 331.238312 -274.328979
330.641327 333.280060 -322.874634
332.508026 351.377502 -369.622345
332.530334 351.377502 -419.696777
328.850922 351.377502 -469.680298
325.159180 351.377502 -519.832092
321.445038 351.501648 -569.772827
312.897980 351.979218 -619.214172
303.891022 352.291199 -668.687805
294.880585 352.603241 -718.179810
285.956665 352.193268 -767.660217
277.202850 347.894714 -816.756104
259.787415 334.992676 -862.237366
Custom
FlyDown
247.769318 324.723022 -882.189697
Wait
50
254.113434 320.083954 -899.622009
254.113434 370.402771 -899.622009
264.305939 378.202789 -851.247131
273.219940 378.202789 -801.680115
282.143738 378.202789 -752.058105
291.097382 378.202789 -702.270020
298.569061 369.954773 -653.146179
300.228821 340.579773 -612.265625
300.039001 300.574005 -582.105774
333.312042 263.418762 -576.193176
372.154846 231.438660 -575.346985
410.374756 198.969391 -576.908447
Custom
FlyDown
427.661987 184.206497 -577.620300
436.065125 183.127609 -583.068054
444.410156 185.616623 -588.325378
452.690308 186.460129 -594.772278
460.960602 186.219421 -601.451782
468.780304 186.219421 -607.737305
466.720764 186.219421 -617.733276
462.346161 186.234070 -626.816956
458.532471 186.234070 -636.307312
455.086395 186.234070 -645.737488
452.195953 185.954407 -655.634949
458.188385 185.954407 -663.851746
454.253723 185.982483 -673.223999
450.333221 185.982849 -682.498657
448.809631 185.982483 -687.662598
445.179169 185.944885 -697.109314
436.797760 186.019272 -702.817627
426.816956 187.532242 -702.394531
417.069000 188.161819 -699.692200
408.604675 188.248993 -705.340637
405.410431 188.450333 -714.826294
404.769684 188.564835 -725.082214
405.448822 188.884384 -735.317810
406.810364 188.520813 -745.543762
408.491028 186.771408 -755.577881
410.691010 185.347534 -765.236633
412.972412 184.291031 -774.974365
415.305969 183.728302 -784.958618
416.182800 183.586578 -795.262939
415.285828 183.418625 -805.765442
410.268219 183.325470 -814.895447
406.360657 183.309570 -824.349976
404.276184 183.291153 -834.556458
Wait
20
403.766418 183.288147 -836.228821
405.000549 183.306427 -826.228455
407.589233 183.323029 -816.367859
412.656403 183.371979 -807.490723
415.924713 183.550339 -797.768677
413.635254 183.655243 -787.984680
405.620239 183.276230 -782.170959
389.729065 170.742111 -784.718933
375.017761 122.736595 -788.343079
352.002930 78.655983 -794.264404
305.988068 58.713276 -790.456726
275.108215 54.026878 -750.971252
256.918793 80.297714 -712.020569
254.770737 82.698952 -661.795410
252.013107 76.507042 -612.213440
249.238953 70.277985 -562.333740
246.474060 64.069824 -512.621643
243.690765 57.819942 -462.574707
240.910568 51.577045 -412.583466
238.119034 45.308620 -362.387939
235.341858 39.072651 -312.452393
232.578217 32.866871 -262.758301
229.808090 26.647146 -212.952515
227.050339 20.455315 -163.369781
222.442841 18.059557 -113.608963
217.261734 16.032297 -63.875519
205.292236 14.979439 -15.301961
189.809372 14.682282 32.541759
174.401398 14.386571 80.153564
158.993530 14.090860 127.765511
143.585663 13.795148 175.376953
128.114426 13.498222 223.184814
112.718079 13.202749 270.760895
98.521675 32.751377 314.628906
87.589645 68.047310 348.409149
74.075806 92.554420 390.167572
56.860580 101.277168 436.698273
35.208004 107.084953 481.505493
13.587451 103.166817 526.655457
-8.008871 99.253098 571.755432
-29.597116 95.340858 616.838501
-51.217628 91.422745 661.988892
-73.032349 87.468773 706.985901
-100.775558 66.720596 743.041382
Custom
FlyDown
-116.735626 56.764759 765.052979
Custom
HailActor Harla 3
-116.762733 47.142159 765.084290
