Wurms"," and Devourers"," and Drakes.  Oh"," My!
Custom
HailActor "Scout Nan'Dor" 5
-1704.358643 270.097992 -39.258026
-1705.096802 269.929138 -29.142702
-1705.832031 269.532593 -18.883615
-1706.554565 268.146149 -8.800447
-1707.302979 266.876587 1.645308
-1709.097534 265.059692 11.507986
-1711.185059 263.105103 21.344065
-1713.215698 260.878357 30.913816
-1715.170410 257.107666 40.387669
-1715.751709 253.454376 49.822365
-1714.256470 249.522797 59.206551
-1711.829956 245.668945 68.156586
-1709.208496 241.211365 77.223244
-1705.985229 237.972168 86.314796
-1700.677246 235.500595 94.561356
-1694.473633 233.572220 102.219513
-1688.320801 231.018494 109.917702
-1683.431641 228.197372 118.515198
-1680.803711 224.804916 127.840309
-1681.153687 226.453918 137.903305
-1685.190186 228.852234 147.013901
-1689.657959 227.800385 156.143173
-1693.936523 225.161942 165.021301
-1698.271362 223.474243 174.113968
-1701.194580 220.173965 183.247925
Custom
PathKill 139 34 35 1 1 1 "a skyfire drake" "I have killed skyfire drakes. (3/3)" 1 "a gnashing devourer" "I have killed gnashing devourers. (5/5)" 1 "a skyfire wurm" "I have killed skyfire wurms. (4/4)" 1 "*ATADD*" "culled the number of beasts" 0 
-1702.119507 219.421371 190.174225
-1709.103882 219.692459 197.344864
-1715.230835 219.456589 205.370071
-1716.363892 217.893692 215.473862
-1718.235596 218.360214 225.346024
-1721.703857 220.166397 234.587555
-1725.189453 221.287338 244.115845
-1733.542114 219.483795 249.526749
-1743.687500 217.862442 250.178787
-1753.994385 217.628586 250.804428
-1764.428589 218.281448 251.451706
-1774.660156 219.296082 252.344589
-1784.675415 220.262527 253.421280
-1794.744995 221.882721 253.867569
-1804.442993 224.340424 255.180084
-1811.406616 225.386032 262.392670
-1817.919556 225.842056 270.194946
-1825.086304 226.002594 277.630646
-1832.202026 226.358704 285.014648
-1835.300171 224.222534 294.594727
-1838.352783 222.789520 304.034882
-1841.246460 223.193451 313.727905
-1839.469971 221.383591 323.448883
-1834.270386 221.147339 332.338531
-1826.168823 220.997589 338.487549
-1816.527344 221.245758 341.884399
-1806.483521 221.106598 342.361267
-1796.337158 221.402069 343.518951
-1786.256836 221.216629 343.609009
-1776.226807 220.672653 342.994598
-1766.154785 220.474701 342.371399
-1756.004639 220.712189 341.885559
-1746.258911 223.568207 342.003876
-1736.223022 226.298889 342.129333
-1734.177124 227.649780 351.873566
-1732.085693 225.203384 361.433655
-1728.773682 220.324295 369.587830
-1725.238159 215.928482 378.083282
-1721.632446 212.145676 386.746368
-1717.992188 208.725204 395.493164
-1714.309937 205.165802 404.340485
-1712.222656 202.803345 413.863190
-1711.974487 201.308777 424.105560
-1706.559204 200.446548 432.537811
-1696.935303 199.419312 429.026184
-1687.482544 199.272156 425.102966
-1678.219604 200.265198 421.144897
-1668.857910 202.247833 417.140961
-1659.402588 205.446899 415.749908
-1650.763916 208.582336 411.536652
-1645.219116 208.728745 403.171112
-1642.721680 206.444046 393.710480
-1640.662476 203.951843 383.961456
-1638.539429 203.683289 373.910461
-1634.687622 205.535812 364.513977
-1628.912476 207.934738 356.306610
-1622.869629 210.728607 348.637756
-1616.585571 211.977554 340.579865
-1610.163818 211.423462 332.846527
-1603.683716 209.050858 325.469543
-1596.648315 207.013626 318.359650
-1588.859009 208.371552 312.001465
-1581.072144 210.693085 305.791260
-1571.019653 211.132538 304.408051
-1561.002686 210.483322 305.264465
-1551.044678 209.442184 306.658173
-1541.073608 209.343765 308.091553
-1530.946655 210.726486 309.304230
-1521.036499 211.752167 310.339844
-1511.164673 211.821640 312.138794
-1501.287720 210.838821 315.046539
-1492.843628 208.613663 320.456421
-1484.954224 206.891922 326.389832
-1476.867554 206.329773 332.695435
-1468.541138 206.217545 338.483002
-1459.939819 206.773163 344.033508
-1451.521118 206.959305 349.465851
-1447.707886 206.838028 358.940491
-1447.597656 208.672653 368.801544
-1447.819336 209.265930 378.952850
-1449.306885 208.739868 389.006042
-1451.455444 207.503784 398.766174
-1455.622925 204.828766 407.636810
-1460.992554 204.041214 416.274719
-1466.654175 204.140411 424.715546
-1472.255493 204.182724 433.065918
-1477.892578 204.363098 441.544891
-1482.729370 204.740021 450.494873
-1486.509033 205.480621 459.753815
-1489.909912 206.574219 469.143707
-1481.494385 205.730484 474.898163
-1472.630371 205.443344 480.251587
-1465.017822 206.656540 486.894135
-1457.377441 206.922943 493.922852
-1449.455322 206.275620 500.259033
-1441.595581 204.312866 506.413025
-1433.488647 204.617111 512.722290
-1425.124634 204.984589 518.612488
-1416.723633 204.785919 524.138000
-1406.505127 205.040756 524.068726
-1397.996216 206.098892 518.782654
-1390.145264 206.932541 512.273987
-1383.139404 208.250519 505.121674
-1376.515869 209.810120 497.701630
-1369.415527 210.559753 490.559875
-1361.819092 209.687424 483.511749
-1354.116577 207.130386 477.134094
-1346.271118 205.906372 470.815979
-1338.409180 206.540161 464.606598
-1332.310791 209.267517 457.065491
-1326.935547 212.101059 449.044556
-1317.859741 215.848297 451.692047
-1310.098755 219.032242 457.827728
-1303.110352 220.296783 465.246918
-1296.505127 219.207306 473.018555
-1289.968262 217.603241 480.990326
-1283.444580 217.174683 488.949036
-1276.966553 217.794739 496.851624
-1270.568848 218.276749 504.608215
-1263.292114 219.609085 511.645508
-1255.966064 222.000031 518.690552
-1248.320313 223.326202 525.372681
-1240.276611 223.826111 531.615234
-1232.376099 223.833908 537.746582
-1223.006226 223.913696 542.008789
-1212.908813 224.473480 542.818298
-1202.129517 225.421371 542.891479
-1191.841064 226.670776 542.653809
-1182.055908 228.729309 544.480530
-1172.675659 229.160751 549.005066
-1164.026611 228.882202 554.353333
-1155.711182 228.526123 560.506409
-1147.478760 227.818512 566.944336
-1139.590210 227.828857 573.237122
-1132.215088 228.504745 580.123474
-1125.326782 230.132294 587.220947
-1118.668091 231.607544 594.940857
-1112.649780 231.599396 603.255798
-1108.279785 229.848846 612.128662
-1104.009155 228.336014 620.869751
-1702.572632 219.556625 189.857254
-1702.572632 219.556625 189.857254
-1699.125610 221.474716 180.405334
-1695.302246 224.191788 171.309967
-1691.478882 225.646851 161.932312
-1687.786987 228.871017 152.774948
-1683.897949 227.597473 143.403915
-1680.178467 225.041626 134.453690
-1678.937378 226.307785 124.370712
-1683.950439 228.979111 115.873718
-1691.694458 231.078964 109.367439
-1698.498657 233.123657 102.288467
-1705.403809 235.250549 95.029358
-1711.538940 237.479706 87.440498
-1716.009399 239.569153 78.587112
-1717.943726 242.617981 69.232430
-1718.684448 247.047668 60.047592
-1718.100952 252.046585 51.073524
-1716.746460 256.265442 42.102379
-1713.861328 260.130035 33.104214
-1710.426758 262.626129 23.957672
-1708.322510 264.440918 14.070021
-1706.382690 266.490295 4.407420
-1704.937378 267.455200 -5.519037
-1704.595093 268.903168 -15.656833
-1704.302612 269.665436 -25.761721
-1703.889038 270.098846 -35.862598
Custom
HailActor "Scout Nan'Dor" 2
-1703.764282 270.103027 -38.691250
