Mystery at the Battlement
Custom
HailActor "Warlord Sel'Nok" 5
-994.614014 -67.747826 -979.048706
-984.397888 -67.440773 -980.227112
-974.376831 -67.781242 -981.502686
-964.184204 -68.253670 -981.827637
-954.219910 -69.876747 -981.792786
-947.491028 -70.877296 -981.768982
-945.360535 -71.923592 -991.602234
-943.106812 -74.024071 -1001.207703
-933.353333 -75.376251 -998.953979
-928.336914 -77.916000 -990.593445
-924.840271 -78.994392 -981.087036
-924.847900 -81.167084 -971.303467
-926.171814 -82.527664 -961.355591
-927.589844 -85.361313 -951.602600
-929.031311 -88.105446 -941.688171
-930.469788 -89.669624 -931.791565
-931.640747 -91.532539 -921.897827
-932.595276 -93.163536 -911.778748
-933.551453 -94.121681 -901.641541
-934.489014 -95.012161 -891.703125
-934.990356 -96.009827 -881.539795
-934.878845 -97.481842 -871.521484
-917.522461 -63.378788 -839.315002
-892.228149 -27.740595 -814.389221
-863.727112 3.668911 -787.484924
-829.764648 22.441359 -755.511475
-793.817261 32.162689 -721.877502
-757.276367 34.640499 -687.688782
-720.762756 37.116432 -653.526001
-686.101624 49.582607 -618.970581
-650.612976 52.063770 -583.534363
-615.164124 54.542171 -548.137451
-581.305298 72.398621 -514.328735
-546.455322 81.124069 -479.529297
-511.425934 88.463127 -444.551331
-475.990356 90.940536 -409.168182
-440.488586 93.422546 -373.718842
-403.933533 95.899773 -339.658661
-361.432892 98.381668 -313.145752
-319.058105 100.857109 -286.532715
-276.651459 103.334457 -259.899994
-234.165314 105.816429 -233.217590
-191.821793 108.290062 -206.624832
-149.335648 110.772026 -179.942352
-106.817818 113.255859 -153.240067
-64.511307 114.418198 -126.223480
-30.286301 89.966812 -98.818184
5.673252 63.453293 -76.363640
41.416874 39.878197 -50.464245
73.996811 17.033129 -20.012737
93.946899 -16.961504 11.117428
Custom
FlyDown
96.525894 -21.307220 14.555280
Custom
PathKill 65 35 35 1 1 1 "a Danak regimental" "I defeated enough Danak regimentals for Warlord Sel'Nok's needs" 1
102.038872 -32.815723 21.281982
107.511253 -30.324547 29.304653
117.180397 -28.942324 32.094978
127.451912 -28.810665 31.410892
137.613434 -29.417875 30.350605
137.985321 -27.679199 40.214043
132.997864 -26.680395 49.234489
128.207336 -26.006113 58.337608
125.540268 -25.304838 68.198570
120.541069 -24.740236 77.000175
115.080849 -24.087831 85.658134
121.805801 -22.739407 93.044395
132.068375 -23.219570 93.589905
142.051865 -24.241495 91.440193
151.164764 -24.818913 86.418098
160.984207 -25.462177 83.743698
170.949509 -26.094358 82.717201
179.742462 -27.498745 77.862228
185.994873 -29.340139 70.108902
191.983200 -31.283619 62.054939
197.918930 -33.423199 53.871372
203.722672 -35.287064 45.816494
210.127701 -36.473152 38.164093
217.313965 -37.203484 31.164158
220.487015 -37.696445 21.527040
219.220978 -38.104115 11.240968
221.086990 -38.570889 1.018314
225.795303 -39.373810 -8.048838
236.037369 -39.779568 -9.745241
246.094269 -39.886745 -9.745893
256.370544 -40.046440 -10.264862
266.580109 -40.230373 -10.658425
276.759766 -40.273384 -10.453040
286.570160 -40.388233 -13.489947
293.161133 -40.632164 -21.063660
298.813934 -40.773777 -29.722906
303.994354 -40.822483 -38.382980
301.259247 -40.803894 -48.255901
295.813843 -40.712173 -56.934086
290.184326 -40.531300 -65.263924
285.190216 -40.363819 -74.186546
281.640167 -39.929573 -83.679359
280.736664 -39.376858 -93.697189
281.910065 -37.967533 -103.614334
282.934235 -35.981583 -113.525574
283.933014 -33.492447 -123.384514
283.433868 -31.586046 -133.462173
281.514191 -30.695755 -143.359207
280.220062 -30.224979 -153.477127
279.061249 -29.957350 -163.463409
278.240051 -29.688343 -173.630600
