Rise of Thrael'Gorr
Custom
HailActor "Tragg Sharptongue" 4
-701.467224 -340.509949 2745.852295
-691.790100 -340.509949 2744.524902
-687.749878 -342.078552 2735.321045
-683.502869 -343.307343 2726.257813
-679.153442 -343.473175 2716.984375
-664.321533 -302.777618 2691.930908
-633.682190 -264.360016 2682.001465
-597.776550 -229.327637 2679.693604
-561.468628 -194.653671 2677.360840
-513.743652 -179.738602 2674.295166
-470.803223 -154.001724 2671.537354
-424.862091 -134.386276 2668.585938
-376.932343 -119.407104 2665.507080
-328.965454 -104.416092 2662.426514
-281.258575 -89.506363 2659.361816
-233.254593 -74.503738 2656.279297
-185.547989 -59.594009 2653.216309
-137.822678 -44.678474 2650.150879
-90.004745 -29.733910 2647.079346
-41.982441 -14.725479 2643.995850
5.724200 0.184238 2640.932129
53.616615 15.152015 2637.856201
101.586052 30.142427 2636.206055
149.422729 45.069515 2637.708496
199.482315 43.781342 2638.707764
244.512253 22.037260 2639.158203
287.031006 -4.590097 2639.820801
329.493134 -31.051702 2640.482178
Custom
FlyDown
355.843231 -47.135277 2640.959717
Custom
HailActor "Chief Thrael'Gorr" 5
363.250580 -61.775322 2640.869629
346.975800 -27.407850 2661.807861
310.787445 -32.556015 2695.963867
274.862793 -32.561905 2731.347656
239.188492 -32.567764 2766.485840
203.236206 -32.573669 2801.896729
169.578445 -50.850544 2834.197510
147.214249 -78.353920 2870.051514
122.224251 -104.603683 2905.057129
97.379158 -130.700317 2939.859131
72.389053 -156.949295 2974.864746
47.534279 -183.056030 3009.680664
22.689142 -209.152679 3044.483398
2.507758 -243.522583 3075.376221
-13.477977 -273.199799 3112.515381
-28.419195 -275.542450 3160.238037
-9.118483 -284.278381 3205.659180
10.459927 -303.861572 3247.581055
5.018569 -310.918427 3296.878418
16.647089 -296.654877 3343.625244
23.278158 -286.753601 3392.244141
31.229548 -283.492401 3441.758057
Custom
FlyDown
35.587368 -293.748840 3485.867920
Custom
PathKill 93 35 35 1 1 1 "a woolly mammoth" "a mammoth bone (5/5)" 1 "snowmane" "a sabertooth pelt (10/10)" 1 "*ATADD*" "I obtained the snowmane pelts and mammoth bones for Chief Thrael'Gorr" 0
35.588043 -300.546753 3485.843750
34.956554 -303.403198 3476.220703
29.100605 -305.484802 3468.386475
25.516556 -307.569336 3459.264893
22.371687 -310.230621 3449.718994
19.516399 -312.903107 3440.335205
17.007095 -315.907745 3430.507324
16.688042 -318.920959 3420.662598
20.177221 -321.751953 3411.559326
28.239408 -324.222107 3405.991455
36.416321 -326.853973 3400.086426
44.735996 -327.768341 3394.077637
46.911831 -329.252441 3384.375244
42.564644 -330.393707 3374.685547
38.695404 -331.464142 3365.469727
34.821239 -332.600494 3356.108887
30.910915 -333.407013 3346.660645
26.957216 -334.837646 3337.107666
23.140894 -336.263062 3327.723877
20.198061 -337.569031 3317.979004
17.752073 -338.172516 3307.973389
15.313828 -338.449585 3298.160156
12.856322 -340.329376 3288.293701
11.097271 -342.289307 3278.282715
10.433413 -343.821320 3268.325684
7.599311 -345.521332 3258.723633
3.400678 -347.145782 3249.669678
-0.899176 -348.217712 3240.374023
-5.128278 -348.260651 3231.230957
-9.576050 -347.757568 3221.731934
-14.599442 -347.361908 3212.808350
-20.042566 -347.247467 3204.197998
-25.558773 -347.409302 3195.543945
-32.962162 -348.948486 3188.846436
-42.185623 -351.677307 3185.044189
-51.526833 -354.278534 3182.066406
-61.235340 -355.825623 3179.240479
-70.836708 -357.343140 3176.325439
-80.149994 -358.686676 3172.260254
-89.315826 -359.781250 3167.644531
-98.213814 -360.741516 3162.841797
-106.762108 -361.638824 3157.696777
-115.542496 -362.646393 3152.367676
-124.105080 -363.631439 3147.171143
-133.072220 -364.600250 3141.729736
-138.926239 -365.109039 3136.274414
-143.950668 -365.316040 3127.391602
-147.263947 -364.619873 3117.626953
-151.826187 -364.055908 3108.593018
-158.998718 -363.982300 3101.373291
-166.885193 -364.170288 3094.806885
-174.570526 -364.499481 3088.411621
-182.255829 -364.945801 3082.016602
-190.159088 -365.344086 3075.440186
-197.933655 -365.719147 3068.859863
-199.396896 -363.904083 3059.047363
-199.733856 -361.586945 3048.975342
-204.100449 -360.764313 3039.655762
-213.993469 -363.825134 3039.273438
-222.537354 -366.211395 3044.630371
-231.697784 -368.169189 3048.989258
-241.779877 -369.287781 3047.264160
-250.093536 -369.233185 3041.065918
-257.154022 -368.411835 3033.515381
-264.744019 -367.647522 3026.338135
-272.750854 -366.557922 3020.441406
-281.154846 -366.054077 3014.757324
-289.386505 -365.481934 3008.724365
-297.857483 -365.180450 3003.243652
-306.533813 -365.357361 2997.729004
-314.846954 -365.374695 2991.522461
-324.212982 -366.045868 2987.046143
-333.995209 -368.917084 2988.329834
-343.488892 -370.063080 2984.687988
-348.739288 -369.597229 2975.725830
-352.740845 -369.559143 2966.282227
-356.697296 -369.301086 2956.954834
-361.973877 -369.033478 2947.671875
-368.294312 -368.904205 2939.656250
-376.907196 -369.107819 2934.002197
-386.759674 -367.441711 2932.984375
-395.788696 -365.725220 2937.268066
-398.951080 -364.617096 2947.265625
-398.249146 -364.389313 2957.556396
-393.549896 -365.577515 2966.360596
-387.922791 -367.450989 2974.964111
-382.305237 -369.194366 2983.189209
-376.928345 -370.744659 2991.567627
-374.076080 -372.040192 3001.632568
