Within Our Reach
393.264374 -16.854008 -33.222542
392.982086 -16.373817 -43.367657
393.389709 -15.906270 -53.503601
394.228180 -15.662021 -63.665337
395.215302 -15.705131 -73.665260
396.218658 -15.843010 -83.829384
397.220398 -16.856483 -93.977089
398.196075 -19.984318 -103.497169
400.225189 -23.401970 -112.962311
404.108246 -23.648163 -122.346725
409.822266 -22.929407 -130.751465
415.462372 -20.746637 -139.042999
421.032471 -18.893644 -147.312210
426.211121 -17.664597 -156.145752
430.745667 -17.300463 -165.181229
434.321045 -17.023832 -174.772079
436.164276 -17.366209 -184.794266
437.749451 -18.197395 -195.117798
439.119354 -19.607424 -205.089035
440.498108 -20.864601 -215.292282
441.841522 -20.894003 -225.233902
443.323883 -20.725016 -235.254822
446.124084 -20.539160 -244.870880
450.724091 -20.273958 -253.901840
457.395416 -20.006086 -261.512024
466.040680 -19.839191 -266.887085
474.725281 -19.754866 -272.006989
483.589539 -19.898357 -277.012115
492.718475 -20.379917 -281.437286
502.407959 -20.970203 -284.547455
Custom
ZoneDoor zone_to_qey_elddar
503.502930 -21.032328 -284.726410
528.278198 -20.697227 -293.266266
537.464294 -20.805216 -297.752747
546.408142 -21.068813 -302.741577
554.896790 -21.461737 -308.118347
563.762085 -21.980780 -313.119446
573.375183 -21.611601 -316.617035
582.645142 -20.605743 -320.698639
591.636292 -19.905802 -325.172852
600.101685 -18.965286 -330.602325
607.848816 -17.932129 -337.106262
614.921875 -16.806784 -344.288788
621.810669 -15.273695 -351.761810
628.376465 -13.946115 -359.411621
635.081177 -13.523506 -366.916687
641.878296 -12.794291 -374.584534
648.345398 -11.579194 -382.446808
655.062256 -10.555393 -390.005615
Custom
HailActor Tairiel 5
656.324646 -10.435644 -391.223541
656.246887 -10.940390 -398.376770
666.407410 -10.802477 -400.014893
676.671753 -11.065311 -401.669678
686.586609 -12.138095 -403.382385
694.980591 -13.730568 -409.026215
700.099487 -15.257774 -417.938873
702.089355 -16.830500 -427.871063
705.491577 -16.202610 -437.300934
708.987854 -19.832539 -446.173798
714.476196 -20.900665 -454.641907
722.578125 -21.617643 -460.846680
731.716125 -22.193314 -464.980896
740.768311 -22.311800 -469.809998
749.267029 -22.059206 -475.348724
756.738770 -21.811512 -482.417999
763.987671 -21.799089 -489.683044
771.224915 -21.799091 -496.936310
778.200012 -21.834934 -504.253967
784.239868 -22.497030 -512.486023
789.480164 -22.836014 -521.015686
794.083984 -22.473799 -530.185059
803.814026 -21.708490 -533.255920
813.481873 -20.792450 -530.520203
Custom
ZoneDoor "zone_to_qey_village06"
813.870728 -20.776087 -530.415833
820.583618 -20.562908 -522.362671
825.225037 -19.198473 -513.394226
Custom
PathKill 33 34 35 1 0 0 "an invading lamia castigator" "I have defeated Lamia spellcasters. (6/6)" 1
829.026428 -18.315798 -508.533325
824.344116 -17.336163 -506.302765
824.176392 -13.563471 -496.887268
826.647583 -13.957753 -486.970123
831.689331 -13.790524 -478.298492
838.386292 -13.652412 -470.855713
844.749451 -17.399368 -463.914246
853.219482 -18.918600 -458.598724
860.099670 -19.109547 -451.184082
866.560547 -18.502192 -443.243134
872.582153 -18.474802 -435.098145
876.700073 -15.043231 -426.559998
867.815308 -13.267573 -421.972992
877.011292 -14.858684 -426.013367
885.106323 -13.837193 -431.656433
891.991821 -14.178418 -439.087006
894.996277 -16.438133 -448.515686
894.351440 -18.869205 -458.241028
899.050476 -17.774475 -467.181213
904.074646 -17.516491 -475.933411
909.124878 -17.745079 -484.697723
911.705139 -14.809865 -494.031219
904.511536 -18.120823 -500.155548
897.014893 -17.356173 -506.993011
892.300720 -16.202284 -515.950195
888.406372 -15.639766 -525.265076
888.160217 -14.564318 -535.255493
881.177856 -15.593625 -528.453125
871.086731 -16.275074 -527.124207
861.137390 -18.034740 -528.657288
851.354187 -18.298588 -526.561584
842.624023 -18.975922 -521.492615
835.817139 -19.021908 -514.085938
829.136841 -18.263868 -507.270508
829.026428 -18.315798 -508.533325
829.026428 -18.315798 -508.533325
Custom
PathHarvest 33 10 1 0 0 0 "portal fragment" "I have obtained portal fragments and defeated many lamia within the Baubbleshire" 1
829.026428 -18.315798 -508.533325
824.344116 -17.336163 -506.302765
824.176392 -13.563471 -496.887268
826.647583 -13.957753 -486.970123
831.689331 -13.790524 -478.298492
838.386292 -13.652412 -470.855713
844.749451 -17.399368 -463.914246
853.219482 -18.918600 -458.598724
860.099670 -19.109547 -451.184082
866.560547 -18.502192 -443.243134
872.582153 -18.474802 -435.098145
876.700073 -15.043231 -426.559998
867.815308 -13.267573 -421.972992
877.011292 -14.858684 -426.013367
885.106323 -13.837193 -431.656433
891.991821 -14.178418 -439.087006
894.996277 -16.438133 -448.515686
894.351440 -18.869205 -458.241028
899.050476 -17.774475 -467.181213
904.074646 -17.516491 -475.933411
909.124878 -17.745079 -484.697723
911.705139 -14.809865 -494.031219
904.511536 -18.120823 -500.155548
897.014893 -17.356173 -506.993011
892.300720 -16.202284 -515.950195
888.406372 -15.639766 -525.265076
888.160217 -14.564318 -535.255493
881.177856 -15.593625 -528.453125
871.086731 -16.275074 -527.124207
861.137390 -18.034740 -528.657288
851.354187 -18.298588 -526.561584
842.624023 -18.975922 -521.492615
835.817139 -19.021908 -514.085938
829.136841 -18.263868 -507.270508
829.026428 -18.315798 -508.533325
829.026428 -18.315798 -508.533325
825.282837 -18.894766 -512.117188
821.187683 -20.688984 -521.095520
Custom
ZoneDoor zone_to_qey_elddar
819.132446 -20.622955 -526.017700
804.322388 -21.667551 -533.517639
794.707275 -22.241720 -536.624695
790.619507 -22.780487 -527.268921
786.507446 -22.937105 -518.135071
