Kaedrin Ironforge's Trial
Custom
HailActor Murrar 4
659.959473 12.191561 -375.063416
657.911255 11.634171 -377.383850
Custom
ClickNoNameActor
657.512085 10.929151 -382.427246
Wait
50
660.916626 10.625741 -384.969635
661.530396 -10.854552 -398.761169
667.644836 -10.114982 -387.847595
676.009460 -11.541136 -393.585693
684.726868 -12.021508 -399.373810
692.590576 -13.358459 -405.453369
697.831116 -14.514484 -414.238617
701.188843 -16.032101 -423.738617
704.426514 -15.936378 -433.632996
707.907532 -18.075020 -442.856171
712.022278 -20.714298 -451.899200
718.720093 -21.312471 -459.656403
727.265381 -22.058031 -465.010010
736.158142 -22.311800 -469.655121
745.928833 -22.311800 -474.796143
754.434509 -21.828442 -480.359741
762.353516 -21.799093 -487.109314
769.551086 -21.799089 -494.646729
776.127441 -21.799089 -502.306610
782.471008 -22.212437 -510.416016
787.655701 -22.937288 -519.089905
790.608154 -22.435204 -533.027710
Custom
HailActor Antonia 4
787.670776 -22.002218 -536.215088
784.987122 -22.622942 -526.310547
782.086304 -22.671591 -516.658264
779.343750 -21.920559 -506.640350
774.235107 -21.799097 -497.619141
767.198486 -21.799089 -489.792786
759.015808 -21.799089 -483.852295
750.764404 -22.045645 -478.066071
742.220276 -22.311800 -472.628967
733.463806 -22.297922 -467.056641
724.787231 -21.763779 -461.534576
716.462036 -20.937199 -454.908081
710.365662 -20.101431 -447.004639
705.921570 -16.333931 -438.250763
702.454834 -16.573082 -428.819427
698.773987 -15.082062 -419.031189
694.554565 -13.669836 -409.914185
688.897034 -12.739288 -401.358215
682.736877 -11.828745 -393.142761
676.158142 -10.609831 -385.237701
668.881714 -9.844317 -378.343628
661.566772 -10.020393 -371.432648
654.200256 -12.041621 -364.278595
647.234741 -13.394699 -356.863129
641.644226 -13.940997 -348.249207
635.809387 -14.827363 -339.460693
629.940674 -16.097349 -331.342987
622.837463 -17.735500 -324.030121
613.910400 -19.309275 -319.429565
604.090393 -20.535437 -317.266632
594.038269 -21.165831 -315.923462
583.711914 -21.292147 -314.877228
573.683167 -21.586515 -313.862305
563.638916 -21.972031 -312.845825
553.771301 -21.549582 -310.163361
544.770325 -21.138748 -305.801331
536.203735 -20.862783 -300.196472
527.453674 -20.740086 -294.708679
518.066467 -20.783415 -290.292389
Custom
ZoneDoor "zone_to_qey_north"
512.241272 -20.863741 -288.325562
506.386536 -21.183664 -288.752441
497.181824 -20.649109 -284.224762
488.619995 -20.151606 -279.013397
480.050018 -19.812670 -273.797211
471.426117 -19.765020 -268.548157
462.546539 -19.879366 -263.143494
453.929077 -20.133335 -257.884033
445.343353 -20.703367 -252.110779
437.030212 -21.251205 -246.327026
428.574890 -21.796314 -240.444321
420.294006 -22.274334 -234.480957
412.520966 -22.465687 -227.761261
405.264069 -22.621927 -220.496719
398.428833 -22.799000 -212.686615
391.292297 -23.529009 -205.259354
383.747253 -24.261902 -197.807175
376.479401 -24.834778 -190.628784
369.247223 -25.137955 -183.485580
361.874542 -25.254438 -176.203705
354.514435 -25.160990 -168.930176
347.645264 -24.763771 -161.045410
341.997131 -24.260626 -152.118362
336.875000 -23.782513 -143.381943
331.728973 -23.591711 -134.604752
326.551086 -23.519955 -125.773277
321.333405 -23.491491 -116.873817
316.723328 -23.276583 -107.917290
312.440491 -23.066074 -98.566696
308.831085 -22.519066 -89.140518
305.278290 -21.891918 -79.522736
301.307465 -20.919182 -69.933784
297.062286 -20.738464 -60.515385
292.043762 -20.867615 -51.163898
286.298431 -20.945623 -42.905701
280.576996 -21.091684 -34.531967
275.485931 -21.461323 -25.797192
284.660339 -19.826616 -21.633141
Custom
ZoneDoor zone_to_claymore_chamber
289.632477 -18.126860 -21.154520
-20.582502 -8.003695 41.111759
-28.756685 -2.079982 41.539173
-38.627495 0.005543 41.598225
-41.324272 0.005530 31.943802
-39.666103 0.005530 21.982862
Wait
1500
-37.664856 0.005530 13.589790
