Keeping the Peace
Custom
HailActor "Recruitment Officer Brandit" 6
388.543640 -17.755594 -10.809162
394.181366 -16.806728 -2.564521
396.405823 -16.221794 7.617072
398.454742 -15.240535 17.435795
400.568329 -14.724705 27.356861
402.674164 -14.260735 37.241268
404.710785 -13.829018 47.404408
404.098450 -13.790686 57.740005
402.573669 -13.818595 67.918976
400.889099 -14.725842 78.130959
399.256409 -15.821621 88.028435
397.642029 -17.464937 97.814911
396.021545 -19.260139 107.638397
394.372284 -20.114857 117.742050
393.589294 -21.047522 127.698204
393.727264 -21.119890 137.988846
Wait
20
394.303558 -20.822411 151.829544
404.272156 -20.846586 152.958069
414.577545 -20.927128 155.217224
423.762787 -20.907207 159.864914
431.132263 -20.831203 166.844986
436.106842 -20.641779 175.996689
439.164764 -20.327745 185.746704
442.508301 -20.317692 195.383011
445.845245 -20.643822 204.902588
449.262787 -20.766615 214.652298
453.029449 -21.114334 224.319839
459.914001 -21.960436 231.555466
468.705841 -21.843538 236.995438
478.181030 -20.984463 240.321930
488.322662 -20.302063 241.950623
498.371277 -19.828018 242.797882
508.492432 -19.457029 243.073929
518.671082 -18.982063 243.302536
528.812256 -18.484812 243.530289
538.972229 -18.047508 243.758423
549.731934 -17.774216 244.000061
559.930176 -17.732117 244.184204
570.216919 -17.909174 243.881744
580.087097 -17.934443 242.257675
590.527100 -18.028425 239.970703
600.637451 -18.173559 237.755966
610.842957 -18.338949 235.538239
620.975647 -18.568317 233.620697
631.388123 -18.967962 231.669434
641.671631 -19.150795 229.742340
652.040100 -19.108160 227.760345
662.116882 -19.287661 225.752029
672.051086 -19.665934 223.795563
677.170410 -19.502924 232.443130
679.509521 -19.531872 242.255768
682.665283 -19.824585 252.210358
687.176514 -20.457333 261.575104
Custom
ZoneDoor zone_to_qey_village02
693.141296 -20.482733 266.425781
703.887939 -20.377436 264.903870
710.293457 -20.102943 272.866394
715.523010 -19.973116 281.480560
720.591797 -20.242388 290.145538
725.081604 -20.391813 299.140869
725.082458 -20.503008 309.143890
725.741333 -20.418306 319.158051
731.356567 -21.460587 327.387329
738.867004 -24.633892 333.240234
748.574585 -24.782280 330.541229
Custom
ClickActor door_widget1
749.253357 -24.783131 330.674011
753.847229 -24.955736 325.691040
763.366760 -24.955736 322.468079
Custom
ClickActor weaponrack01 1
764.114258 -24.957603 321.739716
Custom
ClickActor weaponrack01 1
761.492676 -24.955736 320.373535
Custom
ClickActor weaponrack01 1
760.740540 -24.955736 326.647186
760.643311 -24.955736 324.638916
751.467285 -24.955736 328.732727
Custom
ClickActor door_widget1
750.407715 -24.955736 329.247986
747.401062 -24.737938 334.828094
737.506104 -24.588291 332.522491
730.325256 -20.772757 326.599457
727.110474 -20.462822 317.073059
734.588196 -20.442127 310.308380
Wait
20
742.082092 -20.348410 306.308258
734.223083 -20.403017 299.840485
726.729004 -20.457420 293.097076
724.617432 -20.417564 283.279541
732.791748 -20.412016 277.277618
741.308350 -20.589563 271.881409
743.653259 -20.378716 262.066650
Wait
20
743.318115 -20.405602 261.073364
746.047729 -20.639545 270.721710
752.916077 -20.561054 278.203552
761.374573 -20.441751 283.672638
771.007202 -20.469204 287.509857
780.873779 -20.494583 289.429230
790.695923 -20.544565 291.687531
798.238770 -20.378645 298.384857
805.908142 -22.529501 304.640991
814.980225 -25.784288 307.721863
Wait
20
819.014771 -25.498022 309.365936
809.591125 -24.122187 305.931396
801.500854 -20.243607 301.457397
794.149231 -20.511343 294.512848
785.035583 -20.533741 290.013214
775.152344 -20.491619 287.982056
765.269958 -20.491152 285.806458
755.680359 -20.458622 282.749268
746.039978 -20.379402 279.661469
736.165466 -20.359779 277.417511
726.151245 -20.418140 275.997559
716.318726 -20.103298 273.605042
707.733093 -20.274897 268.403809
Custom
ZoneDoor zone_to_qey_south
704.259583 -20.349390 266.384369
686.152222 -20.450180 260.589935
679.105103 -19.763329 253.120285
675.222473 -19.103748 243.594803
670.793457 -19.030094 234.495483
663.854492 -19.251383 227.272461
653.879456 -19.203684 225.077209
644.199951 -19.158569 228.539230
634.456177 -19.024073 232.022812
624.317383 -18.646582 234.519684
614.494385 -18.356949 236.448975
604.433838 -18.228121 237.563110
594.245972 -18.065968 239.161469
584.187805 -17.965639 240.739517
574.187012 -17.975826 242.029709
564.117798 -17.760899 242.625763
553.923523 -17.707850 242.971771
543.728333 -17.866938 242.712387
533.570374 -18.321005 242.287537
523.241211 -18.702810 241.855515
513.259766 -19.204329 241.438049
502.937592 -19.645092 241.006348
492.596558 -20.125786 240.573837
482.255463 -20.758509 240.141327
472.224854 -21.531580 238.595581
462.851166 -22.132000 234.593185
454.768127 -21.494469 228.455841
448.188721 -20.841116 220.694077
442.221680 -20.509514 212.467804
436.177490 -20.314447 204.135223
430.203339 -20.386242 195.867798
424.499268 -20.760885 187.121292
419.057159 -20.972570 178.383789
413.656067 -20.955919 169.470596
409.543945 -20.955597 160.119019
407.328400 -20.849335 150.096695
Wait
20
406.131714 -20.830795 140.330078
396.032471 -21.000868 138.363358
385.926544 -21.229830 134.474121
380.906158 -20.812628 125.368164
383.964142 -20.569857 115.520073
388.494568 -19.297907 106.487869
392.871490 -17.715273 97.441086
397.215790 -16.034296 88.461807
401.584564 -14.809600 79.431900
405.556000 -13.902214 70.034454
