Paid on Delivery
Custom
HailActor Rinna 5
787.023743 -21.944588 -536.374756
788.512329 -22.710794 -516.485596
782.220520 -21.947054 -508.643036
775.359070 -21.799089 -501.040802
768.583679 -21.799089 -493.685211
761.386963 -21.799103 -486.630615
753.627136 -21.832155 -480.249817
745.664612 -22.311800 -473.966400
737.562195 -22.311800 -467.998199
729.059937 -22.084066 -462.413300
720.553650 -21.094643 -456.979523
713.290588 -20.628260 -449.798798
707.302612 -17.743378 -442.303894
704.003357 -15.968424 -432.905853
700.505859 -15.819708 -423.351929
696.964783 -14.329530 -413.830231
691.159973 -13.117756 -405.716888
682.894104 -11.757806 -399.798553
674.635376 -11.442864 -394.102753
666.568970 -10.169244 -388.543640
666.338135 -9.599050 -378.532501
666.320068 -9.613890 -377.748810
659.123718 -9.937223 -372.737640
649.095886 -11.624102 -371.839508
639.083496 -13.181969 -370.942810
628.981445 -14.237532 -370.037872
619.051941 -16.655216 -369.148346
609.030396 -18.562586 -368.229309
599.248901 -20.170055 -365.773346
589.627686 -21.434492 -362.663086
580.111572 -21.888844 -359.585480
570.690063 -22.015211 -356.061493
562.226624 -20.823282 -350.464905
555.199097 -20.464832 -343.150391
548.828369 -20.780016 -335.197144
542.465454 -21.082676 -327.237732
536.092529 -21.157902 -319.265961
529.739380 -21.003225 -311.318787
523.866882 -20.851118 -303.058960
518.149658 -20.848934 -294.497253
510.615112 -20.912603 -287.920685
Custom
ZoneDoor zone_to_qey_north
509.108459 -20.969839 -287.031525
496.633789 -20.607313 -282.657043
487.864838 -20.093653 -277.818512
479.046478 -19.780264 -272.952759
470.034729 -19.782722 -267.868256
461.243408 -19.916193 -262.654083
452.660095 -20.220205 -257.429260
444.159943 -20.773636 -252.159286
435.629852 -21.329273 -246.818283
426.973450 -21.846178 -241.393539
418.452240 -22.131012 -235.476898
410.836151 -22.093462 -228.807663
403.744019 -22.176016 -221.512390
396.769135 -22.283903 -214.322922
389.805298 -23.022430 -206.930771
382.343781 -23.629051 -200.037659
374.836395 -24.325249 -193.193710
367.363953 -24.908558 -186.381546
360.283813 -25.367956 -179.233749
353.457916 -25.341879 -171.924225
346.880951 -24.840374 -164.369690
340.499908 -24.366531 -156.325928
334.489075 -23.791594 -148.255585
329.172760 -23.025017 -139.300003
323.011810 -22.268806 -131.025543
317.020020 -21.672379 -122.998177
312.255127 -22.269386 -114.030769
309.810577 -22.681574 -104.140633
308.064636 -22.484882 -94.277115
306.606506 -22.173737 -83.905746
305.199829 -21.638620 -73.574585
303.366730 -21.446009 -63.521595
300.380676 -21.178074 -53.688782
295.288574 -21.074457 -44.857376
287.603668 -20.975668 -38.041759
279.005280 -21.192305 -32.903149
270.129395 -21.395426 -27.614492
261.058990 -21.393364 -22.948101
251.273468 -21.400074 -20.344669
241.043381 -21.448536 -20.644457
230.864487 -21.708942 -21.112860
Custom
ZoneDoor "zone_to_antonica"
223.473419 -21.735592 -21.328512
153.960663 -21.169624 -24.885517
143.844879 -21.220230 -23.991697
133.871094 -21.176786 -23.261703
123.629501 -21.147858 -22.514875
113.456734 -21.119125 -21.945370
102.549126 -20.563005 -22.155334
92.455223 -20.563005 -21.320236
82.167885 -20.934681 -20.469126
72.043846 -20.344940 -19.631529
61.926777 -19.761309 -19.602425
51.870449 -19.204369 -20.064405
41.703793 -18.748016 -20.522179
31.836882 -18.157343 -22.718132
