Under the Veil
Custom
HailActor Vishra 4
-798.190613 -46.270267 39.420826
-804.376221 -46.270267 47.652206
-810.815491 -46.261868 55.369408
-817.740845 -46.460289 62.708370
-824.669678 -48.719231 70.114128
-831.430481 -47.347572 77.785789
-833.631104 2.800347 80.433067
-833.631104 53.163582 80.433067
-790.088257 77.707062 74.653381
-746.973328 101.745911 66.424255
-713.462524 138.412247 59.758114
-671.868042 165.453232 51.518784
-625.253601 181.903610 41.881947
-578.569153 198.914352 34.164509
-537.406494 226.711212 27.469072
-490.742828 243.722443 19.878881
-444.300934 260.652679 12.324720
-396.166138 272.923523 4.179288
-355.508881 301.733490 -2.796889
-306.852203 309.701935 -11.145611
-257.234344 309.701935 -19.659264
-209.652390 294.479980 -25.553623
-191.359863 277.236115 17.844337
Custom
FlyDown
-188.592117 275.303070 18.090563
Custom
HailActor Charkal 3
-188.591156 270.727295 18.084026
Custom
FlyUp
-188.591156 270.727295 18.084026
-145.165405 295.593445 21.423309
-95.148529 295.593445 25.269405
-45.230774 295.593445 29.107895
1.869867 282.243103 39.785717
37.369946 252.816879 59.679585
74.440773 222.129135 73.678017
Custom
FlyDown
76.902962 220.824310 74.487495
Custom
HailActor Yelinak 8
74.739403 216.447937 81.791481
60.659882 214.477386 64.398315
61.007900 213.199356 54.316254
65.107658 210.957321 45.422089
70.317581 207.723145 37.356869
75.418266 204.100647 29.461859
79.825706 200.667358 21.115953
79.957077 198.043427 11.253241
75.474480 195.879684 2.461457
68.424522 194.631424 -5.419418
59.496437 194.247345 -10.042377
49.404167 194.041946 -9.408575
39.524342 195.458435 -7.345789
29.714512 195.458435 -3.859599
20.333315 195.458435 0.203658
Custom
HailActor Vizzeren 5
16.956095 195.458435 1.656360
23.304859 245.189941 -3.253665
64.876381 254.551071 -30.011528
106.941223 254.551071 -57.087040
131.396530 211.800430 -66.231697
Custom
FlyDown
139.994873 177.156937 -69.806992
Custom
PathHarvest 247 50 1 1 1 0 "pollinating Daar shrub" "Gather pollinating Daar shrubs (10/10)" 1 "glowing Daar geode" "Obtain glowing Daar geodes (8/8)" 1 "*ATADD*" "I collected enough Daar shrubs and glowing geodes for the arcane vision elixir" 0 
140.020981 158.399948 -69.838921
139.250381 159.601349 -59.632374
144.541214 158.642258 -50.835571
151.975754 157.026291 -44.197651
159.342377 157.776855 -37.039761
163.072433 159.262756 -27.817017
162.700562 160.660934 -17.251469
164.491104 162.351395 -7.419311
172.280228 165.016403 -1.382436
180.606094 166.678589 4.099043
184.270874 169.775024 13.327563
183.219894 170.299896 23.332590
175.503448 170.594635 30.348806
168.856155 168.942764 37.710037
163.474274 168.803970 46.443348
157.743027 171.197021 54.458252
166.185730 172.451950 59.689831
176.098892 172.594070 61.875496
186.239319 172.836655 63.033897
195.902832 173.298035 65.580322
205.488785 174.320267 69.550522
214.377808 175.986984 74.497101
217.058029 177.586914 84.158554
212.827393 178.349182 93.573830
205.342346 178.806839 100.402901
195.491806 179.102020 102.870667
185.517532 179.492966 101.363388
177.226303 179.523972 95.292183
168.115601 179.528168 90.265007
158.278091 180.617096 88.067192
148.721939 182.526062 84.690186
140.399109 184.762238 79.099510
130.878494 187.755829 79.877808
133.805786 187.086746 89.457130
142.210419 184.752975 94.635193
148.715561 183.367722 102.609642
148.535950 182.513840 112.955757
140.860489 182.663712 119.947792
135.070114 183.671249 128.151794
136.445938 182.991028 138.399368
137.828781 181.825424 148.681198
139.051727 182.507645 158.799820
140.084732 182.388443 168.813843
139.594742 182.208862 179.064575
138.814651 181.648315 189.478287
135.458130 181.956406 199.182129
130.008942 182.485901 207.728561
120.512878 183.529251 204.586594
112.727730 184.471527 198.034897
105.241905 185.844864 191.481567
96.975647 187.727158 186.001358
87.944511 188.683792 181.388702
78.667923 189.130051 177.220200
69.145126 190.474976 173.992188
59.589108 193.433151 173.648392
50.546642 195.546829 177.963867
43.514271 196.121628 185.130630
37.419155 194.871353 193.064484
30.483980 194.098129 200.724991
24.018486 195.602997 208.259003
21.735064 196.283386 218.023972
20.543344 196.531158 228.078400
19.000057 196.179214 238.438202
16.283508 195.916595 248.535828
12.592497 194.741852 257.914093
4.722575 193.910278 264.106628
-5.346866 193.777405 263.246246
-10.289425 194.133667 254.409225
-13.326191 194.914688 244.603256
-15.193761 196.161301 234.773376
-19.896805 197.114807 225.972855
-28.869652 197.142944 221.083618
-38.746048 196.898178 218.733994
-48.960651 195.728836 220.687576
-58.053875 195.472000 225.390793
-66.819481 195.301834 230.488129
-77.062973 195.483093 233.784805
-86.431374 196.972290 230.056641
-91.655983 199.223373 221.074326
-97.160515 201.307236 212.678528
-103.122147 202.510971 204.287979
-109.885574 202.715805 196.697632
-116.391891 202.497894 189.003952
-111.496269 202.338501 179.895706
-106.668320 202.156754 170.813110
-100.467163 201.939423 162.757477
-91.716629 201.433258 157.299393
-81.658424 201.929092 157.192505
-76.601532 202.897934 166.129349
-78.629379 202.116898 156.201248
-82.178925 201.361038 146.776154
-84.016846 200.709534 136.912354
-79.833221 200.574402 127.816620
-72.241356 200.660309 120.897179
-73.200226 200.601471 110.894196
-73.382767 200.879623 100.703392
-73.026901 201.677536 90.531197
-73.355057 201.174957 80.332069
-71.563087 200.648849 70.389977
-69.441551 201.724319 60.631298
-67.341675 200.589340 50.569633
-65.497993 200.222000 40.692104
-72.413925 200.317215 33.212151
-79.879860 199.712830 26.463398
-81.977112 201.525436 16.329309
-84.007759 199.490097 6.469085
