Shattered Dawn: Battle of the Nexus
Custom
HailActorGetQuest -Actor "Al'Kabor"
-676.230286 79.489792 107.557602
-676.453552 79.489792 107.926018
-675.410828 78.917557 97.738327
-673.917236 78.267548 87.786598
-673.117126 77.763985 77.703568
-672.861206 77.301613 67.677963
-671.333130 75.982521 57.652443
-668.786011 74.255287 47.868683
-665.840332 72.502708 38.440479
-662.796265 71.149231 28.709627
-659.829285 69.838776 19.225372
-656.880310 68.278664 9.798016
-653.948853 66.151291 0.427563
-650.522217 63.670364 -8.959226
-645.541199 61.127453 -17.677713
-638.602722 59.249149 -24.978859
-630.766724 56.893986 -31.115959
-619.878479 56.709026 -35.290691
-610.328979 54.915474 -37.966114
-601.198669 53.464031 -41.823658
-593.399780 51.658947 -48.504677
-585.360168 50.487495 -54.505222
-578.396484 49.267952 -61.674702
-571.901611 47.633343 -69.654678
-566.064941 46.045422 -78.207367
-560.320801 44.707672 -86.533463
-554.229492 42.822048 -94.610291
-548.110352 40.505501 -102.665909
-541.834717 38.224815 -110.927292
-536.029541 35.853134 -118.869530
-530.473877 33.676971 -127.036110
-524.905151 32.500893 -135.410187
-518.729004 32.938595 -143.535797
-511.226776 32.451027 -150.754868
-503.696259 31.334923 -157.599228
-496.566193 31.013067 -164.863937
-491.605682 31.593098 -173.985474
-487.607758 32.946552 -183.278366
-481.654816 33.272034 -191.794281
-474.787750 32.034000 -199.463974
-467.379150 31.219320 -206.867126
-460.577972 30.674192 -214.353928
-453.344666 29.156178 -221.547760
-444.545654 27.155466 -226.729065
-434.999512 25.487474 -229.386124
-425.163757 24.770817 -231.665527
-415.363708 24.479067 -234.009995
-405.327484 23.802742 -236.298340
-395.167389 22.251442 -237.680054
-385.201599 19.878218 -238.423477
-375.330719 16.895889 -238.790985
-364.978241 13.852363 -238.862900
-354.983215 11.120135 -238.651840
-345.327728 8.585165 -236.824905
-336.498169 6.933746 -232.273560
-327.545563 6.106771 -226.886948
-323.452057 5.115903 -236.214249
-314.045349 4.647861 -231.012878
-306.518585 4.467203 -224.264191
-300.579712 4.211780 -216.167191
-295.461884 3.594978 -207.441040
-290.056915 3.222975 -198.522827
-282.620575 2.705094 -191.398254
-274.130341 1.485219 -185.829086
-265.282410 0.167328 -180.948776
-256.022186 0.426654 -176.289581
