Shattered Dawn: Execution of Order
Custom
HailActorGetQuest -Actor "Hulda Flintbraid"
-72.233139 88.879517 258.360352
-71.558411 88.049988 268.337494
-63.388115 88.049988 274.458221
-55.328732 88.049988 280.631622
-47.417660 87.611908 287.163666
-45.552021 87.637718 297.306854
-50.807430 87.614075 306.137054
-59.734413 85.230652 310.910217
-69.169655 81.873795 310.580139
-79.215668 81.899452 308.423889
-89.271187 81.878838 306.215302
-99.093742 81.867149 304.057892
-108.877495 81.887596 301.909088
-118.700066 81.901566 299.751740
-128.503220 81.894989 297.598633
-138.349167 81.889481 294.697388
-147.609741 81.881935 290.642792
-156.465729 81.873657 285.407043
-164.965744 81.864815 279.704742
-173.142136 81.856430 273.919525
-181.168930 81.858727 267.837799
-188.915619 81.864197 261.269867
-196.677505 81.878296 254.689148
-204.515152 81.884453 248.044357
-212.261826 81.868317 241.476654
-219.856888 85.088074 235.037445
-227.285187 87.634392 228.739609
-234.858948 87.645325 221.886826
-241.915985 87.643234 214.616745
-248.637527 87.634514 207.056152
-255.308914 87.635803 199.402023
-261.392151 87.641304 191.145569
-267.522644 87.662537 182.825150
-273.476227 87.680641 174.744690
-279.539246 87.675819 166.401367
-284.895630 87.667145 156.986664
-289.930878 87.659943 148.120834
-294.196594 87.651169 138.711655
-298.221222 87.642570 129.538696
-301.769470 87.633797 119.819473
-304.951233 87.635956 110.237457
-308.214508 87.641815 100.410202
-311.483917 87.661934 90.564117
-314.349457 87.994934 80.953499
-316.614502 89.377258 71.012741
-318.374237 89.616943 60.868999
-320.064087 89.616943 50.935539
-321.408112 89.616943 40.568043
-322.739380 89.616943 30.299097
-324.049683 89.616943 20.147741
-325.124756 90.157898 9.968729
-325.982056 89.953430 -0.003879
-325.183228 90.157898 -10.248150
-324.165863 89.616943 -20.206072
-322.405487 89.616943 -30.107597
-320.638153 89.616943 -40.048267
-318.860413 89.616943 -50.047661
-317.233978 89.616943 -60.029163
-317.004669 89.562378 -70.058525
-317.049561 87.994934 -80.214615
-317.095032 87.660339 -90.489929
-317.684845 87.660339 -100.581619
-318.816345 87.660339 -110.534523
-320.163208 87.660339 -120.479301
-322.102844 87.660339 -130.366608
-324.325897 87.660339 -140.357224
-326.742615 87.660339 -150.364746
Custom
Teleporter -332.244385 87.660339 -169.578201
-329.039642 87.660339 -159.705887
-234.188980 179.763000 -74.492401
-230.302872 179.763000 -65.163658
-230.559601 179.777527 -55.080952
-232.950790 179.777527 -44.986675
-235.239655 179.777527 -35.012794
-236.874680 179.756012 -24.990252
-237.851227 179.854584 -14.804031
-238.682022 179.756119 -4.562760
-248.250137 180.311218 -1.010347
-258.514008 180.814026 -0.668206
-268.881256 180.814026 -0.315702
Custom
ZoneDoor "Zone to Sanctus Seru dungeons 1 and 2" "Sanctus Seru: Echelon of Order Solo"
-277.715851 180.598465 0.072282
Custom
Instance
-398.057678 87.997009 0.326709
Custom
ZoneDoor Exit
-270.381622 89.953430 -0.108891
-250.651276 180.311218 -1.634311
-242.964661 180.264221 -8.285409
-237.456207 179.756134 -17.129278
-235.794937 179.760620 -27.099411
-235.647003 179.777527 -37.433323
-235.502029 179.777527 -47.667915
-236.784424 179.852371 -58.447247
Custom
Teleporter -240.826004 179.763000 -79.639267
-236.827927 179.763000 -72.355934
-327.555573 87.660339 -160.530701
-323.694977 87.660339 -151.104568
-321.242340 87.660339 -141.115555
-319.340363 87.660339 -131.118912
-317.412354 87.660339 -120.985535
-316.179108 87.660339 -110.773003
-315.332245 87.660339 -100.672203
-314.762390 87.660339 -90.373657
-314.399902 88.337967 -79.828247
-314.489044 89.658470 -69.454346
-314.874420 89.616943 -59.365211
-315.712250 89.616943 -49.204674
-316.898224 89.726967 -38.957977
-318.586945 89.616943 -28.903376
-320.565796 89.616943 -18.926182
-322.904907 90.157898 -9.043041
-324.648468 89.953430 0.846687
-324.718109 90.124771 10.863443
-323.818329 89.616943 21.086119
-322.510864 89.616943 31.758705
-321.244446 89.616943 42.095921
-319.633850 89.616943 52.405025
-318.027802 89.753036 62.554131
-315.830078 89.031738 72.724823
-312.731842 87.979752 82.206787
-309.318390 87.655281 91.898590
-305.918213 87.640640 101.552917
-302.412354 87.634972 111.507187
-299.005432 87.636208 121.180222
-295.588379 87.644882 130.849686
-291.139832 87.653778 140.146851
-286.298645 87.662010 149.367126
-280.738800 87.668373 158.005707
-274.991730 87.674698 166.427536
-269.266479 87.677490 174.816132
-263.294739 87.655563 183.565857
-257.625397 87.639801 191.872406
-251.121384 87.634132 200.209244
-244.259964 87.637894 207.507248
-237.194183 87.646835 215.022247
-230.087479 87.644356 222.580704
-223.089691 87.449081 230.023315
-216.568405 83.366425 236.959152
-209.788498 81.870605 244.170090
-202.859222 81.879799 251.429031
-194.527374 81.873322 257.397034
-186.093048 81.862350 263.125732
-177.501175 81.856781 268.940796
-169.025436 81.860092 274.714752
-160.681107 81.868599 280.399200
-152.369644 81.877396 286.061249
-143.318420 81.884888 291.001160
-133.864838 81.891640 294.312439
-124.078156 81.897987 297.695221
-114.003273 81.898033 301.156281
-103.602928 81.877426 301.920044
-93.431053 81.870842 302.210449
-83.358513 81.886551 302.498169
-72.868767 82.323158 302.797699
-62.830616 84.730904 302.044708
-52.773926 87.439171 300.039825
-43.754700 87.638359 294.654327
-40.036171 88.049988 285.142578
-44.704975 88.049988 276.022858
-54.737946 88.049988 275.377533
-64.584038 88.049988 272.431641
-72.745979 88.901382 266.253265
-73.662094 89.101746 263.983063
Custom
HailActor "Hulda Flintbraid" 5
-71.825737 89.100670 259.189606
