One Fish"," Two Fish
Custom
HailActor "Herd Master Rudek" 6
709.002625 -35.291847 -278.415588
706.965454 -3.999447 -239.135239
705.565247 2.535846 -189.279404
704.142578 2.535003 -138.974426
702.728088 2.534163 -88.950630
701.308350 2.533320 -38.739437
699.895691 4.547731 11.237123
698.471680 4.546876 61.616993
697.058533 4.546030 111.603210
695.638367 4.545176 161.851974
694.216492 4.544323 212.156952
692.802368 4.543476 262.180817
691.390625 6.770015 312.125458
689.973755 6.769168 362.242706
687.009766 4.080521 412.203064
685.598999 -0.002389 462.134918
684.184937 -0.763662 512.174988
682.768066 -0.763715 562.311829
681.345215 -0.763768 612.636047
679.928833 -0.763821 662.735352
675.719604 -0.763852 712.771240
664.656067 -0.763852 761.633972
653.600952 -0.763852 810.460388
642.504578 -0.763852 859.469971
631.441284 -0.763852 908.333191
620.291016 -0.763852 957.580566
617.443481 -1.387907 1007.501160
587.405518 -17.661602 1044.351440
Custom
FlyDown
573.948486 -22.069822 1058.456665
Custom
PathKill 43 35 35 1 1 1 "a Yha-lei patroller" "I have enough Yha-lei flanks to suffice" 1
574.093811 -24.857893 1058.536499
567.777893 -25.932970 1066.722168
560.614319 -24.381081 1073.729370
554.808594 -20.288691 1080.804688
551.680664 -15.107667 1089.163574
547.608093 -10.420073 1097.742920
542.299377 -9.607774 1106.537964
535.872192 -13.256688 1113.510864
528.200745 -14.486004 1120.325073
518.787537 -11.741834 1122.854736
508.653809 -10.763392 1121.500854
498.363983 -13.085717 1121.450684
488.936859 -11.920280 1125.129517
480.005798 -8.792089 1128.665771
472.453613 -7.566022 1135.912842
464.004883 -6.389521 1141.149170
455.588928 -10.443460 1144.933838
447.511108 -14.169966 1149.950562
439.136108 -18.399889 1154.093628
432.491333 -23.315559 1160.475220
428.956696 -28.293333 1168.867188
428.542389 -35.115719 1176.706055
423.343933 -36.412590 1185.588379
414.560974 -39.117767 1190.168945
406.198364 -40.336182 1195.823364
399.540161 -41.158257 1203.568604
396.027832 -41.774521 1213.109253
392.444977 -42.800503 1222.781494
400.520508 -44.527794 1228.994385
408.436279 -45.040276 1235.154541
416.448883 -45.241772 1241.406860
425.053345 -46.445133 1247.000732
435.046295 -46.013180 1249.437500
445.276825 -45.444935 1250.338013
455.403503 -45.193535 1249.727539
465.699219 -45.278152 1247.725708
475.273315 -45.686905 1244.436768
484.284851 -45.692677 1239.915283
492.862823 -45.100426 1234.311401
500.473572 -44.142136 1227.432251
500.195129 -42.048759 1217.364868
498.535950 -40.445580 1207.287720
507.535187 -41.027481 1202.435181
514.012268 -40.901684 1199.495605
503.557922 -40.686012 1199.861328
573.957825 -24.649517 1058.251587
573.957825 -24.649517 1058.251587
589.695618 1.271549 1017.945007
606.268860 22.259363 975.496338
624.369263 27.231213 929.138977
642.638916 27.231213 882.347900
660.949585 27.231213 835.452148
679.171570 27.231213 788.783569
697.488953 27.231213 741.870483
715.792297 27.231213 694.991699
734.122864 27.231213 648.043396
752.330933 27.231213 601.409973
770.675476 27.231213 554.427429
788.965698 27.231213 507.584473
807.187439 27.231213 460.915527
825.491150 27.231213 414.036987
843.815308 27.231213 367.106110
862.037170 27.231213 320.437286
880.327332 27.231213 273.593781
875.356445 25.811178 223.697540
859.710388 25.716192 176.143906
843.693054 25.710281 128.753555
827.645142 25.704361 81.273384
811.549133 25.698414 33.651108
795.513306 25.692476 -13.793552
778.814026 22.998730 -61.302044
762.729431 11.469524 -107.606102
746.396545 -1.680659 -153.341537
730.086426 -15.616817 -198.693481
711.716553 -29.184856 -243.330872
Custom
FlyDown
710.416565 -32.518356 -255.485855
709.449768 -35.284950 -271.207275
Custom
HailActor "Herd Master Rudek" 2
709.295166 -35.310608 -278.786499
