A Recipe for Necromancer Stew
Custom
HailActor "Necromancer Corporiss" 7
-473.090057 -49.948620 1345.158936
-473.090057 0.190085 1345.158936
-445.155457 32.801025 1319.377319
-418.897308 67.493202 1294.545654
-393.404541 103.290665 1270.438354
-367.864410 139.154144 1246.286621
-342.140320 175.104111 1222.736450
-318.757050 213.827942 1201.332764
-281.815308 213.832947 1167.520264
-244.721100 213.837967 1133.567993
-207.612900 213.843018 1099.603394
-170.684479 213.848007 1065.803223
-133.645462 213.853012 1031.901367
-96.579124 213.858047 997.972595
-59.554302 213.863022 964.081848
-29.941893 213.865509 923.642883
-8.856938 213.865509 878.010010
12.295358 213.865509 832.426697
33.431793 213.865509 786.877502
54.560307 213.865509 741.345581
75.689003 213.865509 695.813293
96.817825 213.865509 650.281067
117.962402 213.865509 604.714966
139.051743 213.865509 559.267944
134.146957 213.865509 509.461578
106.241638 213.865509 467.604675
78.481941 213.865509 425.966553
48.407669 213.865509 385.934052
14.110238 213.865509 349.389130
-20.251375 213.865509 312.775848
-52.877792 213.865509 274.756134
-85.526001 213.865509 236.656174
-118.210770 213.865509 198.514130
-150.883743 213.865509 160.386353
-183.630081 213.865509 122.172974
-216.266541 213.865509 84.086945
-248.890701 213.865509 46.015297
-281.490997 213.865509 7.972277
-314.201233 213.865509 -30.198914
-346.887054 213.865509 -68.341568
-379.585083 213.865509 -106.498756
-412.149261 213.865509 -144.498978
-444.725525 213.865509 -182.512909
-477.362793 213.865509 -220.597992
-509.950958 213.865509 -258.626251
-539.148743 206.355667 -298.861786
-562.143433 190.693451 -340.707245
-584.976379 174.355850 -382.297821
-605.481689 146.512924 -418.461212
-626.133057 118.244171 -454.431458
-646.792603 89.965652 -490.414917
-667.405640 61.750492 -526.316833
-687.979919 33.587963 -562.149902
-708.669983 5.513799 -598.184937
-729.292603 -22.713659 -634.101868
-749.748230 -51.343864 -669.654297
-728.789063 -84.792702 -700.540222
-724.351563 -113.691139 -741.453308
Custom
FlyDown
-724.351563 -113.691139 -741.453308
Custom
PathKill 45 35 35 1 1 1 "a forsaken vision|a forgotten phantasm|a tortured shadow" "a shard of agony (8/8)" 1
-724.378113 -120.278793 -741.450256
-725.447876 -120.205917 -751.451538
-721.878479 -119.143219 -760.783020
-715.421204 -116.703995 -768.350098
-711.751587 -114.425735 -777.395752
-712.048340 -114.136200 -787.430542
-713.666077 -114.713928 -797.306274
-723.566223 -116.910728 -798.274109
-733.660217 -117.629906 -798.424133
-743.733887 -118.119598 -797.654053
-752.739136 -118.969299 -793.087830
-761.156006 -119.399437 -787.350464
-769.258850 -119.899643 -781.246155
-775.526184 -120.422958 -773.448242
-781.362427 -120.401321 -765.304932
-790.875061 -118.751579 -761.702698
-797.515869 -117.428886 -769.190063
-799.581482 -116.194733 -779.025818
-801.027283 -115.452065 -788.901001
-798.682922 -115.034607 -798.878601
-793.215393 -115.668724 -807.281189
-786.490356 -117.204758 -814.744812
-780.538696 -118.760994 -806.713257
-778.362854 -119.290314 -796.711731
-769.023987 -118.973404 -800.607910
-764.723694 -115.171516 -809.218811
-760.441040 -110.375084 -817.183044
-755.629272 -108.140442 -825.781738
-747.327881 -108.140442 -831.382385
-737.367126 -108.140442 -833.275452
-727.193787 -108.140442 -834.541809
-717.221802 -108.140442 -835.509155
-724.337463 -108.140442 -842.801025
-732.908997 -108.140442 -848.197937
-741.528931 -109.008827 -853.513123
-750.779907 -109.265862 -857.674866
-760.277588 -108.586792 -861.242310
-764.793213 -108.140442 -870.299988
-758.971985 -108.140442 -878.747375
-750.117798 -108.140442 -873.605225
-742.979736 -108.140442 -866.356384
-735.702576 -108.354584 -859.262207
