Decapitator Exterminator
Custom
HailActor "Lord Sheckt" 4
-792.916382 -23.884329 -1191.657104
-782.139282 -24.852446 -1191.139648
-767.321899 23.027077 -1189.638184
-732.326660 58.466404 -1184.586548
-695.709290 92.186272 -1178.823364
-648.374817 106.828224 -1171.374390
-598.699646 106.835487 -1163.556152
-549.024353 106.842751 -1155.738281
-499.088867 106.844330 -1147.879272
-449.449524 106.844330 -1140.067139
-399.514038 106.844330 -1132.207642
-350.097076 106.844330 -1124.430298
-300.457367 106.844330 -1116.617676
-251.634125 106.844330 -1105.633911
-207.685013 106.844330 -1081.076294
-163.965378 106.844330 -1056.644775
-120.196602 106.844330 -1032.186523
-82.553490 106.844330 -998.865601
-45.687065 106.844330 -965.023132
-8.848305 106.844330 -931.206360
28.004274 106.844330 -897.376770
64.856819 106.844330 -863.547180
101.806221 106.844330 -829.628540
138.783188 106.844330 -795.685059
170.296219 106.844330 -756.832581
200.934448 106.844330 -717.311829
231.699051 106.844330 -677.627808
256.853729 106.844330 -634.034119
280.510162 106.844330 -589.700684
304.192932 106.844330 -545.316833
327.849243 106.844330 -500.982941
351.558533 106.844330 -456.550537
375.100006 106.844330 -412.432434
398.738617 106.844330 -368.132446
422.474335 106.844330 -323.650482
446.113007 106.844330 -279.350464
472.033417 106.844330 -236.336288
518.310547 106.844330 -217.186478
565.280090 106.844330 -199.173172
610.937378 106.844330 -178.713455
654.964294 106.844330 -154.530991
698.860413 106.844330 -130.421005
742.870972 106.844330 -106.247887
786.897888 106.844330 -82.065781
817.493347 81.238426 -51.552601
847.238464 53.325054 -22.207397
876.872559 25.515806 7.028292
898.797668 -14.049183 28.698380
918.182495 -55.949596 47.997520
Custom
FlyDown
927.987732 -85.384705 57.903931
Custom
PathKill 81 35 35 1 1 1 "a Durus decapitator" "I have thinned the number of Durus decapitators in Howling Stones" 1
927.988464 -131.755417 57.903008
918.184570 -131.698685 61.468849
908.702698 -130.807953 64.575127
899.157043 -130.019928 67.674927
889.317566 -129.149597 70.870186
879.821411 -129.548569 74.110825
870.801941 -130.257446 78.538330
861.804749 -130.853714 83.571365
853.079285 -131.536591 88.458221
844.170227 -131.747971 93.425842
835.119446 -131.773621 98.284988
826.147644 -131.773285 103.099525
817.127625 -131.765747 107.939804
807.996277 -131.764755 112.831970
798.429199 -131.433105 116.358734
788.526062 -131.732056 119.125160
778.694397 -131.773621 121.296143
769.402161 -131.773621 125.367836
760.200684 -131.773621 129.615845
751.034485 -130.688126 133.724609
741.805542 -130.515427 138.065216
732.614441 -131.313507 142.362000
723.390381 -131.763123 146.674164
714.180786 -131.721161 150.842499
704.813599 -131.693466 154.925446
695.529419 -131.701645 158.972153
686.223450 -131.567703 163.356674
677.375183 -131.672470 168.054977
678.378540 -130.601257 157.859680
684.099731 -129.204727 149.508667
689.792603 -128.198944 141.198608
695.506042 -127.409836 132.858414
701.195251 -127.752983 124.285843
705.359619 -128.504440 114.968071
707.048279 -129.272034 105.107918
708.778503 -128.598938 95.022835
712.563904 -127.135918 85.597748
