Heads Off to the Sergeant
Custom
HailActor "Lance Corporal Sonoriss" 3
-140.032944 -16.105167 177.848892
-135.398697 -14.417150 186.633591
-130.812866 -11.698155 195.326553
-126.226471 -8.635135 203.739624
-122.512344 -5.328459 212.451202
-118.972244 -1.882899 221.356735
-115.432159 1.739573 230.262238
-111.892075 5.464779 239.167709
-108.369171 9.194830 248.040924
-105.839523 12.809332 257.323578
-104.917801 16.177996 266.854187
-105.258835 20.380678 276.221924
-107.390846 24.791872 285.247223
-110.805122 29.987387 293.235168
-115.192154 34.473991 301.114532
-120.329071 38.956097 308.854614
-125.939735 43.111382 316.078186
-132.372375 45.972771 323.442291
-139.610199 48.452904 330.129578
-146.900772 50.422661 336.728485
Custom
HailActor "Sergeant Slithess" 5
-147.588440 50.501537 337.216614
