A Grave Job
Custom
HailActor "Lord Sheckt" 10
-792.916382 -23.884329 -1191.657104
-782.139282 -24.852446 -1191.139648
-767.321899 23.027077 -1189.638184
-732.326660 58.466404 -1184.586548
-695.709290 92.186272 -1178.823364
-648.374817 106.828224 -1171.374390
-598.699646 106.835487 -1163.556152
-549.024353 106.842751 -1155.738281
-499.088867 106.844330 -1147.879272
-449.449524 106.844330 -1140.067139
-399.514038 106.844330 -1132.207642
-350.097076 106.844330 -1124.430298
-300.457367 106.844330 -1116.617676
-251.634125 106.844330 -1105.633911
-207.685013 106.844330 -1081.076294
-163.965378 106.844330 -1056.644775
-120.196602 106.844330 -1032.186523
-82.553490 106.844330 -998.865601
-45.687065 106.844330 -965.023132
-8.848305 106.844330 -931.206360
28.004274 106.844330 -897.376770
64.856819 106.844330 -863.547180
101.806221 106.844330 -829.628540
138.783188 106.844330 -795.685059
170.296219 106.844330 -756.832581
200.934448 106.844330 -717.311829
231.699051 106.844330 -677.627808
256.853729 106.844330 -634.034119
280.510162 106.844330 -589.700684
304.192932 106.844330 -545.316833
327.849243 106.844330 -500.982941
351.558533 106.844330 -456.550537
375.100006 106.844330 -412.432434
398.738617 106.844330 -368.132446
422.474335 106.844330 -323.650482
446.113007 106.844330 -279.350464
472.033417 106.844330 -236.336288
518.310547 106.844330 -217.186478
565.280090 106.844330 -199.173172
610.937378 106.844330 -178.713455
654.964294 106.844330 -154.530991
698.860413 106.844330 -130.421005
742.870972 106.844330 -106.247887
786.897888 106.844330 -82.065781
817.493347 81.238426 -51.552601
847.238464 53.325054 -22.207397
876.872559 25.515806 7.028292
898.797668 -14.049183 28.698380
918.182495 -55.949596 47.997520
Custom
FlyDown
927.987732 -85.384705 57.903931
927.988464 -131.755417 57.903008
Custom
PathHarvest 2 20 1 1 1 0 "a graveside weed" "I honored the grave of Lord Sheckt's brother by removing it of weeds" 1
936.418762 -131.736954 67.010147
944.686462 -129.720703 73.003357
945.888428 -129.104263 75.348091
936.126099 -131.728119 67.151672
936.126099 -131.728119 67.151672
935.931580 -81.601051 66.960297
935.931580 -31.426046 66.960297
915.477234 13.091667 56.784554
886.540894 48.491219 36.516300
862.061829 84.036537 11.156756
838.702820 119.674721 -15.661433
806.188416 129.378220 -52.741703
773.152222 132.592804 -90.417595
740.128113 135.806152 -128.079254
706.954956 139.033905 -165.909729
673.966919 142.243622 -203.529175
640.954224 145.455795 -241.176758
607.966187 148.665573 -278.796204
574.867004 151.886124 -316.542267
541.903748 155.093475 -354.133575
508.891785 158.305725 -391.781158
475.953278 161.510696 -429.344330
443.002594 164.716843 -466.921570
409.879089 167.939835 -504.695770
376.965271 171.142349 -542.232788
344.014374 174.348511 -579.812317
311.100525 177.551132 -617.349487
278.162109 180.756058 -654.915039
245.075729 183.975388 -692.649597
212.026230 187.191101 -730.341797
179.112396 190.393677 -767.879089
146.149155 193.601044 -805.472412
112.811241 195.711823 -843.020630
79.349113 197.050903 -880.383850
45.760933 197.913712 -917.707458
12.011974 197.841949 -954.856873
-21.978500 197.006851 -991.838806
-56.384743 194.912689 -1028.328613
-97.680687 194.301529 -1056.942383
-144.110352 195.870438 -1075.965820
-190.339493 197.869110 -1095.057861
-236.519073 201.084930 -1114.557739
-282.715515 204.301849 -1134.065308
-328.790833 207.510391 -1153.522339
-377.523682 210.755524 -1165.001831
-426.776764 202.892365 -1170.251221
-470.582245 178.781708 -1172.265503
-514.734558 154.483765 -1174.295288
-558.705933 130.285049 -1176.316528
-602.578308 106.140579 -1178.333740
-646.550415 81.941879 -1180.355591
-690.018616 56.809311 -1182.395386
-729.942871 26.435026 -1185.581543
-767.557678 -6.623711 -1189.707397
Custom
FlyDown
-788.344238 -22.287277 -1195.501587
Custom
HailActor "Lord Sheckt" 3
-792.401001 -23.912374 -1192.412354
