Augur Aggression
Custom
HailActor "Wegadas" 6
-39.076015 -3.594280 535.022522
-29.027105 -3.533118 535.613342
-18.771189 -3.536080 536.216553
-8.475448 -3.597300 536.822144
1.748877 -3.686621 537.423523
11.836631 -3.803263 538.142761
21.818312 -3.880472 540.770569
31.416401 -3.932795 543.849304
41.211582 -4.077110 547.079163
50.716160 -4.319339 550.213379
60.495380 -4.717863 553.373352
70.244087 -5.301322 555.790344
80.155693 -5.913652 558.223877
89.871361 -7.269407 561.053589
99.133202 -8.475206 565.022095
108.476784 -8.313845 569.208191
117.767807 -8.202532 573.370483
126.979942 -8.179039 577.497803
136.142029 -8.148982 581.762085
144.665085 -8.127851 587.294373
153.046494 -8.139486 593.022766
161.629990 -8.116892 598.889221
169.940063 -8.134429 604.568848
178.317993 -8.124469 610.375916
185.549164 -8.118355 617.392883
192.664597 -8.134473 624.471558
200.093323 -7.772458 631.847656
207.228287 -5.087524 638.932251
214.586792 -2.766246 645.865417
222.767029 -0.991804 651.656006
231.621521 0.394635 656.817932
241.127930 0.993425 659.996033
250.674301 1.683698 663.000610
260.756317 2.337356 662.025391
270.462433 3.021255 659.287170
280.105530 3.175890 656.368835
289.553162 3.607127 652.607849
298.992462 4.469701 648.726868
308.281952 5.232869 644.907471
317.687927 5.834333 641.040100
327.288330 6.466656 637.077576
336.839630 6.826787 633.332458
336.003113 7.211082 622.950256
330.846130 7.316875 614.062866
Custom
PathKill 58 35 35 1 1 1 "Augur" "I have killed enough aggressive Augurs of Ulter for Wegadas" 1
330.149414 7.320056 612.802734
329.881104 7.265997 602.773254
333.920593 7.684126 593.592468
343.625244 7.967117 590.232117
353.626709 8.107092 590.062317
362.487396 8.179695 595.751953
368.885986 8.209941 603.527466
373.994446 8.413437 612.314636
379.775085 7.906300 620.469299
386.505249 7.669477 627.944214
393.699402 7.556941 635.081360
401.483582 7.547387 641.944885
410.164490 7.516521 647.122009
420.299408 7.699065 647.943848
429.591156 7.689178 643.541199
435.901001 8.037796 635.442139
446.203583 7.839367 634.857849
453.088837 7.361439 642.128845
458.112274 6.707546 651.002441
461.268280 5.932578 660.675110
460.485077 5.764747 670.744812
458.402740 5.954686 681.011292
456.298676 6.039090 690.924316
453.930023 6.266233 700.684631
451.558929 6.494419 710.592224
447.370422 6.618227 719.771606
449.233612 6.544792 729.728027
451.752197 5.338130 739.580566
454.331451 4.286168 749.658752
457.060394 4.009434 759.623779
461.394470 3.779075 768.924011
467.499786 3.518116 777.210999
475.555267 3.239404 783.686523
484.916351 2.894032 787.534119
494.249176 2.492627 783.915649
502.273651 2.109283 777.152161
507.958740 1.789773 768.774292
513.165649 1.618441 760.206299
518.646912 1.433758 751.643005
524.983521 1.164070 743.875610
534.646545 0.561311 740.406189
541.885681 -0.147887 747.660095
547.342407 -0.843714 756.219238
552.735107 -1.884415 765.325195
557.845215 -2.751237 774.282410
561.643005 -3.367577 783.569580
562.966919 -3.618275 793.850769
562.942871 -4.088731 804.084106
562.633362 -4.566271 814.144470
562.865540 -5.179595 824.277527
563.340027 -5.838760 834.489014
564.110901 -6.259706 845.073425
565.436523 -7.327786 855.185730
566.826782 -7.457148 865.445068
569.013062 -7.449727 875.561951
571.660034 -7.431552 885.257874
574.451416 -7.413301 895.002563
578.059692 -7.400321 904.383240
578.852661 -7.396761 906.423340
329.633270 7.315438 612.333862
329.633270 7.315438 612.333862
319.317352 6.888167 613.160461
309.593109 6.118212 615.779541
301.202240 5.402494 621.391968
293.494904 4.705355 628.109131
285.071075 3.935139 634.240479
276.766724 3.503284 640.048523
268.521332 3.139497 645.815613
260.334930 2.564773 651.541321
251.150284 1.752572 655.993774
240.633209 0.738244 656.681580
230.422455 0.191609 654.419373
221.089294 -1.348690 650.379944
211.605637 -3.414690 646.190369
202.470154 -5.798840 642.148804
193.674438 -8.289466 637.734985
184.649445 -8.337689 632.839905
175.491867 -8.241946 627.947876
166.322205 -8.165682 623.078491
157.419601 -8.162258 618.351013
148.478851 -8.135026 613.603027
139.410919 -8.127034 608.787476
130.533768 -8.137085 604.073181
121.554893 -8.115819 599.305054
112.665054 -8.135336 594.584045
103.673454 -8.120560 589.809021
94.249451 -8.124662 584.804321
84.748413 -8.130310 579.928345
75.247314 -8.113052 576.230896
65.904068 -6.113988 572.594482
56.327061 -5.521726 568.814758
47.071205 -5.005452 564.919250
37.763111 -4.509745 560.777405
28.208275 -4.277533 556.525940
18.834337 -4.048178 552.355103
9.427506 -3.849797 548.169556
0.250914 -3.756807 544.086487
-9.193892 -3.644039 539.989075
-18.786087 -3.543233 536.671204
-28.811596 -3.562307 534.606201
Custom
HailActor "Wegadas" 1
-38.852013 -3.607909 534.623352
