Close It Behind You
Custom
HailActor "Alzilius" 5
-2045.426880 218.191437 816.711853
-2066.877197 244.597595 814.153992
-2116.771729 244.597595 808.205994
-2166.458496 244.597595 802.283691
-2212.103760 259.654480 787.932434
-2255.198730 279.083282 771.199951
-2302.071533 280.259369 753.135437
-2348.586670 280.259369 734.039734
-2363.227051 280.259369 685.901489
-2373.677246 265.519135 639.204712
-2383.985596 248.317307 593.149902
-2395.520752 226.596786 549.412170
Custom
FlyDown
-2399.033203 219.292068 531.784424
-2399.028076 208.896408 531.804260
-2400.981201 210.734192 521.913818
-2402.243896 210.240967 511.648193
-2403.205811 207.551041 501.925049
-2398.360840 205.647949 493.281311
-2388.371582 204.738922 491.443451
-2382.560059 203.293045 483.115051
-2377.211670 202.785263 474.425964
-2374.899902 203.221710 464.561737
-2373.870605 204.709000 454.641571
-2372.373779 204.552734 444.563263
-2372.731934 203.899628 434.482971
-2374.554932 202.679703 424.655853
-2375.260986 202.862061 414.544647
-2375.337646 202.910278 404.074310
-2370.474121 202.786713 395.317841
-2362.231445 202.839584 389.292084
-2352.474365 202.815109 392.564972
-2344.601318 202.484650 398.799957
-2336.290527 201.465271 404.276672
-2327.666748 201.889908 409.930511
-2322.986084 202.591003 418.975128
-2319.781494 202.317322 428.554779
-2316.534668 202.208374 438.069489
Custom
ClickActor wastes_placement 1
-2312.041016 202.030014 446.971863
-2302.691406 202.029114 450.561768
Custom
ClickActor runestone_keyhole 1
-2293.890869 201.899719 453.550873
-2282.158447 201.926575 448.298401
-2285.599365 202.047546 459.635345
-2290.594971 201.905151 468.497742
-2297.591309 201.903061 475.964142
Custom
ClickActor fright_placement 1
-2299.696777 202.405975 478.212311
Wait
50
-2299.696777 202.405975 478.212311
-2303.887695 201.714661 469.119476
-2307.948975 201.710754 459.703674
Wait
50
-2309.770752 201.724701 454.876770
-2313.072754 201.875351 445.191101
-2316.898682 202.406433 435.680115
-2320.266113 202.317322 426.126373
-2323.614746 202.591003 416.625336
-2330.278320 201.574509 408.954071
-2338.130615 201.911057 402.677551
-2346.239258 202.481354 396.776062
-2355.619385 202.823578 392.552155
-2365.707031 202.851120 393.932373
-2374.908936 202.810806 398.579651
-2381.115234 202.961838 406.531525
-2376.731689 202.346390 415.557800
-2374.301758 202.665390 425.266266
-2373.599121 203.891022 435.216736
-2371.422852 204.611252 445.146942
-2371.972168 204.660110 455.279907
-2375.038818 203.151428 464.812042
-2380.024658 202.812866 473.567230
-2385.427490 203.537354 482.021637
-2390.555664 204.928802 490.561584
-2395.712158 206.198578 499.150360
-2399.795898 209.088745 508.154816
-2402.718506 211.281143 517.794556
-2404.124268 210.194229 527.678162
-2401.230225 208.017654 537.036560
-2396.860107 206.458130 546.173035
-2391.633789 205.185181 554.734985
-2385.395996 204.550400 562.848083
-2378.697510 204.200714 570.447571
-2372.024658 204.414139 578.019348
-2365.590820 204.550873 586.198853
-2360.514648 203.968521 594.874268
-2355.928711 203.712250 603.947754
-2351.641846 203.461563 613.084900
-2348.003174 203.220062 622.468750
-2345.306885 203.063034 632.292114
-2342.623047 203.205215 642.197510
-2339.973145 203.751770 651.975220
-2337.299316 204.510147 661.844238
-2334.635742 204.909439 671.676697
-2331.912109 205.305481 681.728149
-2329.218994 205.437698 691.670227
-2326.483887 205.520340 701.738037
-2321.582275 205.902893 710.911255
-2315.953125 206.777969 719.174011
-2310.257080 207.914673 727.482544
-2304.529053 209.391357 735.837769
-2298.767822 211.245880 744.215698
-2293.069336 212.663498 752.384583
-2287.312256 213.266083 760.685547
-2282.159424 212.671432 769.334961
-2273.488281 212.827225 774.587708
-2263.973145 213.075546 777.897461
-2254.238525 213.050415 781.264404
-2244.699707 213.292175 784.442749
-2234.833252 214.317123 787.196228
-2225.108887 215.536118 789.894714
-2215.448486 216.616516 792.471558
-2205.679443 216.907745 794.847595
-2195.887939 216.862625 797.214417
-2185.995605 216.712250 799.563721
-2176.072998 216.330872 801.867981
-2166.203125 215.682098 804.152100
-2156.282959 215.605743 806.380859
-2146.368408 215.522110 808.457581
-2136.380127 215.416885 810.028259
-2126.296631 215.383881 811.485840
-2116.399170 215.160431 812.906250
-2106.260498 215.030365 814.069824
-2096.247803 214.767258 814.258545
-2086.192139 214.887177 814.270691
-2076.083984 215.260956 814.061462
-2065.585205 216.708466 813.670227
-2055.643799 218.312012 814.049316
Custom
HailActor "Alzilius" 3
-2047.202393 218.191437 816.126770
