A Vicious Tongue
Custom
HailActor nameless 7
91.328857 -208.278915 -460.827637
104.566223 -206.009537 -451.129578
104.566223 -155.543686 -451.129578
152.093033 -145.962402 -463.893463
188.400757 -141.229233 -498.069427
216.288300 -137.609711 -539.480652
235.337814 -137.609711 -586.324341
264.223633 -139.656143 -627.350708
275.888336 -172.750198 -638.648865
275.888336 -136.476364 -638.648865
303.244019 -120.544716 -599.291016
316.443604 -120.544716 -550.894104
327.403809 -122.047592 -512.464905
327.403809 -172.130905 -512.464905
327.403809 -186.410950 -512.464905
327.403809 -136.119217 -512.464905
299.639465 -100.789040 -535.351990
260.913208 -95.518349 -566.667480
219.656067 -95.520248 -595.353394
176.112885 -95.520248 -620.658875
162.525635 -95.608482 -626.055725
162.525635 -145.634460 -626.055725
162.525635 -190.222000 -626.055725
162.525635 -139.752350 -626.055725
162.525635 -106.448257 -626.055725
210.298904 -106.448257 -640.869385
260.442932 -106.448257 -644.896301
263.335938 -115.693703 -643.125427
263.335938 -165.730865 -643.125427
263.335938 -179.174652 -643.125427
263.335938 -128.893387 -643.125427
278.254364 -146.905792 -687.592224
Custom
FlyDown
278.511963 -157.198364 -702.653809
Custom
PathKill 24 50 10 1 1 1 "a Bloody Tooth biletongue" "I severed the toxic tongue of a Bloody Tooth biletongue" 1
278.516205 -181.439209 -702.651672
268.526733 -181.446075 -703.136108
257.927399 -181.636993 -702.220520
247.400238 -182.018066 -701.909912
237.291504 -182.719467 -702.546143
227.291992 -183.488129 -704.367920
217.090668 -184.368195 -703.446655
208.376862 -184.906982 -698.436218
200.324051 -186.102753 -692.599121
191.262772 -186.761551 -688.137573
182.928879 -185.254852 -693.844604
175.511810 -183.458099 -700.416626
168.102158 -181.294098 -707.296814
160.450500 -178.794571 -713.836304
152.213821 -176.481384 -719.893311
144.233704 -172.202316 -724.895996
134.910828 -171.760483 -729.417542
124.974426 -171.550690 -727.555969
115.546120 -170.623108 -724.172363
110.733017 -169.726410 -715.242615
108.696236 -170.070038 -704.975769
106.593124 -176.266541 -697.161804
100.521042 -171.885513 -690.300232
93.508339 -171.308716 -683.108032
86.716965 -171.308716 -675.204407
278.087616 -181.436096 -702.002869
278.087616 -131.300095 -702.002869
250.921509 -89.750565 -695.907104
202.746857 -81.189308 -683.940308
163.133514 -85.961273 -653.098938
138.510895 -86.216118 -609.239319
121.169212 -92.973305 -562.455139
109.577461 -102.948326 -514.800781
97.440102 -128.203400 -473.113251
Custom
FlyDown
94.213303 -135.492798 -462.361969
Custom
HailActor nameless 6
94.213303 -208.127090 -462.366730
