Littered Along the Pass
Custom
HailActor Grissuc 6
575.651245 250.977478 1261.501221
573.394897 250.043091 1271.623779
572.599243 248.760117 1281.599243
579.306519 249.471817 1289.334351
589.465332 248.940674 1290.001221
598.903259 248.987823 1286.457764
608.751465 248.764526 1283.807861
617.264893 248.614578 1278.382202
624.320618 248.451248 1271.120239
Custom
FlyUp
627.432617 248.373734 1267.809326
654.491638 249.418289 1225.496826
681.142212 249.418289 1182.983032
707.862549 249.418289 1140.358032
719.575806 249.418289 1091.082397
721.851318 240.760620 1041.808472
724.173828 240.760620 991.518127
726.500610 240.760620 941.134949
715.332031 240.760620 892.331116
695.784546 240.760620 845.978088
676.295532 240.760620 799.763184
641.960327 240.760620 762.694763
604.426758 240.760620 729.396667
566.837280 240.760620 696.048706
516.676086 240.760620 695.539307
466.708649 240.760620 701.682983
416.592377 240.760620 707.845154
366.420288 240.760620 714.014160
316.564453 240.760620 720.144714
266.559723 240.760620 726.293396
216.666794 240.760620 732.428162
166.494843 240.760620 738.597290
117.946541 240.760620 726.020081
70.368599 240.760620 708.181274
23.387506 240.760620 690.566162
-23.962242 240.760620 672.813110
-70.960884 240.760620 655.191528
-117.819107 240.760620 637.622253
-161.466537 225.017822 618.035767
-195.937134 194.786896 597.350159
-226.626022 158.161484 582.560242
-254.779449 118.838737 568.816040
Custom
PathHarvest 31 100 1 1 1 0 "seal keepsake box" "Find a sentimental artifact" 1 "stone vase" "Find an interesting artifact" 1 "scratched froglok skull" "Find a grisly artifact" 1 "leather-wrapped gold" "Find a valuable artifact" 1 "*ATADD*" "I have gathered a number of interesting items" 0
-272.363129 61.965584 557.323914
-315.825195 59.772964 532.534790
-358.564148 62.864223 506.748199
-403.158691 62.980743 483.199158
-446.032043 63.835854 457.031525
-489.616699 59.658573 432.728516
-540.116150 55.903870 430.969635
-576.344849 55.309940 466.137360
-598.169739 53.490303 511.455811
-566.509460 69.299873 475.634033
-521.079773 69.284714 453.683472
-473.237854 61.953121 440.101593
-425.217682 62.129589 426.135193
-376.295624 65.618370 436.909332
-330.656494 60.114719 457.573853
-281.377686 52.068550 450.305542
-282.488037 45.003914 400.429871
-324.336151 45.628208 372.325470
-325.736176 34.608063 323.504181
-276.443634 28.980133 331.228027
-234.872269 25.004747 359.176941
-218.209122 9.754215 314.560028
-249.691360 4.109441 275.681122
-225.294128 -11.597377 234.908279
-176.725998 -20.643711 243.246094
-153.894821 -36.018921 201.487900
-194.917603 -45.497787 174.478546
-238.708694 -55.363056 151.411682
-260.967590 -87.289894 119.956696
-217.109802 -96.599335 97.818451
-174.900726 -82.185448 120.596420
-125.345558 -87.887230 126.373543
-315.760040 54.575947 531.660095
-285.955048 90.151497 551.245117
-255.697708 125.377663 570.279297
-224.256897 160.763580 586.733215
-184.635834 186.386108 603.831299
-139.103180 197.540100 621.270691
-92.197456 206.142761 636.579468
-44.225494 206.148651 652.216370
3.479042 206.154617 667.766235
51.504463 206.154846 683.420898
99.476410 206.154846 699.058289
147.305801 206.154846 714.649109
192.688370 225.193863 724.232910
242.523239 229.701706 727.147339
293.073486 229.701706 727.096680
343.285889 229.701706 727.046387
392.376923 240.692871 726.996887
441.882111 249.416855 726.946777
492.039825 249.578217 727.265442
542.349670 249.571487 729.560791
592.398743 249.564758 731.843994
628.629944 249.564468 766.692688
662.383545 238.520279 801.946533
695.084351 236.637589 839.728149
714.954956 236.637589 886.045532
725.617126 236.637589 935.368713
729.282349 248.967834 984.002747
726.497864 248.967834 1034.243896
722.722778 248.967834 1084.576904
705.094482 248.967834 1131.404663
684.396301 248.967834 1177.371582
659.917786 256.339417 1220.442139
626.424377 256.339417 1257.647339
Custom
FlyDown
594.532104 256.445740 1284.350708
588.463623 248.733719 1282.050781
578.908875 248.694763 1278.495483
575.887634 250.849991 1269.020752
Custom
HailActor Grissuc 1
575.592468 250.977478 1261.528931
