Piercing the Darkness: The Sad Tale of Benosch Ironsprocket Part I
Custom
HailActorGetQuest -Actor "Nuniun Wolfbane"
637.129395 427.970276 -643.042297
646.615112 427.148987 -639.365662
656.339539 427.148987 -636.750061
666.498535 426.659576 -635.721313
675.337097 427.148987 -638.768738
686.998840 427.148987 -638.157043
696.331055 427.771790 -629.901855
705.430847 427.148987 -625.447205
713.852051 427.148987 -619.463806
717.677856 427.148987 -609.933350
713.066528 428.281281 -600.972168
703.418335 429.391174 -598.016663
693.529541 429.436737 -595.113831
683.592896 429.352844 -592.579590
674.711914 425.638458 -589.217834
666.993042 423.757965 -582.841431
665.156738 422.224335 -572.994385
670.544861 419.736359 -564.573242
678.765808 416.820709 -559.130676
688.459717 413.771698 -557.931213
696.715942 410.520996 -563.084351
701.416443 407.426117 -571.596130
703.724731 404.237091 -581.066040
701.395081 401.331635 -590.668640
694.297241 398.304565 -597.322632
685.241882 395.165375 -601.106750
675.476379 392.229767 -600.842896
666.564453 389.375000 -597.273743
660.659851 386.621063 -589.681702
660.246765 383.856598 -580.066162
663.393555 380.937622 -570.731201
668.321777 377.903290 -562.273315
676.532593 375.066620 -557.058655
685.980774 372.496826 -554.659851
695.564209 370.011414 -556.629150
703.311646 367.532471 -562.768433
706.499023 364.995148 -572.112000
705.933899 362.409119 -581.777588
702.442627 359.571716 -591.034241
696.064941 356.688446 -598.397339
687.367249 353.801239 -602.994873
677.647705 351.034821 -603.627502
669.035461 348.373505 -599.077271
661.718689 345.686310 -592.302429
657.792786 343.131348 -583.189758
658.244263 340.616425 -573.227600
661.955322 338.126801 -564.093689
668.410645 335.682739 -556.799438
677.445618 333.141998 -552.909424
686.976318 330.658997 -549.846924
696.252869 328.382904 -552.878967
701.160156 326.277832 -561.613525
705.342590 323.947815 -570.490662
707.698181 321.661407 -580.003296
707.830872 319.561432 -589.910583
705.478882 317.333130 -599.644165
700.469604 315.196899 -608.041809
691.833252 312.797699 -612.821655
682.053406 310.509979 -615.298767
671.956482 308.674286 -616.265869
662.155762 305.569885 -615.591858
652.225403 305.568878 -613.002075
642.937378 304.750488 -608.786194
634.825134 303.862793 -602.949097
627.042542 303.406586 -596.240112
619.296936 303.032196 -589.518433
611.716431 302.706329 -582.940186
604.052612 302.492340 -576.369141
595.245667 302.317383 -571.176025
586.075195 302.359863 -566.819458
576.368652 301.648590 -563.803040
566.349243 299.984039 -561.928528
556.276917 299.401550 -560.221497
547.835266 296.973541 -554.876892
539.694458 294.489868 -549.278687
533.712830 292.653534 -541.425781
529.421753 291.287933 -532.408813
525.122131 289.789307 -523.125427
520.093750 288.380127 -514.307983
514.245361 287.363586 -505.910614
508.250854 286.148529 -497.935059
502.013947 285.333862 -489.894592
495.614960 284.292114 -481.931549
489.213287 283.710449 -474.098145
482.736206 282.902130 -466.172394
476.372375 282.011932 -458.385040
469.834503 281.347626 -450.458191
462.533447 280.607483 -443.500641
454.082947 280.215179 -437.716980
444.904907 280.202423 -433.016724
435.811920 280.354034 -428.816040
426.377686 280.549316 -425.277618
416.574341 280.633636 -421.703857
407.200439 279.701141 -418.286652
397.390472 279.056885 -414.731171
387.704559 279.076538 -411.183289
378.261597 279.196472 -407.666138
368.809540 279.533813 -403.843536
359.653229 279.340668 -399.595428
350.908081 278.063965 -394.260223
343.071381 276.248199 -388.282867
335.710785 274.474274 -381.463989
328.880310 271.965607 -374.358337
317.769531 269.177185 -363.962952
Custom
Path -PathLines 318 -Loop -Reverse -QueryActor "-ActorName|rockhopper egg|-Trigger|AnnounceText:I have collected enough rockhopper eggs (3/3)|-Events|Harvest"
309.608734 267.176697 -357.158264
291.609070 265.529907 -363.870087
282.023682 264.694733 -367.523285
272.057129 263.638336 -369.637238
262.002899 263.626526 -369.700867
251.908875 263.551208 -369.924164
241.834808 262.949860 -370.146545
231.688065 261.067017 -369.846405
221.682632 259.013397 -369.646423
211.820404 258.980835 -372.593018
204.232101 259.358978 -379.312347
200.364761 258.862671 -388.698303
200.335678 259.605957 -398.784149
201.967743 260.651031 -408.808197
203.327866 260.442352 -418.791626
203.064423 259.360046 -428.961578
201.793457 258.738220 -438.936584
199.443665 258.838959 -449.135345
196.223495 259.230255 -458.828461
192.549789 260.676208 -468.039398
188.682495 263.077118 -477.301636
184.927795 265.084198 -486.437683
182.150665 265.899628 -496.044617
181.074661 266.348877 -506.121368
180.842300 267.360260 -516.330383
181.191803 267.642212 -526.459595
181.952927 268.281616 -536.606384
184.155655 268.505493 -546.530212
190.246750 268.583771 -554.792236
198.814499 269.704803 -560.299072
208.018768 271.137848 -564.102661
215.243896 273.032532 -571.128174
218.262131 273.787140 -580.893738
214.941956 272.936981 -590.497742
206.879913 270.141479 -595.730530
196.827759 269.307373 -596.122437
187.320053 269.307373 -592.198792
178.455185 269.307373 -587.300659
169.555191 269.307373 -582.367249
160.761078 269.315460 -577.488159
152.482269 269.922485 -571.634949
145.076584 272.026428 -565.098328
138.290588 274.564087 -557.715515
132.674301 276.803253 -549.687195
127.324005 279.312317 -541.318359
123.221664 282.625305 -532.642029
119.992493 285.776886 -523.261536
118.393387 288.641663 -513.716187
116.813454 291.467621 -503.603333
115.310226 293.215454 -493.579437
111.921593 293.338989 -484.107697
102.691711 293.338989 -479.756195
94.720512 293.338806 -485.983795
93.911758 292.740540 -495.940186
97.256462 291.330505 -505.432617
101.652435 289.076477 -514.499451
106.139450 286.190155 -523.254700
110.537148 283.309875 -531.832336
115.286179 280.368195 -540.393372
121.012093 277.310455 -548.441406
126.917877 274.761963 -556.184875
133.172379 272.405243 -563.877502
140.445633 270.683441 -570.904663
148.297958 269.534790 -577.311401
156.427841 269.307373 -583.628174
164.557739 269.305328 -589.944824
172.546188 269.341095 -596.151917
180.034637 269.443665 -602.927246
185.616837 269.788910 -611.288757
189.287048 270.708862 -620.723450
188.232666 271.806824 -630.906616
184.949341 272.346558 -640.662292
180.664825 272.361237 -649.903320
173.787827 272.600677 -657.268555
165.566208 272.441376 -663.227417
156.964539 272.183990 -668.730042
147.921402 272.097321 -673.482483
138.897446 271.471039 -677.911133
129.270813 270.437134 -681.132813
119.689796 268.634308 -683.358948
109.916489 266.656433 -685.364136
100.090279 264.895081 -687.850708
90.226585 263.499023 -690.584167
80.649651 262.501038 -693.518860
70.782883 261.348938 -696.660095
61.237007 260.501953 -699.760925
51.318947 259.569305 -703.188599
41.837872 258.323822 -706.541992
32.413006 258.047791 -709.875549
22.856537 258.657562 -713.254272
13.391553 259.172089 -716.594116
3.945302 259.677948 -719.927368
-5.500948 259.281494 -723.260681
-15.001959 259.775574 -726.617859
-24.171806 259.380951 -730.643677
-33.772026 259.374237 -734.411743
-43.536114 259.305908 -737.223450
-53.599174 258.881256 -738.556702
-63.632107 258.500580 -738.778870
-73.634811 258.623169 -738.276672
-83.778976 258.854126 -737.078247
-93.951103 258.475464 -735.773621
-103.732635 256.687683 -734.550354
-106.229340 257.028687 -724.547363
-106.656693 257.549927 -714.371277
-106.182709 258.079712 -704.128479
-105.666611 258.782074 -694.105286
-104.798882 260.371399 -684.006592
-103.013542 262.514648 -674.199402
-100.416183 265.729492 -664.797852
-96.419312 270.025574 -656.268921
-90.963303 272.711975 -648.107788
-85.486832 272.484863 -639.723145
-81.197731 272.189178 -630.423706
-77.784424 272.168091 -620.943298
-76.151062 272.166809 -610.845215
-81.893333 272.180878 -602.561646
-91.943542 272.767639 -601.673157
-100.267464 272.608917 -607.482544
-106.847572 272.196594 -615.098877
-111.497551 272.190308 -624.114075
-114.982910 272.080353 -633.525024
-117.521477 270.671692 -643.307495
-119.146866 266.983765 -652.505554
-120.730896 263.234039 -661.751343
-122.419266 260.801971 -671.543823
-124.944679 258.264709 -680.944580
-127.763901 255.106369 -690.162537
