From the Ruins
Custom
HailActor "Researcher Aillena Belzia" 5
-157.489471 6.802618 -905.810913
-166.859924 6.957685 -909.592102
-176.211365 7.568616 -913.150330
-184.056992 12.104215 -917.778931
-190.621170 16.205168 -924.281616
-198.345169 20.621004 -929.327759
-206.456879 26.086216 -931.946045
-215.006393 31.445744 -933.109558
-223.664795 37.022053 -933.895264
-232.418137 42.222149 -934.680725
-241.608582 46.077293 -935.528015
-251.074341 47.314304 -938.673279
-259.797974 47.225777 -943.908936
-268.402130 49.392906 -949.129639
-276.508087 53.166416 -954.048096
-284.108002 58.085876 -958.677368
-292.024078 62.385029 -963.895508
-300.291321 64.235916 -969.323181
-309.543091 64.060349 -973.943787
-318.772247 62.738445 -977.955872
-328.588593 61.216740 -981.466614
-338.332520 60.828487 -984.708435
-348.093475 62.459663 -987.513855
-357.868591 64.166405 -989.614319
-367.841125 66.750259 -990.576660
-377.235016 70.439636 -991.228577
-385.729126 76.219177 -992.504822
-391.676147 83.598450 -996.322571
-399.857025 89.306366 -999.073608
-409.432831 91.686714 -1001.258789
-418.534851 92.693382 -1005.416443
-426.589203 93.081009 -1011.418274
-433.608765 96.048531 -1018.464111
-439.073029 99.273941 -1026.356445
Custom
ClickActor "ancient debris" 1
-442.317657 100.813835 -1031.639160
-450.012543 102.283745 -1025.047607
-457.647919 102.557884 -1018.507019
-467.019775 102.717773 -1014.779846
-476.929718 101.720047 -1016.184387
-486.901855 101.437752 -1019.174133
-496.377686 102.850136 -1022.633728
-505.697449 102.795921 -1027.057251
-515.410767 102.683311 -1029.623901
Custom
ClickActor "ancient debris" 1
-518.877686 102.631721 -1029.049561
-509.123199 103.271484 -1031.946533
-502.855804 108.022972 -1038.480103
-504.732452 113.418915 -1046.855469
-512.305054 115.869087 -1053.265015
-521.986694 115.213394 -1056.932129
-529.227539 109.130951 -1060.786133
-534.041565 105.031479 -1068.763916
-531.352783 102.666634 -1078.182983
-528.926331 99.658844 -1087.671631
-526.356079 97.104347 -1097.199341
Custom
ClickActor "ancient debris" 1 
-525.669373 96.394043 -1099.790405
Wait
100
-525.669373 96.394043 -1099.790405
-515.827759 99.137253 -1098.361084
-506.290405 100.683914 -1102.288940
-496.732971 102.101265 -1106.211426
-487.324921 102.743767 -1109.959839
-477.755981 102.287689 -1113.772217
-468.378479 100.723816 -1117.632324
-460.942810 97.884361 -1123.947754
-454.372742 95.514175 -1131.121216
-447.587860 93.889938 -1138.511841
-440.727570 92.165237 -1145.677490
-432.236237 89.313057 -1150.229370
-424.155243 82.704674 -1151.229492
-419.759521 73.717224 -1152.029419
-414.379791 65.536469 -1154.553345
-406.903473 59.343075 -1157.823853
-398.205933 58.195148 -1162.726074
Custom
PathKill 221 25 25 1 1 1 "an arcane runestone" "I destroyed the curse-inflicting runestone that attacked me on the isle of Grim Shales" 1
-394.501801 58.430717 -1166.708496
-390.589813 59.882183 -1175.904785
-394.472168 61.636955 -1185.143311
-404.099152 59.005733 -1187.488037
-413.862610 57.963699 -1189.648682
-423.426117 60.262325 -1191.770874
-432.697418 64.623734 -1192.398804
-440.325836 71.556992 -1192.788696
-450.512939 71.092628 -1193.541138
-458.980774 67.289352 -1197.695557
-464.010193 63.319092 -1205.709961
-468.932892 62.313335 -1214.653564
-472.716187 62.906654 -1224.167603
-482.683411 62.573181 -1226.329102
-492.647614 60.986168 -1226.652588
-502.443695 61.258774 -1229.727417
-510.214264 56.448853 -1234.434692
-514.277100 47.333595 -1236.257202
-522.247925 40.804867 -1236.678101
-530.919312 35.564014 -1236.318481
-535.387573 30.748022 -1243.984741
-530.972473 26.036026 -1252.038574
-526.140137 21.849173 -1259.895996
-520.761475 17.156572 -1266.993652
-515.185242 19.588736 -1275.193604
-513.104980 28.920355 -1279.207520
-511.012604 37.504845 -1285.077026
-514.756897 41.950134 -1293.462402
-523.135986 45.776573 -1297.396851
-531.479431 43.212200 -1302.499878
-533.684692 40.687782 -1312.244141
-534.600891 35.453506 -1320.761963
-535.348633 28.054043 -1327.599854
-540.340393 20.275059 -1331.730835
-546.490051 13.581872 -1327.335571
-551.606262 7.551783 -1321.167969
-557.533936 4.500489 -1313.580688
-564.589844 4.565497 -1306.086792
-571.780212 6.564011 -1299.379883
-576.031982 14.780429 -1295.027954
-579.320984 23.904047 -1291.395752
-583.212708 32.984295 -1288.219604
-589.651428 39.127533 -1283.330933
-596.621887 37.830128 -1276.116211
-603.181580 37.013718 -1268.162598
-610.251160 36.511040 -1260.696289
-616.280518 35.795105 -1252.532959
-621.661560 31.776627 -1244.937500
-625.848572 23.248690 -1241.046631
-632.481140 17.009882 -1236.361694
-640.352295 14.914863 -1230.434326
-644.886841 22.839912 -1225.647949
-648.499451 29.195509 -1218.661743
-650.629150 37.452557 -1212.951416
-648.465454 36.102524 -1202.984741
-644.674194 32.830917 -1194.226318
-642.566284 28.278919 -1185.518555
-641.093384 34.233395 -1177.049927
-647.880066 36.083786 -1169.861694
-655.573608 35.947754 -1163.393799
-659.743225 41.424225 -1156.001709
-667.057434 40.896797 -1148.864868
-659.913818 40.616684 -1156.231201
-653.543213 47.867107 -1158.881958
-644.846863 52.354584 -1156.307739
-637.228516 58.947853 -1157.923706
-630.075012 60.025181 -1165.064453
-623.376038 60.448730 -1172.635132
-615.083984 64.086906 -1179.294434
-615.325195 72.122406 -1171.024780
-618.626953 78.957741 -1164.366699
-623.129272 79.876175 -1155.196899
-629.521240 80.813820 -1147.163086
-637.037964 81.441055 -1140.557617
-645.546570 81.478455 -1134.998657
-653.988281 80.771240 -1129.349243
-662.241150 81.751053 -1123.759644
-670.332336 83.422241 -1117.740479
-677.567810 88.464294 -1112.899414
-685.682007 91.421471 -1107.786255
-694.212219 88.937050 -1103.013550
-703.530884 89.908417 -1099.387939
-711.993164 95.051353 -1096.869751
-721.985718 96.752464 -1098.510620
-726.857300 92.001312 -1105.867310
-730.467957 86.913849 -1114.013428
-733.636658 85.788315 -1123.496338
-735.981140 86.365143 -1133.456299
-738.204224 84.798531 -1123.766113
-738.673645 84.623169 -1113.401855
-739.181396 90.399483 -1105.221802
-742.367371 97.998016 -1099.175293
-748.095886 100.391869 -1091.285156
