Super Scroll
Custom
HailActor "Necromancer Corporiss " 6
-272.047516 -36.973164 1124.357056
-270.728333 -36.965359 1114.411987
-269.160156 -37.411446 1104.489380
-264.425140 -37.611874 1095.383789
-255.102585 -37.413940 1091.430786
-245.183456 -37.241531 1094.077393
-236.086563 -37.237881 1098.475098
-227.043427 -37.464184 1103.154541
-218.064713 -37.956314 1107.800659
-209.021530 -38.614944 1112.627808
-201.463470 -39.936485 1119.284302
-194.971634 -40.628040 1126.890381
-188.338226 -40.545307 1134.686401
-179.074692 -40.545311 1138.680664
-169.260452 -40.545315 1140.824585
-159.119263 -40.545311 1141.381958
-153.417160 -40.623096 1132.844116
-147.239761 -41.077854 1124.825562
-137.231140 -43.256111 1122.752686
-127.148285 -43.596951 1122.024048
Custom
HailActor "Utander Rizndown" 2
-120.608063 -43.217384 1121.926025
