Bad to the Bones
Custom
HailActor "Sergeant Slithess" 5
-147.962967 50.495056 336.972046
-141.740753 48.432865 329.060791
-135.619064 45.973354 321.277313
-129.466583 43.494633 313.440277
-124.397964 39.542030 305.545044
-120.847809 35.095882 296.976959
-118.071945 29.773817 288.681732
-116.143364 24.239300 280.334900
-114.683853 19.062170 271.747345
-114.059242 14.889408 262.366730
-113.801300 10.629728 253.069138
-114.600395 6.931526 243.810532
-116.381378 3.190628 234.431137
-118.131874 -0.438381 225.212219
-119.939713 -3.864953 215.968460
-123.084381 -7.331131 207.109741
-125.436874 -10.568740 197.725800
-126.683418 -13.714078 188.187454
-127.834648 -16.804207 178.454559
-128.430252 -19.700846 168.746460
-128.752380 -22.530699 159.096085
-129.036636 -24.998457 149.353531
-129.319275 -27.249535 139.501999
-128.917572 -28.823259 129.620499
-128.371109 -30.336697 119.507568
-127.833481 -32.049118 109.557777
-127.288040 -33.573193 99.462982
-126.747467 -34.779400 89.458786
-126.906105 -35.818485 79.449997
-127.562469 -36.643250 69.361923
-128.180786 -37.192879 59.216743
-128.789108 -37.628906 49.234581
-129.403015 -38.086384 39.161854
-130.012451 -38.746395 29.161600
-130.245056 -39.692207 18.967022
-130.301300 -40.663952 8.766876
-130.357651 -41.317242 -1.433269
-130.413483 -40.504566 -11.542667
-130.470459 -40.324974 -21.851713
-130.525803 -39.946247 -31.870365
-130.581284 -39.660755 -41.907139
-130.637344 -39.282398 -52.052807
-130.652405 -36.989418 -62.016834
-130.788452 -34.883736 -71.868553
-131.152954 -32.472374 -81.826241
-131.489410 -28.144873 -91.040291
-131.790390 -24.072294 -100.273697
-132.146790 -20.537907 -109.832024
-132.462936 -15.431387 -118.683403
-132.567169 -11.389478 -127.830376
-132.388046 -9.241096 -137.843842
-131.041885 -4.719355 -146.950729
-129.913620 1.406465 -154.991318
-129.619568 5.916022 -164.043381
-127.915512 7.578424 -173.874496
-125.511360 7.497236 -183.693054
-123.267136 7.399246 -193.697235
-120.140762 8.537739 -203.291046
-117.035797 8.703457 -212.834778
-113.812622 9.713698 -222.389526
-109.835236 10.199167 -231.781952
Custom
PathKill 115 35 35 1 1 1 "an unearthed dragoon" "I have acquired enough dragoon bones to satisfy" 1
-106.555977 9.802190 -238.864136
-113.939240 8.068149 -232.171783
-120.818336 5.619997 -225.025116
-127.715965 3.462506 -217.860321
-130.752914 4.357921 -208.160828
-128.681732 6.324203 -198.477875
-122.160896 7.118402 -190.864105
-114.062576 10.589797 -185.986343
-104.601433 13.155031 -183.379929
-94.969070 14.996115 -180.872818
-85.063118 13.464563 -179.400330
-77.401100 9.630122 -173.874451
-71.152466 3.715727 -168.617462
-63.801506 8.575540 -163.614456
-55.470638 10.825810 -158.513992
-45.404968 9.480602 -157.294785
-36.860214 5.750519 -152.913605
-28.951735 3.626322 -147.098419
-21.452374 8.228579 -141.992142
-13.214335 11.808833 -137.255737
-3.923301 13.930176 -133.714188
4.746755 11.716208 -129.205215
11.422801 7.455279 -122.870041
18.021221 1.187201 -118.673561
26.653585 -4.280247 -117.317558
36.073372 -4.061304 -121.240143
42.975861 1.140490 -126.373383
50.426647 4.358014 -132.734421
58.089291 5.256606 -139.273087
67.612495 4.662383 -142.304245
76.356300 -0.310890 -143.622574
85.156937 -4.563970 -146.356064
92.645004 -2.535794 -152.822693
98.162071 1.512037 -160.449402
103.407066 3.611248 -168.798752
110.474289 0.086496 -175.127930
117.950089 -2.997486 -181.480453
123.277367 -7.072610 -189.343628
127.604843 -4.164631 -198.085068
130.461395 -1.661582 -207.526962
129.826889 -1.844700 -210.792847
138.868408 -3.830466 -215.543457
145.609222 -9.142722 -220.729599
152.024414 -16.352304 -223.722549
160.247345 -21.768221 -226.004791
167.321182 -21.799177 -233.244949
173.952118 -19.327303 -240.352173
182.279083 -19.987011 -246.048935
191.785492 -22.506742 -248.363922
200.522110 -26.778173 -251.112152
208.660919 -30.002605 -256.353546
212.690186 -32.863907 -265.270660
219.129013 -35.329708 -272.696228
225.440628 -38.226585 -279.906525
229.977448 -40.949760 -288.402893
233.510162 -43.903610 -297.460968
233.898026 -47.983231 -306.716736
232.121094 -51.425575 -316.179047
226.720428 -55.580902 -323.694275
218.598923 -60.059162 -328.143646
210.983704 -63.910843 -333.592133
206.478760 -65.382629 -342.457977
203.165192 -71.079346 -350.401276
194.062439 -75.323914 -351.635986
184.248566 -77.700195 -349.703918
176.115585 -80.189491 -344.343170
167.743393 -83.434525 -339.730408
159.239090 -87.026146 -335.394775
151.369110 -91.216072 -330.266510
143.548172 -94.458664 -324.574585
135.484741 -95.590408 -318.424438
127.942894 -98.315514 -312.136719
120.378639 -101.139069 -305.847595
112.461937 -103.850769 -300.364655
104.250481 -107.935616 -296.184814
96.176262 -112.836929 -292.866730
87.361504 -115.767036 -289.063965
79.720657 -121.757263 -285.930969
71.609993 -126.716171 -282.033478
64.074707 -132.922379 -279.191681
55.545841 -136.650955 -275.017853
47.270020 -137.007111 -268.981079
39.577438 -136.205841 -262.429596
29.531782 -135.340439 -261.240021
20.533695 -136.504974 -265.726837
19.151402 -132.880981 -275.009399
16.725040 -132.354904 -284.995209
10.728492 -126.783279 -291.310028
5.426426 -121.019264 -298.200897
4.710217 -116.050636 -307.081390
8.914082 -112.471184 -315.755188
16.507351 -110.725243 -322.050079
24.424500 -109.212448 -328.040649
32.616653 -107.708656 -334.239319
40.461422 -105.470322 -340.175079
48.378567 -103.273506 -346.165680
56.411491 -101.723557 -352.243866
64.401001 -100.391235 -358.289215
72.494843 -99.443665 -364.189972
