Scout Jamboree
Custom
HailActor "Battlemaster Kythe" 8
-976.303223 -67.758736 -979.668213
-967.351013 -68.236694 -984.371643
-957.197571 -69.719177 -984.493042
-947.427734 -70.901711 -982.030579
-945.532959 -72.006905 -992.101501
-941.698730 -74.415459 -1001.086792
-931.862610 -75.372322 -998.475342
-927.083313 -78.099358 -990.038330
-924.673035 -79.235481 -980.281250
-925.501465 -81.335670 -970.286804
-926.542053 -82.674919 -960.377014
-927.528625 -85.614021 -950.735413
-928.108093 -88.261116 -940.811829
-928.081848 -89.941338 -930.684143
-928.054138 -91.408455 -920.556396
-927.169006 -92.478615 -910.592041
-925.862976 -92.861923 -900.658936
-924.531006 -93.101082 -890.527954
-923.201355 -93.345146 -880.414917
-921.900085 -94.165291 -870.517883
-920.591858 -95.556343 -860.566772
-919.302368 -97.071030 -850.759583
-917.808716 -99.334442 -840.828979
-913.457214 -100.402885 -831.853027
-908.257202 -101.830879 -822.920410
-902.413025 -103.393738 -814.783447
-896.536072 -104.865906 -806.759338
-890.490540 -106.309830 -798.566833
-883.481018 -107.807579 -791.046326
-875.687378 -108.842224 -784.467712
-868.480042 -110.514030 -777.432678
-861.485474 -112.065048 -770.083374
-854.531067 -113.632477 -762.745911
-847.526672 -114.951508 -755.355896
-840.547241 -116.193275 -747.992126
-833.480347 -117.204887 -740.536255
-826.513550 -118.256844 -733.185913
-819.546509 -119.009964 -725.835327
-812.629700 -119.676659 -718.537476
-805.700195 -120.009552 -711.226563
-798.758240 -120.186989 -703.902283
-791.774353 -119.948830 -696.568054
-784.675232 -119.872383 -689.473083
-777.347046 -120.061043 -682.509155
-770.019897 -120.894806 -675.596741
-762.705933 -121.703102 -668.696899
-755.431458 -123.335091 -661.834351
-748.064697 -125.021294 -654.884583
-740.724365 -126.606804 -647.959839
-733.384094 -128.005615 -641.035095
-726.038147 -128.638138 -634.037720
-718.507446 -129.236099 -627.306946
-709.947998 -129.494614 -621.666077
-701.602112 -129.625717 -616.081055
-693.238342 -129.675751 -610.513062
-684.826782 -129.632797 -604.781555
-676.233765 -129.559753 -599.413391
-667.980408 -129.630203 -593.653442
-660.114014 -128.938705 -587.339966
Custom
PathHailCast 23 35 1 1 1 "Scout Cluzwen" "Cluzwen's field report" 1 "4189597453"
-658.483093 -128.671356 -585.991150
