Redeeming Qualities
Custom
HailActor "Kitkalla" 7
929.936707 13.441447 -1009.691711
939.855652 11.124326 -1010.121155
950.031616 10.691502 -1011.835388
959.944519 10.723078 -1014.775757
967.919556 11.383481 -1021.035828
968.543274 11.488126 -1031.098755
961.247131 10.141375 -1037.964478
952.512939 8.664668 -1042.992432
943.356506 7.056469 -1046.893921
934.865051 6.838696 -1052.243530
Custom
PathKill 28 25 25 1 1 1 "an adamantine karkata" "I have collected enough shells" 1
930.204651 7.026176 -1055.897217
920.864136 7.297386 -1062.052490
911.114136 6.185037 -1065.369385
901.973755 5.871697 -1069.850952
905.834229 6.546286 -1079.110962
910.480713 6.091265 -1088.202148
915.134644 6.034746 -1097.302368
920.188660 6.337879 -1106.201050
925.472290 6.195581 -1114.804077
931.010193 6.362880 -1123.294067
937.197327 6.671297 -1131.509399
928.823975 6.279881 -1137.180664
919.125061 4.543886 -1139.781372
909.195740 4.572596 -1142.448975
899.509766 4.600385 -1145.051270
889.678406 4.612787 -1147.644897
879.920166 4.619622 -1150.354736
870.531006 6.577173 -1153.226074
860.314758 6.754560 -1153.257080
852.043701 6.753290 -1147.408081
847.781616 6.754560 -1138.243164
845.111328 6.659187 -1128.166016
839.960327 6.769812 -1119.301758
832.656799 6.761389 -1112.195679
823.658325 6.842457 -1107.253296
814.427979 6.800283 -1102.973389
805.678955 6.200551 -1097.780273
797.816101 6.190863 -1091.096558
795.363342 6.364240 -1088.516846
929.769104 7.047794 -1056.159546
929.769104 7.047794 -1056.159546
929.794861 57.087379 -1056.162476
949.028748 80.468529 -1016.177917
972.899963 80.468529 -972.070557
978.473206 80.468529 -922.117920
978.491333 80.468529 -871.853455
968.589722 80.468529 -822.536987
958.965576 80.468529 -773.217468
930.144836 71.861053 -733.234131
902.694214 54.920631 -694.875977
875.182068 37.942158 -656.431580
Custom
FlyDown
853.578674 26.020071 -613.557495
Custom
PathKill 62 35 35 1 1 1 "an animated coral" "I have enough coral" 1
853.576233 9.276753 -613.558167
845.435974 8.207452 -607.499695
837.068481 6.787235 -601.957825
827.657654 4.707470 -598.469116
817.820129 4.527840 -595.807129
807.898804 4.580777 -593.307556
802.689087 4.560834 -584.612732
804.992615 4.597247 -574.721313
807.281616 4.611157 -564.891785
810.095459 4.618415 -555.111023
813.549805 4.619768 -545.687134
817.437866 4.621387 -536.332764
821.903748 4.622361 -527.213501
826.156677 4.620354 -518.144958
830.394531 4.623427 -508.639648
832.554199 4.623239 -498.739471
830.759888 4.619290 -488.847504
828.118835 4.624227 -479.067322
826.296997 4.623496 -469.148621
824.764221 4.621540 -459.007355
823.244446 4.625644 -448.953369
821.821289 4.649672 -439.026306
821.518127 4.653679 -428.945404
826.634094 4.676802 -419.958984
833.838135 4.700332 -412.562439
841.888794 4.727557 -406.595490
851.556946 4.677483 -402.923706
861.691467 4.653061 -401.224609
871.679749 4.643221 -400.546631
881.930359 4.652234 -400.883942
891.958252 4.527606 -401.222168
902.061035 4.563042 -402.330536
912.089111 4.597531 -403.443726
921.982849 4.607389 -405.047546
931.615051 4.616777 -408.201935
937.688354 4.533432 -416.365356
938.626831 4.606767 -426.353577
940.209351 6.104789 -436.446320
945.820129 6.624448 -445.003174
953.618530 6.399184 -451.289795
962.779053 5.431489 -455.736176
972.276306 4.531373 -459.025848
982.372864 4.581886 -459.870514
992.443359 4.605921 -459.210663
1002.447815 4.609266 -457.882446
1010.466675 4.616398 -451.773499
1012.452576 4.667454 -441.848694
1016.851074 4.689643 -432.661652
1025.498657 5.464411 -427.611206
1035.291748 6.835605 -429.692627
1042.494751 7.316304 -436.714722
1037.512573 7.155243 -445.548004
1036.965088 6.322937 -455.791107
1040.635986 5.744322 -465.353394
1044.712646 4.596905 -474.576294
1048.386963 4.549871 -483.976166
1052.066162 4.611217 -493.389038
1055.558472 4.750746 -502.864929
1057.642090 4.949338 -512.811646
1059.437012 5.718968 -522.835999
1061.808228 6.214505 -532.575317
1065.824585 6.557248 -541.888855
1069.542603 6.699648 -547.010986
853.223450 9.260768 -612.666870
853.223450 9.260768 -612.666870
853.129089 59.382454 -613.397888
869.703247 68.532455 -659.755676
886.481934 75.546066 -706.685364
901.923035 95.499725 -749.874207
914.137085 98.474617 -798.312439
918.336304 101.898979 -848.218323
912.456360 105.951775 -856.200012
951.397278 90.544281 -878.573059
993.735413 68.484329 -894.459961
Custom
FlyDown
1027.887695 37.097210 -910.880493
Custom
PathHarvest 143 100 1 1 1 0 "TintFlags-12370" "I've gathered enough leaves" 1
1027.857666 29.037468 -910.895508
1025.557373 29.218462 -900.912842
1023.331848 30.791916 -891.091370
1021.120178 32.289219 -881.224915
1018.534119 33.509460 -871.322754
1014.161865 33.395485 -861.968628
1009.227478 32.603054 -853.070984
1003.836426 31.845142 -844.542786
997.751038 31.156273 -836.311829
991.350159 30.591827 -828.225647
983.630920 29.814417 -821.583679
975.131226 29.393230 -815.776123
965.499634 30.007339 -812.861450
956.420471 30.165924 -808.218445
950.736633 29.329863 -799.680969
945.683167 28.568659 -791.050537
940.875793 26.696899 -782.150635
938.151367 25.107136 -772.660095
929.121826 24.341671 -767.920776
919.181824 24.218716 -770.208008
909.356567 24.910494 -773.352600
899.625244 25.801077 -775.978149
891.377930 27.065269 -781.851807
887.924438 29.243891 -791.392761
885.845398 31.701443 -801.023499
885.602234 34.776604 -810.640625
883.917175 37.821575 -820.328735
876.361755 40.527641 -826.772827
866.737976 42.652695 -829.347412
857.175476 44.797852 -832.275635
848.053528 46.990177 -836.622681
840.118530 49.275131 -842.564453
833.492249 51.117100 -850.262695
826.909790 52.594162 -858.020935
820.427185 54.408737 -865.595093
813.892517 55.351284 -873.248901
808.061157 56.727730 -881.293457
803.407776 58.955021 -890.284363
800.902527 60.825737 -899.813660
805.254822 60.907425 -909.071045
809.123535 62.356998 -918.527710
809.052979 68.945343 -926.511169
807.616577 68.470520 -936.695679
803.776855 65.736320 -945.587891
798.939087 65.800835 -954.759644
793.514465 65.827896 -963.361816
787.308716 65.846016 -971.720032
777.880676 65.851563 -975.532776
767.916504 65.977455 -977.359924
758.434814 69.133499 -979.275757
748.637329 71.303780 -981.359863
738.912415 72.259506 -984.348389
729.288513 72.783791 -987.068787
