A Tale of Two Trails
Custom
HailActor "Finze" 5
-689.157776 27.435837 154.061020
-687.153076 26.207975 163.985703
-685.138977 26.207975 173.956421
-685.138977 76.449089 173.956421
-685.138977 126.811607 173.956421
-685.138977 177.249084 173.956421
-691.793457 218.139648 145.491745
-700.108704 253.711487 110.905281
-708.380310 289.097717 76.499344
-719.011597 311.027008 32.280128
-729.024475 336.986389 -9.367824
-740.770874 336.986389 -58.225677
-773.286072 336.986389 -96.361847
-812.964111 336.986389 -127.410721
-852.435547 336.986389 -158.297668
-891.907166 336.986389 -189.184662
-931.378784 336.986389 -220.071686
-970.850464 336.986389 -250.958664
-1010.277649 336.986389 -281.811127
-1045.465820 317.455963 -311.879089
-1078.695923 293.130707 -340.429565
-1112.048584 267.391724 -367.734863
-1143.701172 236.508774 -391.278442
-1177.004639 202.217926 -406.070282
-1197.495605 158.096588 -418.005554
-1166.382690 118.642006 -415.596008
-1130.284546 108.293976 -449.041718
Custom
FlyDown
-1113.699585 96.332153 -469.864075
Custom
PathKill 59 35 35 1 1 1 "an Allu'thoa" "I've killed a large number of Allu'thoa" 1
-1113.740356 81.344734 -469.828644
-1114.532593 77.732628 -460.515503
-1114.818481 74.141243 -450.895538
-1116.832275 70.178452 -441.254517
-1119.501465 68.136581 -431.415375
-1122.596680 66.260376 -421.822357
-1125.933716 63.529099 -411.994141
-1129.306885 60.632706 -402.547791
-1139.329468 60.566826 -401.125397
-1148.721558 61.831791 -404.373352
-1158.357300 63.508919 -407.780273
-1167.675293 64.490341 -411.943573
-1176.972168 64.619728 -416.265076
-1186.144287 65.690063 -420.811768
-1196.088257 67.375587 -425.233398
-1205.367554 69.160812 -428.560028
-1215.099854 70.610886 -431.580414
-1225.067505 73.012665 -434.160950
-1235.130371 75.048828 -436.359619
-1243.468994 75.879440 -442.193024
-1249.874390 76.954391 -450.578522
-1255.847656 78.401367 -458.717621
-1260.555664 80.830360 -467.211121
-1262.790894 82.973030 -477.767029
-1261.727661 83.493538 -487.928864
-1259.668823 83.991638 -498.126404
-1255.411377 84.535789 -507.721771
-1251.142456 85.560966 -517.102295
-1250.361572 86.797470 -527.542480
-1251.940430 88.304947 -537.463806
-1256.150757 88.120628 -547.078491
-1260.006104 88.496620 -556.964172
-1260.987671 89.903542 -566.996155
-1264.776855 92.379204 -576.371399
-1274.212158 94.831451 -580.665344
-1283.345215 96.676186 -585.174622
-1290.826294 96.785126 -592.129456
-1280.527466 96.864876 -590.494568
-1273.584473 95.248848 -583.440735
-1265.115112 92.762108 -577.710022
-1254.867188 91.899483 -579.556152
-1247.489136 91.454224 -587.177185
-1241.406860 91.454544 -595.524292
-1235.749268 91.693199 -604.072083
-1230.943237 90.570801 -612.966370
-1225.351563 89.740204 -621.764099
-1223.180786 89.828575 -631.831604
-1214.243042 89.998161 -626.331909
-1205.098022 88.791687 -621.789734
-1194.980103 85.897469 -624.204407
-1187.301270 81.525467 -629.076172
-1178.171265 77.797485 -632.585205
-1168.189575 74.870476 -633.173218
-1158.173950 71.620155 -633.080933
-1148.026367 68.699608 -633.921997
-1138.108521 64.944435 -634.125244
-1128.210083 62.124184 -633.479187
-1129.502441 62.099148 -643.807312
-1129.747681 62.293087 -653.868713
-1129.201660 60.588718 -660.964844
-1114.065552 81.214249 -469.823914
-1114.065552 81.214249 -469.823914
-1114.065552 131.237259 -469.823914
-1103.026001 156.440308 -427.992126
-1090.075073 152.577026 -379.633820
-1077.131470 152.572510 -331.305450
-1061.987793 152.571655 -283.403778
-1048.151489 134.812439 -238.499634
-1034.328735 119.763336 -192.745331
Custom
FlyDown
-1023.675964 111.164124 -153.699387
Custom
HailActor "Nuwat Pickletrade" 2
-1024.822021 98.591919 -169.300644
