Blood and Ry'Gorr
Custom
HailActor "Orolr Throatgrinder" 4
-648.359985 -339.887207 2496.682373
-647.850037 -341.120392 2507.697266
-647.020325 -342.143188 2517.678223
-646.171875 -342.518585 2527.886719
-645.313965 -342.898132 2538.208496
-644.470215 -343.648346 2548.360596
-643.638855 -343.907532 2558.363037
-642.809143 -344.156555 2568.346436
-641.955872 -344.473358 2578.612061
-641.119934 -344.636597 2588.670410
-640.271362 -344.881378 2598.879883
-639.429138 -344.876068 2609.013916
-639.362854 -344.333893 2619.274414
-640.579407 -343.728333 2629.197754
-641.292847 -343.121674 2639.447754
-641.998474 -342.395447 2649.571289
-642.847351 -341.849213 2659.628418
-643.688843 -341.729340 2669.894531
-643.018066 -342.116089 2679.918457
-641.230835 -342.432343 2690.022949
-640.052612 -342.510040 2700.017578
-644.452454 -342.864990 2709.211426
Custom
HailActor "Rogla Dainkiller" 3
-646.514099 -343.807220 2717.843750
-652.322571 -343.109314 2709.399658
-659.906921 -343.417664 2702.702881
-661.807129 -343.453003 2692.793213
-657.937500 -343.049255 2683.526611
-651.993164 -342.116852 2675.252930
-644.936035 -341.671936 2667.811523
-636.989502 -341.866638 2661.629639
-629.951050 -342.385040 2654.526855
-620.967712 -343.439392 2649.475586
-611.379883 -344.364624 2645.923340
-601.237671 -346.034027 2646.504150
-591.293091 -347.103790 2647.537354
-581.181030 -348.653015 2648.603516
-571.259033 -349.582855 2651.550293
-563.817627 -350.826752 2658.545898
-559.944275 -351.951569 2667.931396
-556.918762 -353.420441 2677.599121
-553.856934 -354.805084 2687.057617
-550.038513 -355.680054 2696.271484
-545.773010 -357.344177 2705.667236
-541.530579 -358.559113 2715.011475
-537.387207 -359.824371 2724.152100
-533.870361 -361.087799 2733.635010
-532.139648 -362.667908 2743.360596
-530.800354 -364.357361 2753.306641
-529.459045 -366.017914 2763.347412
-530.556213 -367.642456 2773.324707
-531.750305 -368.869202 2783.493408
-532.656006 -370.105774 2793.506104
-533.556885 -371.733215 2803.463135
-534.486450 -373.249146 2813.740967
-535.393921 -374.943451 2823.774170
-536.399109 -376.705963 2833.816895
-537.625061 -378.581757 2843.968262
-539.447632 -380.403717 2853.740479
-541.553040 -382.199493 2863.584717
-543.464722 -383.979614 2873.313477
-545.390015 -385.779083 2883.122070
-547.184265 -387.681030 2893.505371
-546.613098 -389.096497 2903.822510
-544.807922 -389.997162 2913.617920
-543.004700 -390.921967 2923.490479
-543.697510 -392.417725 2933.472900
-546.979736 -394.087769 2942.936035
-549.894470 -395.517334 2952.574951
-552.435303 -396.787292 2962.218262
-554.467590 -397.951202 2972.200928
-558.143188 -399.014923 2981.602295
-562.630066 -399.521210 2990.570801
-567.308228 -400.044739 2999.480957
-569.119446 -400.337402 3009.367432
-567.920959 -400.107056 3019.625000
-572.977661 -399.149323 3028.436523
-576.910706 -398.113434 3037.584229
-580.033630 -397.160492 3047.199707
-582.245850 -396.320313 3057.195801
-583.902649 -395.341431 3067.035889
-584.342590 -396.093201 3056.842041
-575.592712 -397.444489 3051.479736
-566.529663 -398.240936 3046.592773
-557.864990 -398.517639 3041.417480
-548.992249 -398.256927 3036.111084
-540.395691 -397.464478 3030.968750
-531.571777 -396.817413 3025.691162
-522.742004 -395.503784 3020.719971
-513.637390 -394.013245 3016.343750
-503.642548 -392.035889 3016.984375
-494.846344 -390.407166 3021.525635
-486.096405 -388.629303 3026.286133
-477.163849 -387.023254 3031.145996
-468.466309 -385.431488 3036.078857
-460.752106 -384.292847 3042.733398
-451.591675 -382.541626 3046.611816
-441.412659 -380.525177 3047.497559
-431.452087 -379.034515 3048.105225
