Eureka Moment
Custom
HailActorGetQuest -Actor "Uelmondi"
418.556152 41.361607 36.685966
412.081848 41.382046 44.769604
405.052734 41.382965 51.893158
396.105682 41.401470 57.492279
386.476440 40.590042 60.336941
376.791748 40.257378 63.196186
366.758575 40.558449 66.158325
356.999207 42.165890 69.034683
347.326752 44.582966 71.852638
338.501038 45.693665 76.892784
330.882050 47.522160 83.486435
324.905426 48.827358 91.525696
320.319122 50.730907 100.543297
315.776703 51.944736 109.561974
311.191223 52.155739 118.666023
306.642609 51.942787 127.696724
302.492493 52.124691 136.798721
300.234375 51.436825 146.660339
298.407257 49.514641 156.343185
299.921539 49.725517 166.367569
303.612793 50.330647 175.756607
308.436920 51.071178 184.617081
313.408447 51.068035 193.666656
319.273773 50.937096 202.036194
328.933685 54.347595 203.281586
Custom
HailActor "Uelmondi" 5
330.941040 54.522854 202.343094
Wait
20
330.941040 54.522854 202.343094
Custom
Target upwelling
330.941040 54.522854 202.343094
Custom
UseItem "Uelmondi's Phial"
330.941040 54.522854 202.343094
Wait
50
330.941040 54.522854 202.343094
Custom
HailActor "Uelmondi" 3
330.941040 54.522854 202.343094
338.331635 53.786945 209.518311
344.103424 54.870491 217.613525
348.488007 56.339878 226.895584
352.481354 56.324268 236.688705
356.294983 55.403755 246.080215
360.101440 55.271946 255.453995
364.037384 55.275932 265.146698
368.082977 55.619167 274.347992
374.201141 55.866375 282.516235
381.568390 55.476494 289.466736
389.237488 54.621059 295.947357
396.950592 53.537666 302.405365
405.087921 52.372887 308.390106
414.592773 51.695934 312.411926
424.600555 51.774643 314.539185
434.778717 52.194294 316.169159
444.933319 52.333511 317.705597
455.277008 51.959301 319.270599
465.204651 51.228329 320.772705
475.302521 50.781261 322.300537
485.438171 51.031368 323.834106
495.460419 51.509171 325.350525
505.388519 51.558411 327.464081
514.967651 52.280315 330.614960
523.668030 55.957462 334.480743
Custom
HailActor "Uelmondi" 3
533.167725 60.152893 339.376740
Custom
Target upwelling
539.019531 56.783188 350.994202
Custom
UseItem "Uelmondi's Empowered Phial"
539.019531 56.783188 350.994202
Wait
50
539.019531 56.783188 350.994202
Custom
Target cnidcara
539.019531 56.783188 350.994202
Wait
50
539.019531 56.783188 350.994202
Custom
HailActor "Uelmondi" 4
536.358093 60.522945 346.431519
527.074036 59.081791 342.387909
518.504822 55.142254 338.655670
509.493042 51.542900 334.730713
500.080536 51.492928 330.722351
490.474091 51.040051 327.822327
480.638947 50.424000 325.904083
470.721985 50.275238 324.602020
460.642334 50.800774 323.533813
450.465027 51.397430 322.478943
440.363922 51.529385 321.430817
430.058075 51.218555 320.318634
420.000305 51.028191 318.503784
410.629639 51.536964 314.578339
402.075562 52.454975 309.248962
394.086700 53.524193 303.268463
386.021393 54.523979 296.910492
378.014069 55.292912 290.571289
370.005371 55.502254 283.671448
362.967224 54.883144 276.540375
356.456207 53.563232 268.602570
350.284363 52.002205 260.442566
344.276886 51.985924 252.349731
338.289581 51.817471 244.289551
332.176788 51.129028 236.060471
326.345703 49.179283 228.170181
320.715729 49.506416 219.696655
315.168030 50.535408 211.167755
309.686584 50.258503 202.550827
304.533997 50.317699 193.608398
302.136108 50.203197 183.841339
299.828644 49.655052 173.637604
297.618103 49.188053 163.862946
295.335876 48.785637 153.771164
293.205841 49.070450 143.553711
294.741180 50.690388 133.098495
299.366974 51.933445 124.143974
305.672852 52.417404 116.224464
312.231781 52.237766 108.571732
319.026489 50.909798 100.617157
325.535400 49.027000 92.997078
332.539001 47.426025 85.335083
339.747864 45.606289 78.512878
347.760071 44.583027 71.986534
356.693512 42.112644 67.536911
366.237610 40.519043 64.919205
376.144562 40.221245 62.687183
385.804932 40.540009 60.099422
395.303833 41.341602 56.441120
403.712952 41.382046 50.866219
411.446503 41.382046 44.130634
Custom
HailActor "Uelmondi" 3
413.379639 41.382046 42.432686
