Steps to Acceptance
Custom
HailActor "Nipik" 4 1 1 1 1
-1631.104858 -535.364685 -2428.414795
-1623.435669 -536.433899 -2421.816406
-1615.805542 -536.187317 -2415.170166
-1607.840332 -536.947815 -2408.829102
-1599.909546 -538.059387 -2402.241699
-1592.309570 -536.915466 -2395.589600
-1584.600342 -537.332153 -2389.188721
-1576.570679 -537.138245 -2382.845459
-1570.546753 -536.777649 -2374.708496
-1564.681641 -539.775146 -2367.171631
-1557.515625 -540.172058 -2359.838623
-1550.219727 -539.783569 -2352.801514
-1540.944092 -538.953186 -2348.689209
-1531.382202 -538.259705 -2345.569824
-1521.434204 -537.679993 -2343.881592
-1511.380493 -537.113464 -2342.720947
-1501.190063 -537.335205 -2341.550293
-1491.173218 -537.620850 -2340.410156
-1481.425171 -536.532898 -2338.008301
-1475.040527 -533.713928 -2330.687744
-1471.232910 -531.627136 -2321.199219
-1471.500732 -526.983154 -2312.339844
-1472.829346 -523.346558 -2302.820801
-1471.936279 -518.585632 -2293.860352
-1469.290527 -514.629456 -2284.805664
-1470.558960 -514.340881 -2274.523682
-1474.358398 -514.684265 -2265.048584
Custom
HailActor "Sana" 2
-1478.611816 -515.091125 -2258.401123
-1469.379150 -514.369019 -2262.830322
-1460.674316 -513.740479 -2267.784180
-1450.819214 -512.774231 -2269.803955
-1440.515137 -512.258179 -2269.323975
-1430.543823 -511.412628 -2268.823975
-1420.533569 -510.293182 -2268.316406
-1371.063354 -503.100433 -2265.420654
-1325.314697 -503.772217 -2262.703613
-1332.155884 -503.772217 -2212.938232
-1344.287842 -520.692993 -2167.197021
Custom
FlyDown
-1349.389404 -528.542358 -2150.392578
Custom
HailActor "Priddie" 4
-1358.302368 -533.354919 -2136.397217
-1365.527954 -533.534363 -2143.328613
-1373.095825 -533.644470 -2136.451172
-1379.689453 -533.991028 -2128.869141
-1386.248535 -534.611877 -2121.240479
-1392.692261 -535.491638 -2113.310791
-1398.303833 -536.719788 -2104.974854
-1402.287476 -538.585693 -2095.757568
-1405.670776 -540.922729 -2086.554199
Custom
HailActor "Banik" 2
-1406.797363 -542.570374 -2079.970459
-1406.797363 -492.420166 -2079.970459
-1434.845459 -489.558228 -2121.492188
-1462.078979 -489.558228 -2163.927734
-1489.356079 -489.558228 -2206.431641
-1516.460815 -489.558228 -2248.666016
-1543.522705 -489.558228 -2290.833984
-1570.630859 -490.064941 -2333.112061
-1595.268555 -504.842438 -2374.035400
-1618.492554 -526.159119 -2413.051758
Custom
FlyDown
-1623.101196 -532.080322 -2425.661133
Custom
HailActor "Nipik" 3 1 1 1 1
-1630.292969 -535.348572 -2427.906250
-1622.046631 -536.537415 -2422.227051
-1615.383789 -536.213440 -2414.633545
-1618.921143 -535.155823 -2405.112793
-1623.685913 -535.211609 -2396.315430
-1628.714722 -534.665283 -2387.640625
-1632.177856 -533.536621 -2378.281494
-1630.938843 -533.682922 -2368.329590
Custom
ClickActor "evermelting ice" 1
-1629.591797 -533.240601 -2360.209961
Custom
ClickActor "prexus shrine" 1
-1629.591797 -533.240601 -2360.209961
-1629.007813 -533.918762 -2370.304443
-1628.489746 -534.379456 -2380.552734
-1627.732910 -534.962952 -2390.564697
-1622.215820 -535.255676 -2399.040283
-1617.058472 -535.304077 -2407.853760
-1614.727051 -536.278931 -2417.549316
-1618.738403 -536.223816 -2426.753174
Custom
HailActor "Nipik" 1 1 1 1 1
-1630.824463 -535.348572 -2428.799805
