Ritual of Bone
DontStopForCombat
Custom
HailActor Osh 4
4267.766113 -1094.649170 2041.515991
4267.848145 -1095.557617 2046.994751
4275.758301 -1096.558716 2053.813721
4283.704102 -1096.892334 2059.967285
4292.045898 -1095.325684 2066.293213
4300.203125 -1092.161011 2072.739990
StopForCombat
4307.580078 -1088.387329 2078.919922
Custom
PathHarvest 73 50 1 0 0 0 "quest_bone" "Collect corrupted bones (5/5)" 1
4306.124512 -1089.123413 2077.751221
4308.808594 -1086.960327 2087.526611
4310.724121 -1085.153198 2097.400635
4314.913086 -1083.299927 2106.584229
4316.737305 -1082.322144 2116.443848
4312.870117 -1083.607910 2126.200684
4308.720703 -1085.536621 2135.291748
4304.827637 -1086.694580 2144.818604
4301.478516 -1087.242188 2154.786865
4300.431641 -1087.399048 2164.935059
4298.701660 -1087.452515 2155.075684
4296.599121 -1087.770752 2144.408203
4289.130371 -1089.030273 2136.752197
4280.096680 -1090.589111 2131.895752
4271.117188 -1091.989136 2127.317627
4261.906738 -1093.153687 2122.884521
4252.878418 -1095.366211 2118.812012
4242.875977 -1095.600342 2118.980957
4231.939941 -1095.256348 2119.132324
4222.064941 -1094.503540 2114.800537
4212.933594 -1090.230957 2110.605469
4209.699219 -1087.405396 2100.272705
4205.285156 -1085.149170 2090.722656
4201.655762 -1083.494751 2080.907471
4198.216797 -1082.116089 2071.275879
4194.059570 -1081.391113 2062.130371
4190.464844 -1081.154297 2052.333984
4189.218750 -1081.051025 2041.737793
4190.032227 -1081.307617 2031.234375
4191.152344 -1080.253540 2021.002563
4192.291016 -1079.036743 2010.631104
4193.638672 -1078.718384 1999.982422
4195.606445 -1080.040527 1989.992920
4198.798828 -1080.720825 1980.247925
4202.509766 -1082.076172 1970.289307
4204.898926 -1084.024170 1960.463013
4207.143066 -1084.760986 1950.689087
4209.367188 -1085.132080 1940.459351
4212.501953 -1086.033691 1930.459595
4216.751465 -1086.732910 1920.839600
4221.880371 -1087.249390 1911.784302
