Dreary Coast Guard
Custom
HailActor "Madyl D'Lareth" 6
-22.324404 -3.726518 547.418152
-14.668350 -3.988853 554.322632
-4.697329 -3.915141 552.597473
4.769380 -3.838133 548.550293
14.468365 -3.866530 545.705872
24.531322 -3.904167 544.127197
34.418186 -3.989626 546.755615
44.090900 -4.229793 550.283691
53.543797 -4.485754 553.731323
63.081245 -5.035054 557.209717
72.534111 -5.667485 560.657349
81.885544 -6.772232 564.067932
91.226807 -8.331834 567.474854
100.737190 -8.265699 570.943176
110.328743 -8.184396 574.441101
119.866188 -8.155199 577.919434
129.457733 -8.148363 581.417358
139.035767 -8.121034 584.910522
148.505569 -8.139981 588.364319
158.664825 -8.121132 589.730103
168.698517 -8.125310 589.618347
178.886230 -8.129946 589.227356
189.104065 -8.112793 588.876343
199.239731 -8.136410 588.884277
209.314117 -5.951858 589.390198
Custom
PathKill 130 35 35 1 1 1 "a Rallosian" "I've collected twelve Rallosian rank insignias" 1
213.244781 -5.477992 589.566162
221.466721 -4.794412 595.726746
229.167801 -3.818017 602.254272
236.775177 -2.774925 608.728638
245.844666 -2.382339 604.175049
248.518066 -2.622835 594.127502
256.694733 -2.153775 588.365784
266.642303 -0.992201 586.793091
276.876923 0.661828 587.181824
287.181946 1.008225 587.605957
297.247314 1.729347 587.923767
306.597046 3.098333 584.175720
316.317383 4.677041 580.983398
326.157349 6.768718 583.904602
334.554382 7.823997 589.699036
339.786896 7.743193 598.364868
342.954712 7.680881 608.026001
346.728638 7.530880 617.523132
353.088867 7.281143 625.642151
360.176300 7.068140 633.120667
367.714508 7.053416 639.758362
375.108826 7.088905 646.573059
381.496918 6.996758 654.484863
387.148254 6.712598 663.094604
388.797058 6.351792 672.954590
391.573364 5.957591 682.715088
395.495087 5.632418 692.176575
399.415527 5.421303 701.481995
404.085785 5.216727 710.696167
408.595978 4.868074 719.929932
411.711823 4.623130 729.660034
410.155579 4.027158 739.843445
406.312164 3.399265 749.277222
402.820984 2.956595 758.931458
403.257111 3.051086 769.143372
393.770599 2.967507 765.649536
384.897217 3.022081 760.405151
375.130096 3.206501 757.506653
368.545746 3.517167 765.507751
365.495392 3.457144 775.471313
362.747925 3.220482 785.300842
360.039276 2.677364 794.991455
357.255585 2.248537 804.941528
353.693146 1.818899 814.458923
349.461456 1.521478 823.764709
344.148712 1.277637 832.725281
336.503693 1.065317 839.461914
332.782196 1.266489 829.901367
337.275482 1.491619 820.560669
343.014526 1.761279 812.034729
348.767517 2.176268 803.582825
348.137390 2.618655 793.286255
339.412140 2.504134 788.011108
331.526215 2.569191 794.943604
325.541656 5.243008 802.856873
318.751160 6.104940 810.737732
311.676270 6.266729 818.362183
304.530762 6.361872 825.649353
297.065125 6.449055 832.332458
288.302490 6.586526 838.042358
279.075256 6.803409 842.555603
269.055695 7.065502 845.572754
258.815063 7.484883 846.875183
248.519012 8.024713 847.370422
238.283615 8.488739 847.471741
228.315262 10.440905 847.770569
218.191040 11.963689 850.821411
209.287384 11.963689 856.505371
201.421478 11.963689 863.365479
193.722595 11.963689 869.906982
184.956955 11.963690 875.477661
176.365189 11.963689 881.051392
168.237000 11.963689 887.237915
160.767654 11.963689 894.501892
153.420959 11.963689 901.995300
146.288452 11.963689 909.270142
139.051971 11.963689 916.619324
131.868561 11.963689 923.690674
124.332405 11.963689 930.889343
116.527740 11.963689 938.144531
111.435097 11.963689 947.184875
109.165489 11.963689 957.251282
101.156570 11.963689 964.225159
91.606010 12.813565 967.264099
89.456322 12.969670 967.793884
98.680557 11.963689 963.602783
105.336906 11.963690 955.802734
111.402992 11.963690 947.776062
117.905968 11.963689 939.616333
124.655579 11.963689 931.888916
131.477203 11.963689 924.081238
138.192245 11.963689 916.395325
145.108582 11.963689 908.479126
152.029037 11.963690 900.686768
158.716049 11.963689 892.978821
164.575562 11.963689 884.713135
170.284561 11.963689 876.471741
176.409485 11.963689 868.514526
183.204300 11.963689 860.780334
190.332230 11.963689 853.351196
197.862747 11.963689 846.557373
205.973953 11.963689 840.577637
214.716293 11.412346 834.937561
222.847137 8.722452 829.515930
230.841766 9.083847 823.318665
238.613007 10.518469 816.621033
246.067184 10.518469 809.889832
238.912338 10.518469 817.204956
231.796509 9.086992 824.264832
224.414063 8.731276 831.244934
214.327484 10.004560 829.741150
209.261978 8.650975 821.184082
208.056458 8.221634 811.029907
208.350830 7.733478 800.930725
209.077423 7.211080 790.771851
209.850021 6.939193 780.780029
212.457779 6.753621 770.874146
216.704834 6.779992 761.736816
222.053116 6.861469 752.939331
228.732071 7.077649 745.368347
235.828064 7.138860 738.221741
243.118210 7.144773 731.157349
251.438461 5.017451 725.569031
261.194824 3.445524 723.838379
271.318176 3.469090 725.032654
277.607758 3.582294 732.830933
285.686310 3.537647 726.418762
290.882324 3.499463 717.425903
295.765137 3.512803 708.549988
300.140198 3.537674 699.309326
303.793152 3.585354 691.579163
213.463120 -5.457758 589.663269
213.463120 -5.457758 589.663269
197.267303 -8.475351 584.616211
187.534500 -8.332184 581.583008
177.773315 -8.220915 578.541321
167.957153 -8.187357 575.482605
158.251236 -8.140739 572.975159
148.197159 -8.147511 570.966675
138.100647 -8.130913 568.949707
128.131302 -8.120840 566.957886
118.037178 -8.232969 564.941223
108.212349 -8.197699 562.978455
98.285698 -8.146454 560.995300
88.273918 -6.967588 558.995239
78.212723 -5.740224 556.985229
68.204498 -5.164707 554.985962
58.408089 -4.601369 553.028992
48.470459 -4.319345 551.043762
38.550472 -4.107478 549.061951
28.348072 -3.945172 547.023865
18.533998 -3.881719 545.063232
8.676451 -3.786212 542.808350
-1.411661 -3.691434 540.516235
-11.312210 -3.613284 538.722046
-16.204449 -3.575029 537.857666
-24.079588 -3.634063 544.054199
Custom
HailActor "Madyl D'Lareth" 5
-21.797504 -3.670674 545.638000
