Signs of Tourbillion Trouble
Custom
HailActor "Galen Cadabrak" 6
-458.712097 15.168660 81.600700
-456.076385 15.263689 71.833748
-452.596863 15.373669 62.397861
-450.843414 13.579362 52.502113
-457.281708 13.075228 44.804565
-464.872131 11.558625 38.127220
-474.041382 10.201229 32.664787
-482.285736 9.303447 26.540682
-489.166168 10.412043 18.864304
-495.986847 10.004404 11.372012
-504.394104 7.592665 5.786443
-513.996155 5.335368 3.422039
-524.038391 2.509621 4.813507
-533.258911 0.090857 8.602764
-542.294006 -1.747023 13.577374
-551.204224 -3.101774 18.442883
-560.484619 -3.059473 23.494314
-569.338318 -3.004115 28.313398
-578.424561 -3.276086 32.628128
-584.555664 -3.400147 34.491528
-584.706238 -1.802445 44.474716
-587.269409 -0.381618 54.415257
-592.217590 0.360715 63.123375
-598.743835 0.145048 71.230995
-606.391235 -0.459087 78.023003
-615.111877 -1.251599 83.265778
-624.303650 -1.909847 87.574409
-634.028870 -1.443170 91.101685
-644.071106 -0.949644 92.960388
-654.079651 -0.195741 92.215401
Wait
50
-658.117126 -0.535140 91.410690
-648.082092 -0.722856 92.136711
-638.036926 -1.282517 91.410683
-628.098083 -1.874268 90.404808
-618.565552 -1.465237 86.353210
-610.260742 -0.950291 80.795883
-602.969055 -0.311247 73.740875
-596.011597 0.078490 66.447083
-588.855225 0.311252 58.944901
-581.661743 -0.408030 51.403660
-574.580017 -1.183144 43.979630
-567.485901 -1.817013 36.542580
-560.432739 -2.453136 29.148529
-553.203247 -3.034853 21.569653
-546.084290 -2.634026 14.106805
-538.883362 -2.143271 6.649179
-530.089478 -0.757918 1.495833
-520.496216 1.412086 -1.013992
-510.590454 5.011230 0.119402
-501.901306 7.947644 5.185248
-495.065704 10.218246 12.167418
-488.020752 10.432199 19.869947
-480.487366 9.245627 26.860132
-472.594360 10.421957 34.019112
-464.914673 12.024455 40.984612
-457.629913 13.194027 47.846516
-450.944794 13.795828 55.469139
-453.869385 15.353859 65.215363
-457.137695 15.263689 74.918907
Custom
HailActor "Galen Cadabrak" 2
-458.981934 15.168660 80.957123
