Elements of Destruction: Pure Adventure
Custom
HailActorGetQuest -Actor "Maelin Starpyre"
247.808807 -7.265143 -27.705610
247.389999 -7.103121 -37.818916
246.971497 -6.310032 -47.924702
246.149872 -5.876639 -57.990650
244.270920 -5.576640 -68.109764
241.782394 -5.386346 -77.807243
239.073013 -5.271842 -87.446159
236.269928 -5.270436 -97.350945
233.533218 -5.268499 -107.021187
230.669571 -5.266222 -116.888977
227.758072 -5.263993 -126.508003
224.743973 -5.261719 -136.311340
221.738281 -5.259494 -145.881744
218.489487 -5.272449 -155.470947
215.302658 -8.155922 -164.665390
212.473236 -12.703310 -173.347214
209.695831 -17.194801 -181.888184
206.840561 -20.099260 -191.210236
204.820480 -20.109255 -201.115311
204.531494 -20.109255 -211.141434
205.138916 -20.109255 -221.227829
205.169876 -20.106586 -231.558945
205.239792 -20.106585 -241.664810
205.240326 -20.048143 -251.771133
205.240540 -20.096577 -255.924271
215.332001 -20.096575 -255.958511
225.400848 -20.096575 -255.581543
235.501572 -20.056581 -256.199219
243.999710 -20.056581 -261.793671
248.916458 -20.056581 -270.674194
253.461609 -20.056581 -279.711700
Custom
ClickActor "Teleporter to Elemental Portal Gallery"
257.381012 -19.609409 -288.318024
Wait
50
0 0 0
750.630005 412.329987 -336.029999
740.526550 411.869629 -336.391846
Custom
ZoneDoor "zone_to_pof" "Doomfire: The Enkindled Towers [Solo]"
730.183838 412.401031 -336.865784
Custom
Instance
0 0 0
Custom
ZoneDoor "Exit"
0 0 0
Custom
ClickActor "Teleporter to North Wing Stacks"
749.377930 412.335754 -335.792023
Wait
50
0 0 0
255.326401 -20.056581 -280.938568
252.225800 -20.056581 -271.242950
246.360870 -20.056581 -262.941132
237.471725 -20.056581 -258.327423
227.447693 -20.096577 -256.167664
217.398819 -20.096575 -256.009705
207.164536 -20.096575 -256.509979
205.087753 -20.096575 -256.374481
205.246643 -20.106585 -246.142120
205.394135 -20.106585 -236.102463
205.541855 -20.106586 -226.054382
205.690125 -20.109255 -215.968002
205.838669 -20.109255 -205.862793
206.095123 -20.063755 -195.573669
207.736969 -19.345461 -185.693039
210.907776 -14.776364 -177.174149
214.223450 -10.321843 -168.847641
217.188522 -5.860248 -160.390167
220.520401 -5.269814 -150.531769
223.805084 -5.260717 -140.756363
226.542847 -5.262939 -131.107483
229.041229 -5.265205 -121.179527
231.525024 -5.267466 -111.267189
233.360062 -5.268300 -101.353157
234.801147 -5.203031 -91.369110
236.268173 -5.205733 -81.370003
237.913422 -5.576640 -71.284668
239.806137 -5.576640 -61.452732
241.702011 -6.176642 -51.583206
243.522308 -6.776640 -41.604107
245.406250 -7.262892 -31.636845
Custom
HailActor "Maelin Starpyre" 4
